key_bom,bom_title,bom_budget,bom_worldwide_revenue,revenue
b1529,beastly,17000000.0,43165571.0,1.5391512352941177
b1538,beautiful,14000000.0,3169930.0,-0.7735764285714286
b1542,beautiful creatures (2013),60000000.0,60052138.0,0.0008689666666666666
b1552,beauty and the beast,25000000.0,424967620.0,15.9987048
b1557,beauty and the beast (2017),160000000.0,1048233200.0,5.5514575
b1565,because of winn-dixie,14000000.0,33589427.0,1.3992447857142858
b1573,bedazzled (2000),48000000.0,90383208.0,0.8829835
b1575,bedtime stories,80000000.0,212874442.0,1.660930525
b1576,bee movie,150000000.0,287594577.0,0.91729718
b1577,bee season,14000000.0,6856989.0,-0.5102150714285715
b1596,before sunset,2700000.0,15992615.0,4.923190740740741
b1605,beginners,3200000.0,14311701.0,3.4724065625
b1607,behind enemy lines,40000000.0,91753202.0,1.29383005
b1619,being john malkovich,13000000.0,22863596.0,0.7587381538461538
b1624,believe,5000000.0,6206566.0,0.2413132
b1629,bella,3300000.0,12083296.0,2.6616048484848487
b1644,ben-hur (2016),100000000.0,94061311.0,-0.05938689
b1656,beowulf,150000000.0,196393745.0,0.3092916333333333
b1679,best in show,10000000.0,20789556.0,1.0789556
b1693,better luck tomorrow,250000.0,3809226.0,14.236904
b1711,beverly hills cop iii,50000000.0,119208989.0,1.38417978
b1715,bewitched,85000000.0,131426169.0,0.5461902235294117
b1718,beyond borders,35000000.0,11705002.0,-0.6655713714285715
b1750,bicentennial man,100000000.0,87423861.0,-0.12576139
b1761,big daddy,34200000.0,234801895.0,5.865552485380117
b1765,big fat liar,15000000.0,52970014.0,2.5313342666666667
b1766,big fish,70000000.0,122919055.0,0.7559865
b1770,big hero 6,165000000.0,657818612.0,2.9867794666666665
b1775,big miracle,40000000.0,24719215.0,-0.382019625
b1776,big momma's house,30000000.0,173959438.0,4.798647933333333
b1777,big momma's house 2,40000000.0,138259062.0,2.45647655
b1778,"""big mommas: like father, like son""",32000000.0,82686066.0,1.5839395625
b1789,big trouble,40000000.0,8493890.0,-0.78765275
b1795,biker boyz,24000000.0,23510601.0,-0.020391625
b1807,billy elliot,5000000.0,109280263.0,20.8560526
b1809,billy madison,10000000.0,26488734.0,1.6488734
b1822,birdman,18000000.0,103215094.0,4.734171888888889
b1824,birth,20000000.0,23925492.0,0.1962746
b1837,black book,21000000.0,26768563.0,0.2746934761904762
b1849,black hawk down,92000000.0,172989651.0,0.8803222934782609
b1852,black knight,50000000.0,39976235.0,-0.2004753
b1854,black mass,53000000.0,99775678.0,0.8825599622641509
b1856,black nativity,17500000.0,7454185.0,-0.5740465714285714
b1867,black snake moan,15000000.0,10903846.0,-0.2730769333333333
b1871,black swan,13000000.0,329398046.0,24.338311230769232
b1874,black and white,12000000.0,5541431.0,-0.5382140833333333
b1875,black or white,9000000.0,21571189.0,1.3967987777777777
b1881,blackhat,70000000.0,19652057.0,-0.7192563285714285
b1887,blade ii,54000000.0,155010032.0,1.870556148148148
b1893,blade: trinity,65000000.0,128905366.0,0.9831594769230769
b1894,blades of glory,61000000.0,145708642.0,1.388666262295082
b1895,blair witch,5000000.0,45172994.0,8.0345988
b1903,blast from the past,35000000.0,40263020.0,0.150372
b1909,bleed for this,6000000.0,5083906.0,-0.15268233333333334
b1911,blended,40000000.0,128034610.0,2.20086525
b1913,bless the child,65000000.0,40443010.0,-0.37779984615384615
b1922,blindness,25000000.0,19844979.0,-0.20620084
b1934,blood diamond,100000000.0,171407179.0,0.71407179
b1942,blood work,50000000.0,31794718.0,-0.36410564
b1954,bloodrayne,25000000.0,3650275.0,-0.853989
b1968,blow,53000000.0,83282296.0,0.5713640754716981
b1979,blue crush,25000000.0,51843679.0,1.07374716
