key_bom,bom_title,bom_budget,bom_worldwide_revenue,revenue,bom_release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,release_year,bom_runtime,runtime
b132,27 dresses,30000000.0,160259319.0,4.3419773,2008-01-18 00:00:00,01,1.0,18,2,2008,1 hrs. 47 min.,107.0
b133,28 days,43000000.0,62198945.0,0.4464870930232558,2000-04-14 00:00:00,04,2.0,105,15,2000,1 hrs. 43 min.,103.0
b134,28 days later,8000000.0,82719885.0,9.339985625,2003-06-27 00:00:00,06,2.0,178,25,2003,1 hrs. 53 min.,113.0
b143,3 days to kill,28000000.0,52597999.0,0.8784999642857143,2014-02-21 00:00:00,02,1.0,52,7,2014,1 hrs. 57 min.,117.0
b159,30 days of night,30000000.0,75505973.0,1.5168657666666667,2007-10-19 00:00:00,10,4.0,292,41,2007,1 hrs. 53 min.,113.0
b160,30 minutes or less,28000000.0,40547440.0,0.44812285714285716,2011-08-12 00:00:00,08,3.0,224,32,2011,1 hrs. 23 min.,83.0
b162,300,65000000.0,456068181.0,6.016433553846154,2007-03-09 00:00:00,03,1.0,68,9,2007,1 hrs. 57 min.,117.0
b163,3000 miles to graceland,62000000.0,18720175.0,-0.6980616935483871,2001-02-23 00:00:00,02,1.0,54,7,2001,2 hrs. 5 min.,125.0
b164,300: rise of an empire,110000000.0,337580051.0,2.0689095545454546,2014-03-07 00:00:00,03,1.0,66,9,2014,1 hrs. 42 min.,102.0
b174,3:10 to yuma (2007),55000000.0,70016220.0,0.27302218181818183,2007-09-07 00:00:00,09,3.0,250,35,2007,1 hrs. 57 min.,117.0
b185,47 ronin,175000000.0,151783839.0,-0.13266377714285715,2013-12-25 00:00:00,12,4.0,359,51,2013,2 hrs. 7 min.,127.0
b191,5 days of war,12000000.0,17479.0,-0.9985434166666667,2011-08-19 00:00:00,08,3.0,231,33,2011,1 hrs. 53 min.,113.0
b194,50 first dates,75000000.0,196482882.0,1.61977176,2004-02-13 00:00:00,02,1.0,44,6,2004,1 hrs. 36 min.,96.0
b197,50/50,8000000.0,39187783.0,3.898472875,2011-09-30 00:00:00,09,3.0,273,39,2011,1 hrs. 39 min.,99.0
b220,8 mile,41000000.0,242875078.0,4.923782390243902,2002-11-08 00:00:00,11,4.0,312,44,2002,1 hrs. 58 min.,118.0
b228,8mm,40000000.0,96618699.0,1.415467475,1999-02-26 00:00:00,02,1.0,57,8,1999,2 hrs. 4 min.,124.0
b229,9,30000000.0,48428063.0,0.6142687666666666,2009-09-09 00:00:00,09,3.0,252,36,2009,1 hrs. 19 min.,79.0
b236,99 homes,8000000.0,1411927.0,-0.823509125,2015-09-25 00:00:00,09,3.0,268,38,2015,1 hrs. 52 min.,112.0
b243,a beautiful mind,58000000.0,313542341.0,4.405902431034483,2001-12-21 00:00:00,12,4.0,355,50,2001,2 hrs. 16 min.,136.0
b246,a better life,10000000.0,1759252.0,-0.8240748,2011-06-24 00:00:00,06,2.0,175,25,2011,1 hrs. 37 min.,97.0
b262,a bug's life,120000000.0,363258859.0,2.0271571583333334,1998-11-20 00:00:00,11,4.0,324,46,1998,1 hrs. 36 min.,96.0
b273,a christmas carol (2009),200000000.0,325286646.0,0.62643323,2009-11-06 00:00:00,11,4.0,310,44,2009,1 hrs. 36 min.,96.0
b277,a cinderella story,19000000.0,70067909.0,2.687784684210526,2004-07-16 00:00:00,07,3.0,198,28,2004,1 hrs. 36 min.,96.0
b285,a cure for wellness,40000000.0,26324272.0,-0.3418932,2017-02-17 00:00:00,02,1.0,48,7,2017,2 hrs. 26 min.,146.0
b297,a dog's purpose,22000000.0,181249720.0,7.238623636363636,2017-01-27 00:00:00,01,1.0,27,4,2017,2 hrs. 0 min.,120.0
b306,a few good men,40000000.0,243240178.0,5.08100445,1992-12-11 00:00:00,12,4.0,346,49,1992,2 hrs. 18 min.,138.0
b330,a good day to die hard,92000000.0,304654182.0,2.3114585,2013-02-14 00:00:00,02,1.0,45,6,2013,1 hrs. 37 min.,97.0
b334,a good year,35000000.0,42064105.0,0.20183157142857142,2006-11-10 00:00:00,11,4.0,314,45,2006,1 hrs. 58 min.,118.0
b339,a guy thing,20000000.0,17432163.0,-0.12839185,2003-01-17 00:00:00,01,1.0,17,2,2003,1 hrs. 41 min.,101.0
b345,a haunted house 2,4000000.0,23959486.0,4.9898715,2014-04-18 00:00:00,04,2.0,108,15,2014,1 hrs. 27 min.,87.0
b347,a history of violence,32000000.0,60740827.0,0.89815084375,2005-09-23 00:00:00,09,3.0,266,38,2005,1 hrs. 36 min.,96.0
b352,a home at the end of the world,6500000.0,1548955.0,-0.7616992307692307,2004-07-23 00:00:00,07,3.0,205,29,2004,2 hrs. 0 min.,120.0
b361,a knight's tale,65000000.0,117487473.0,0.8074995846153846,2001-05-11 00:00:00,05,2.0,131,18,2001,2 hrs. 12 min.,132.0
b368,a league of their own,40000000.0,132440069.0,2.311001725,1992-07-01 00:00:00,07,3.0,183,26,1992,2 hrs. 8 min.,128.0
b384,a lot like love,30000000.0,42886719.0,0.4295573,2005-04-22 00:00:00,04,2.0,112,16,2005,1 hrs. 37 min.,97.0
b387,a man apart,36000000.0,44350926.0,0.23197016666666667,2003-04-04 00:00:00,04,2.0,94,13,2003,1 hrs. 45 min.,105.0
b406,a mighty heart,16000000.0,18935657.0,0.1834785625,2007-06-22 00:00:00,06,2.0,173,24,2007,1 hrs. 48 min.,108.0
b408,a million ways to die in the west,40000000.0,87189756.0,1.1797439,2014-05-30 00:00:00,05,2.0,150,21,2014,1 hrs. 56 min.,116.0
b415,a most violent year,20000000.0,12007070.0,-0.3996465,2014-12-31 00:00:00,12,4.0,365,52,2014,2 hrs. 5 min.,125.0
b423,a nightmare on elm street (2010),35000000.0,115664037.0,2.3046867714285715,2010-04-30 00:00:00,04,2.0,120,17,2010,1 hrs. 30 min.,90.0
b433,a perfect getaway,14000000.0,22852638.0,0.6323312857142858,2009-08-07 00:00:00,08,3.0,219,31,2009,1 hrs. 37 min.,97.0
b452,a prophet (un prophète),13000000.0,17873691.0,0.37489930769230767,2010-02-26 00:00:00,02,1.0,57,8,2010,2 hrs. 30 min.,150.0
b483,a single man,7000000.0,24964890.0,2.5664128571428573,2009-12-11 00:00:00,12,4.0,345,49,2009,1 hrs. 39 min.,99.0
b494,a sound of thunder,80000000.0,11665465.0,-0.8541816875,2005-09-02 00:00:00,09,3.0,245,35,2005,1 hrs. 43 min.,103.0
b516,a thousand words,40000000.0,22044277.0,-0.448893075,2012-03-09 00:00:00,03,1.0,69,10,2012,1 hrs. 31 min.,91.0
b530,a very harold &amp; kumar 3d christmas,19000000.0,35387212.0,0.8624848421052631,2011-11-04 00:00:00,11,4.0,308,44,2011,1 hrs. 29 min.,89.0
b531,a very long engagement,56600000.0,70115868.0,0.23879625441696112,2004-11-26 00:00:00,11,4.0,331,47,2004,2 hrs. 14 min.,134.0
b534,a walk among the tombstones,28000000.0,53181600.0,0.8993428571428571,2014-09-19 00:00:00,09,3.0,262,37,2014,1 hrs. 54 min.,114.0
b539,a walk to remember,11800000.0,47494916.0,3.0249928813559324,2002-01-25 00:00:00,01,1.0,25,3,2002,1 hrs. 41 min.,101.0
b554,a.i. artificial intelligence,100000000.0,235926552.0,1.35926552,2001-06-29 00:00:00,06,2.0,180,25,2001,2 hrs. 25 min.,145.0
b567,abandon,25000000.0,12302219.0,-0.50791124,2002-10-18 00:00:00,10,4.0,291,41,2002,1 hrs. 39 min.,99.0
b568,abduction,35000000.0,82087155.0,1.3453472857142856,2011-09-23 00:00:00,09,3.0,266,38,2011,1 hrs. 46 min.,106.0
b579,about last night (2014),12500000.0,49002684.0,2.92021472,2014-02-14 00:00:00,02,1.0,45,6,2014,1 hrs. 40 min.,100.0
b582,about schmidt,30000000.0,105834556.0,2.5278185333333334,2002-12-13 00:00:00,12,4.0,347,49,2002,2 hrs. 4 min.,124.0
b584,about a boy,30000000.0,130549455.0,3.3516485,2002-05-17 00:00:00,05,2.0,137,19,2002,1 hrs. 40 min.,100.0
b589,abraham lincoln: vampire hunter,69000000.0,116471580.0,0.6879939130434782,2012-06-22 00:00:00,06,2.0,174,25,2012,1 hrs. 45 min.,105.0
b599,accepted,23000000.0,38505009.0,0.6741308260869565,2006-08-18 00:00:00,08,3.0,230,33,2006,1 hrs. 30 min.,90.0
b602,ace ventura: pet detective,15000000.0,107217396.0,6.1478264,1994-02-04 00:00:00,02,1.0,35,5,1994,1 hrs. 27 min.,87.0
b610,act of valor,12000000.0,81272766.0,5.7727305,2012-02-24 00:00:00,02,1.0,55,8,2012,1 hrs. 51 min.,111.0
b619,adaptation.,19000000.0,32801173.0,0.7263775263157894,2002-12-06 00:00:00,12,4.0,340,48,2002,1 hrs. 54 min.,114.0
b626,admission,13000000.0,18007317.0,0.38517823076923074,2013-03-22 00:00:00,03,1.0,81,11,2013,1 hrs. 57 min.,117.0
b644,aeon flux,62000000.0,52304001.0,-0.1563870806451613,2005-12-02 00:00:00,12,4.0,336,48,2005,1 hrs. 35 min.,95.0
b657,after earth,130000000.0,243843127.0,0.8757163615384616,2013-05-31 00:00:00,05,2.0,151,21,2013,1 hrs. 40 min.,100.0
b669,after the sunset,60000000.0,61347797.0,0.022463283333333334,2004-11-12 00:00:00,11,4.0,317,45,2004,1 hrs. 38 min.,98.0
b687,agent cody banks,28000000.0,58795814.0,1.0998505,2003-03-14 00:00:00,03,1.0,73,10,2003,1 hrs. 50 min.,110.0
b688,agent cody banks 2: destination london,26000000.0,28818995.0,0.10842288461538462,2004-03-12 00:00:00,03,1.0,72,10,2004,1 hrs. 41 min.,101.0
b695,agora,70000000.0,39041505.0,-0.4422642142857143,2010-05-28 00:00:00,05,2.0,148,21,2010,2 hrs. 7 min.,127.0
b709,air force one,85000000.0,315156409.0,2.7077224588235294,1997-07-25 00:00:00,07,3.0,206,29,1997,2 hrs. 4 min.,124.0
b720,ajami,1000000.0,1291848.0,0.291848,2010-02-03 00:00:00,02,1.0,34,5,2010,2 hrs. 0 min.,120.0
b721,akeelah and the bee,8000000.0,18948425.0,1.368553125,2006-04-28 00:00:00,04,2.0,118,17,2006,1 hrs. 52 min.,112.0
b734,alex cross,35000000.0,34588412.0,-0.011759657142857143,2012-10-19 00:00:00,10,4.0,293,42,2012,1 hrs. 41 min.,101.0
b736,alex and emma,30000000.0,15368897.0,-0.4877034333333333,2003-06-20 00:00:00,06,2.0,171,24,2003,1 hrs. 40 min.,100.0
b738,alexander,155000000.0,167298192.0,0.07934317419354839,2004-11-24 00:00:00,11,4.0,329,47,2004,2 hrs. 56 min.,176.0
b739,"""alexander and the terrible, horrible, no good, very bad day""",28000000.0,101379287.0,2.6206888214285713,2014-10-10 00:00:00,10,4.0,283,40,2014,1 hrs. 21 min.,81.0
b743,alfie,60000000.0,35150546.0,-0.41415756666666664,2004-11-05 00:00:00,11,4.0,310,44,2004,1 hrs. 42 min.,102.0
b746,ali,107000000.0,87713825.0,-0.1802446261682243,2001-12-25 00:00:00,12,4.0,359,51,2001,2 hrs. 36 min.,156.0
b752,alice through the looking glass,170000000.0,299457024.0,0.761511905882353,2016-05-27 00:00:00,05,2.0,148,21,2016,1 hrs. 52 min.,112.0
b755,alice in wonderland (2010),200000000.0,1025467110.0,4.12733555,2010-03-05 00:00:00,03,1.0,64,9,2010,1 hrs. 49 min.,109.0
b757,alien,11000000.0,104931801.0,8.539254636363637,1979-05-25 00:00:00,05,2.0,145,20,1979,1 hrs. 57 min.,117.0
b758,alien 3,50000000.0,159814498.0,2.19628996,1992-05-22 00:00:00,05,2.0,143,20,1992,1 hrs. 54 min.,114.0
b763,alien resurrection,75000000.0,161376068.0,1.1516809066666667,1997-11-26 00:00:00,11,4.0,330,47,1997,1 hrs. 49 min.,109.0
b765,alien vs. predator,60000000.0,172544654.0,1.8757442333333334,2004-08-13 00:00:00,08,3.0,226,32,2004,1 hrs. 27 min.,87.0
b770,aliens in the attic,45000000.0,57881056.0,0.2862456888888889,2009-07-31 00:00:00,07,3.0,212,30,2009,1 hrs. 26 min.,86.0
b783,all about the benjamins,15000000.0,26306533.0,0.7537688666666666,2002-03-08 00:00:00,03,1.0,67,9,2002,1 hrs. 35 min.,95.0
b810,all or nothing,9000000.0,201546.0,-0.977606,2002-10-25 00:00:00,10,4.0,298,42,2002,2 hrs. 8 min.,128.0
b813,all the king's men,55000000.0,9450897.0,-0.8281655090909091,2006-09-22 00:00:00,09,3.0,265,38,2006,2 hrs. 21 min.,141.0
b817,all the pretty horses,57000000.0,18133495.0,-0.6818685087719298,2000-12-25 00:00:00,12,4.0,360,52,2000,1 hrs. 57 min.,117.0
b828,allied,85000000.0,119520023.0,0.40611791764705885,2016-11-23 00:00:00,11,4.0,328,47,2016,2 hrs. 1 min.,121.0
b829,almost christmas,17000000.0,42487325.0,1.499254411764706,2016-11-11 00:00:00,11,4.0,316,45,2016,1 hrs. 52 min.,112.0
b830,almost famous,60000000.0,47383689.0,-0.21027185,2000-09-15 00:00:00,09,3.0,259,37,2000,2 hrs. 2 min.,122.0
b840,aloha,37000000.0,26250020.0,-0.29054,2015-05-29 00:00:00,05,2.0,149,21,2015,1 hrs. 45 min.,105.0
b843,alone in the dark,20000000.0,10442808.0,-0.4778596,2005-01-28 00:00:00,01,1.0,28,4,2005,1 hrs. 36 min.,96.0
b845,along came polly,42000000.0,171963386.0,3.0943663333333333,2004-01-16 00:00:00,01,1.0,16,2,2004,1 hrs. 30 min.,90.0
b846,along came a spider,60000000.0,105178561.0,0.7529760166666667,2001-04-06 00:00:00,04,2.0,96,13,2001,1 hrs. 43 min.,103.0
b857,alvin and the chipmunks,60000000.0,361336633.0,5.022277216666667,2007-12-14 00:00:00,12,4.0,348,49,2007,1 hrs. 32 min.,92.0
b858,alvin and the chipmunks: chipwrecked,75000000.0,342695435.0,3.569272466666667,2011-12-16 00:00:00,12,4.0,350,50,2011,1 hrs. 27 min.,87.0
b860,alvin and the chipmunks: the squeakquel,75000000.0,443140005.0,4.9085334,2009-12-23 00:00:00,12,4.0,357,51,2009,1 hrs. 28 min.,88.0
b874,amelia,40000000.0,19642013.0,-0.508949675,2009-10-23 00:00:00,10,4.0,296,42,2009,2 hrs. 0 min.,120.0
b883,america's sweethearts,46000000.0,138191428.0,2.0041614782608694,2001-07-20 00:00:00,07,3.0,201,28,2001,1 hrs. 42 min.,102.0
b896,american dreamz,17000000.0,16458459.0,-0.031855352941176474,2006-04-21 00:00:00,04,2.0,111,16,2006,1 hrs. 47 min.,107.0
b899,american gangster,100000000.0,266465037.0,1.66465037,2007-11-02 00:00:00,11,4.0,306,43,2007,2 hrs. 40 min.,160.0
b906,american history x,20000000.0,23875127.0,0.19375635,1998-10-30 00:00:00,10,4.0,303,43,1998,2 hrs. 7 min.,127.0
b909,american hustle,40000000.0,251171807.0,5.279295175,2013-12-13 00:00:00,12,4.0,347,49,2013,2 hrs. 18 min.,138.0
b924,american pie 2,30000000.0,287553595.0,8.585119833333334,2001-08-10 00:00:00,08,3.0,222,31,2001,1 hrs. 44 min.,104.0
b928,american psycho,7000000.0,34266564.0,3.8952234285714287,2000-04-14 00:00:00,04,2.0,105,15,2000,1 hrs. 44 min.,104.0
b929,american reunion,50000000.0,234989584.0,3.69979168,2012-04-06 00:00:00,04,2.0,97,14,2012,1 hrs. 53 min.,113.0
b930,american sniper,58800000.0,547426372.0,8.30997231292517,2014-12-25 00:00:00,12,4.0,359,51,2014,2 hrs. 12 min.,132.0
b937,american ultra,28000000.0,27139524.0,-0.030731285714285714,2015-08-21 00:00:00,08,3.0,233,33,2015,1 hrs. 36 min.,96.0
b939,american wedding,55000000.0,231449203.0,3.208167327272727,2003-08-01 00:00:00,08,3.0,213,30,2003,1 hrs. 42 min.,102.0
b959,amour,8900000.0,19839492.0,1.2291564044943821,2012-12-19 00:00:00,12,4.0,354,51,2012,2 hrs. 5 min.,125.0
b975,an american haunting,14000000.0,29612137.0,1.1151526428571428,2006-05-05 00:00:00,05,2.0,125,18,2006,1 hrs. 30 min.,90.0
b984,an education,7500000.0,26096852.0,2.479580266666667,2009-10-09 00:00:00,10,4.0,282,40,2009,1 hrs. 35 min.,95.0
b995,an unfinished life,30000000.0,18618284.0,-0.37939053333333334,2005-09-09 00:00:00,09,3.0,252,36,2005,1 hrs. 40 min.,100.0
b999,anacondas: the hunt for the blood orchid,20000000.0,70992898.0,2.5496449,2004-08-27 00:00:00,08,3.0,240,34,2004,1 hrs. 33 min.,93.0
b1000,analyze that,60000000.0,55003135.0,-0.08328108333333334,2002-12-06 00:00:00,12,4.0,340,48,2002,1 hrs. 40 min.,100.0
b1001,analyze this,80000000.0,176885658.0,1.211070725,1999-03-05 00:00:00,03,1.0,64,9,1999,1 hrs. 43 min.,103.0
b1010,anchorman 2: the legend continues,50000000.0,173649015.0,2.4729803,2013-12-18 00:00:00,12,4.0,352,50,2013,1 hrs. 59 min.,119.0
b1011,anchorman: the legend of ron burgundy,26000000.0,90574188.0,2.4836226153846153,2004-07-09 00:00:00,07,3.0,191,27,2004,1 hrs. 31 min.,91.0
b1028,angel eyes,53000000.0,29715606.0,-0.4393281886792453,2001-05-18 00:00:00,05,2.0,138,19,2001,1 hrs. 42 min.,102.0
b1035,angels &amp; demons,150000000.0,485930816.0,2.2395387733333334,2009-05-15 00:00:00,05,2.0,135,19,2009,2 hrs. 20 min.,140.0
b1041,anger management,75000000.0,195745823.0,1.6099443066666668,2003-04-11 00:00:00,04,2.0,101,14,2003,1 hrs. 41 min.,101.0
b1061,anna and the king,92000000.0,113996937.0,0.23909714130434784,1999-12-17 00:00:00,12,4.0,351,50,1999,2 hrs. 28 min.,148.0
b1071,annie (2014),65000000.0,133821816.0,1.0587971692307692,2014-12-19 00:00:00,12,4.0,353,50,2014,1 hrs. 58 min.,118.0
b1075,anomalisa,8000000.0,5659286.0,-0.29258925,2015-12-30 00:00:00,12,4.0,364,52,2015,1 hrs. 30 min.,90.0
b1076,anonymous,30000000.0,15395087.0,-0.4868304333333333,2011-10-28 00:00:00,10,4.0,301,43,2011,2 hrs. 10 min.,130.0
b1089,another year,8000000.0,19722766.0,1.46534575,2010-12-29 00:00:00,12,4.0,363,52,2010,2 hrs. 9 min.,129.0
b1092,ant-man,130000000.0,519311965.0,2.9947074230769233,2015-07-17 00:00:00,07,3.0,198,28,2015,1 hrs. 57 min.,117.0
b1106,antwone fisher,12500000.0,23367586.0,0.86940688,2002-12-19 00:00:00,12,4.0,353,50,2002,2 hrs. 0 min.,120.0
b1107,antz,105000000.0,171757863.0,0.6357891714285714,1998-10-02 00:00:00,10,4.0,275,39,1998,1 hrs. 24 min.,84.0
b1111,any given sunday,55000000.0,100230832.0,0.8223787636363636,1999-12-22 00:00:00,12,4.0,356,51,1999,2 hrs. 37 min.,157.0
b1114,anything else,18000000.0,13585075.0,-0.24527361111111112,2003-09-19 00:00:00,09,3.0,262,37,2003,1 hrs. 48 min.,108.0
b1116,anywhere but here,23000000.0,23631929.0,0.02747517391304348,1999-11-12 00:00:00,11,4.0,316,45,1999,1 hrs. 54 min.,114.0
b1125,apocalypto,40000000.0,120654337.0,2.016358425,2006-12-08 00:00:00,12,4.0,342,49,2006,2 hrs. 18 min.,138.0
b1128,apollo 18,5000000.0,25562924.0,4.1125848,2011-09-02 00:00:00,09,3.0,245,35,2011,1 hrs. 26 min.,86.0
b1129,appaloosa,20000000.0,27665851.0,0.38329255,2008-09-19 00:00:00,09,3.0,263,37,2008,1 hrs. 48 min.,108.0
b1145,aquamarine,12000000.0,23006849.0,0.9172374166666667,2006-03-03 00:00:00,03,1.0,62,9,2006,1 hrs. 49 min.,109.0
b1154,ararat,15500000.0,2743336.0,-0.8230105806451613,2002-11-15 00:00:00,11,4.0,319,45,2002,2 hrs. 6 min.,126.0
b1161,are we there yet?,32000000.0,97918663.0,2.05995821875,2005-01-21 00:00:00,01,1.0,21,3,2005,1 hrs. 34 min.,94.0
b1166,argo,44500000.0,232325503.0,4.220797820224719,2012-10-12 00:00:00,10,4.0,286,41,2012,2 hrs. 0 min.,120.0
b1171,arlington road,31000000.0,41067311.0,0.3247519677419355,1999-07-09 00:00:00,07,3.0,190,27,1999,1 hrs. 59 min.,119.0
b1174,armageddon,140000000.0,553709788.0,2.955069914285714,1998-07-01 00:00:00,07,3.0,182,26,1998,2 hrs. 24 min.,144.0
b1176,armored,20000000.0,22942221.0,0.14711105,2009-12-04 00:00:00,12,4.0,338,48,2009,1 hrs. 28 min.,88.0
b1184,around the world in 80 days,110000000.0,72178895.0,-0.34382822727272727,2004-06-16 00:00:00,06,2.0,168,24,2004,2 hrs. 0 min.,120.0
b1186,arrival,47000000.0,198024964.0,3.2132971063829787,2016-11-11 00:00:00,11,4.0,316,45,2016,1 hrs. 56 min.,116.0
b1197,arthur (2011),40000000.0,45735397.0,0.143384925,2011-04-08 00:00:00,04,2.0,98,14,2011,1 hrs. 50 min.,110.0
b1201,arthur and the invisibles,86000000.0,107944236.0,0.25516553488372096,2006-12-29 00:00:00,12,4.0,363,52,2006,1 hrs. 43 min.,103.0
b1208,as good as it gets,50000000.0,314178011.0,5.28356022,1997-12-23 00:00:00,12,4.0,357,51,1997,2 hrs. 19 min.,139.0
b1224,assassin's creed,125000000.0,240742399.0,0.925939192,2016-12-21 00:00:00,12,4.0,356,51,2016,2 hrs. 20 min.,140.0
b1230,assault on precinct 13,30000000.0,35294470.0,0.17648233333333332,2005-01-19 00:00:00,01,1.0,19,3,2005,1 hrs. 49 min.,109.0
b1235,astro boy,65000000.0,39886986.0,-0.3863540615384615,2009-10-23 00:00:00,10,4.0,296,42,2009,1 hrs. 34 min.,94.0
b1246,atlantis: the lost empire,120000000.0,186053725.0,0.5504477083333333,2001-06-08 00:00:00,06,2.0,159,22,2001,1 hrs. 35 min.,95.0
b1256,attack the block,13000000.0,5824175.0,-0.5519865384615384,2011-07-29 00:00:00,07,3.0,210,30,2011,1 hrs. 28 min.,88.0
b1272,austin powers in goldmember,63000000.0,296655431.0,3.708816365079365,2002-07-26 00:00:00,07,3.0,207,29,2002,1 hrs. 34 min.,94.0
b1273,austin powers: international man of mystery,16500000.0,67683989.0,3.102059939393939,1997-05-02 00:00:00,05,2.0,122,17,1997,1 hrs. 40 min.,100.0
b1274,austin powers: the spy who shagged me,33000000.0,312016858.0,8.455056303030304,1999-06-11 00:00:00,06,2.0,162,23,1999,1 hrs. 35 min.,95.0
b1275,australia,130000000.0,211342221.0,0.6257093923076923,2008-11-26 00:00:00,11,4.0,331,47,2008,2 hrs. 45 min.,165.0
b1285,autumn in new york,65000000.0,90726668.0,0.3957948923076923,2000-08-11 00:00:00,08,3.0,224,32,2000,1 hrs. 44 min.,104.0
b1289,avengers: age of ultron,250000000.0,1405403694.0,4.621614776,2015-05-01 00:00:00,05,2.0,121,17,2015,2 hrs. 21 min.,141.0
b1294,awake,8600000.0,32685679.0,2.8006603488372095,2007-11-30 00:00:00,11,4.0,334,47,2007,1 hrs. 24 min.,84.0
b1297,away we go,17000000.0,14899417.0,-0.12356370588235294,2009-06-05 00:00:00,06,2.0,156,22,2009,1 hrs. 38 min.,98.0
b1321,babe: pig in the city,90000000.0,69131860.0,-0.23186822222222223,1998-11-25 00:00:00,11,4.0,329,47,1998,1 hrs. 30 min.,90.0
b1327,baby boy,16000000.0,29381649.0,0.8363530625,2001-06-27 00:00:00,06,2.0,178,25,2001,2 hrs. 9 min.,129.0
b1331,baby geniuses,12000000.0,36450736.0,2.037561333333333,1999-03-12 00:00:00,03,1.0,71,10,1999,1 hrs. 35 min.,95.0
b1332,baby mama,30000000.0,64163648.0,1.1387882666666667,2008-04-25 00:00:00,04,2.0,116,16,2008,1 hrs. 36 min.,96.0
b1336,babylon a.d.,70000000.0,72108608.0,0.03012297142857143,2008-08-29 00:00:00,08,3.0,242,34,2008,1 hrs. 30 min.,90.0
b1350,back to the future part ii,40000000.0,331950002.0,7.29875005,1989-11-22 00:00:00,11,4.0,326,47,1989,1 hrs. 48 min.,108.0
b1351,back to the future part iii,40000000.0,244527583.0,5.113189575,1990-05-25 00:00:00,05,2.0,145,20,1990,1 hrs. 58 min.,118.0
b1365,bad boys,19000000.0,141407024.0,6.442474947368421,1995-04-07 00:00:00,04,2.0,97,14,1995,2 hrs. 3 min.,123.0
b1368,bad boys ii,130000000.0,273339556.0,1.1026119692307692,2003-07-18 00:00:00,07,3.0,199,28,2003,2 hrs. 27 min.,147.0
