,link,name,budget,rev_tot,rev_lif,rel_dt,runtime,distributor,genre,rating,awards
185,http://www.boxofficemojo.com/movies/?id=47ronin.htm,47 Ronin,175000000.0,38362475.0,,25-Dec-13,2 hrs. 7 min.,Universal,Action Drama,PG-13,No Academy Awards Information
191,http://www.boxofficemojo.com/movies/?id=5daysofwar.htm,5 Days of War,12000000.0,17479.0,,19-Aug-11,1 hrs. 53 min.,Anchor Bay Films,Action Drama,R,No Academy Awards Information
194,http://www.boxofficemojo.com/movies/?id=50firstdates.htm,50 First Dates,75000000.0,120908074.0,,13-Feb-04,1 hrs. 36 min.,Sony / Columbia,Romantic Comedy,PG-13,No Academy Awards Information
197,http://www.boxofficemojo.com/movies/?id=50fifty.htm,50/50,8000000.0,35014192.0,,30-Sep-11,1 hrs. 39 min.,Summit Entertainment,Comedy / Drama,R,No Academy Awards Information
220,http://www.boxofficemojo.com/movies/?id=8mile.htm,8 Mile,41000000.0,116750901.0,,8-Nov-02,1 hrs. 58 min.,Universal,Music Drama,R,"""Nominated for One Oscar, Including One Win."""
228,http://www.boxofficemojo.com/movies/?id=8mm.htm,8MM,40000000.0,36663315.0,,26-Feb-99,2 hrs. 4 min.,Sony / Columbia,Thriller,R,No Academy Awards Information
229,http://www.boxofficemojo.com/movies/?id=9.htm,9,30000000.0,31749894.0,,9-Sep-09,1 hrs. 19 min.,Focus Features,Animation,PG-13,No Academy Awards Information
233,http://www.boxofficemojo.com/movies/?id=90minutesinheaven.htm,90 Minutes in Heaven,5000000.0,4842699.0,,11-Sep-15,2 hrs. 1 min.,Samuel Goldwyn,Drama,PG-13,No Academy Awards Information
236,http://www.boxofficemojo.com/movies/?id=99homes.htm,99 Homes,8000000.0,1411927.0,,25-Sep-15,1 hrs. 52 min.,Broad Green Pictures,Thriller,R,No Academy Awards Information
243,http://www.boxofficemojo.com/movies/?id=beautifulmind.htm,A Beautiful Mind,58000000.0,170742341.0,,21-Dec-01,2 hrs. 16 min.,Universal,Period Drama,PG-13,"""Nominated for Eight Oscars, Including Four Wins."""
246,http://www.boxofficemojo.com/movies/?id=abetterlife.htm,A Better Life,10000000.0,1759252.0,,24-Jun-11,1 hrs. 37 min.,Summit Entertainment,Drama,PG-13,Nominated for One Oscar.
257,http://www.boxofficemojo.com/movies/?id=bridgetoofar.htm,A Bridge Too Far,27000000.0,50750000.0,,15-Jun-77,2 hrs. 56 min.,United Artists,War,PG,No Academy Awards Information
262,http://www.boxofficemojo.com/movies/?id=bugslife.htm,A Bug's Life,120000000.0,162798565.0,,20-Nov-98,1 hrs. 36 min.,Buena Vista,Animation,G,Nominated for One Oscar.
273,http://www.boxofficemojo.com/movies/?id=christmascarol09.htm,A Christmas Carol (2009),200000000.0,137855863.0,,6-Nov-09,1 hrs. 36 min.,Buena Vista,Animation,PG,No Academy Awards Information
277,http://www.boxofficemojo.com/movies/?id=cinderellastory.htm,A Cinderella Story,19000000.0,51438175.0,,16-Jul-04,1 hrs. 36 min.,Warner Bros.,Family Comedy,PG,No Academy Awards Information
278,http://www.boxofficemojo.com/movies/?id=civilaction.htm,A Civil Action,75000000.0,56709981.0,,25-Dec-98,1 hrs. 55 min.,Buena Vista,Drama / Thriller,PG-13,Nominated for Two Oscars.
279,http://www.boxofficemojo.com/movies/?id=clockworkorange.htm,A Clockwork Orange,2200000.0,26589355.0,,2-Feb-72,2 hrs. 17 min.,Warner Bros.,Crime Comedy,R,No Academy Awards Information
285,http://www.boxofficemojo.com/movies/?id=acureforwellness.htm,A Cure for Wellness,40000000.0,8106986.0,,17-Feb-17,2 hrs. 26 min.,Fox,Horror,R,No Academy Awards Information
297,http://www.boxofficemojo.com/movies/?id=adogspurpose.htm,A Dog's Purpose,22000000.0,64049720.0,,27-Jan-17,2 hrs. 0 min.,Universal,Comedy / Drama,PG,No Academy Awards Information
306,http://www.boxofficemojo.com/movies/?id=fewgoodmen.htm,A Few Good Men,40000000.0,141340178.0,,11-Dec-92,2 hrs. 18 min.,Columbia,Drama / Thriller,R,Nominated for Four Oscars.
330,http://www.boxofficemojo.com/movies/?id=diehard5.htm,A Good Day to Die Hard,92000000.0,67349198.0,,14-Feb-13,1 hrs. 37 min.,Fox,Action,R,No Academy Awards Information
334,http://www.boxofficemojo.com/movies/?id=goodyear.htm,A Good Year,35000000.0,7459300.0,,10-Nov-06,1 hrs. 58 min.,Fox,Romance,PG-13,No Academy Awards Information
339,http://www.boxofficemojo.com/movies/?id=guything.htm,A Guy Thing,20000000.0,15545431.0,,17-Jan-03,1 hrs. 41 min.,MGM,Romantic Comedy,PG-13,No Academy Awards Information
344,http://www.boxofficemojo.com/movies/?id=hauntedhouse.htm,A Haunted House,2500000.0,40041683.0,,11-Jan-13,1 hrs. 20 min.,Open Road Films,Comedy,R,No Academy Awards Information
345,http://www.boxofficemojo.com/movies/?id=hauntedhouse2.htm,A Haunted House 2,4000000.0,17329486.0,,18-Apr-14,1 hrs. 27 min.,Open Road Films,Horror Comedy,R,No Academy Awards Information
347,http://www.boxofficemojo.com/movies/?id=historyofviolence.htm,A History of Violence,32000000.0,31504633.0,,23-Sep-05,1 hrs. 36 min.,New Line,Crime Drama,R,Nominated for Two Oscars.
352,http://www.boxofficemojo.com/movies/?id=homeattheendoftheworld.htm,A Home at the End of the World,6500000.0,1029872.0,,23-Jul-04,2 hrs. 0 min.,Warner Independent,Drama,R,No Academy Awards Information
361,http://www.boxofficemojo.com/movies/?id=aknightstale.htm,A Knight's Tale,65000000.0,56569702.0,,11-May-01,2 hrs. 12 min.,Sony / Columbia,Period Action,PG-13,No Academy Awards Information
368,http://www.boxofficemojo.com/movies/?id=leagueoftheirown.htm,A League of Their Own,40000000.0,107533928.0,,1-Jul-92,2 hrs. 8 min.,Sony / Columbia,Sports Drama,PG,No Academy Awards Information
383,http://www.boxofficemojo.com/movies/?id=alongwayoff.htm,A Long Way Off,500000.0,30104.0,,16-May-14,1 hrs. 45 min.,Moving Visions Entertainment,Drama,PG,No Academy Awards Information
384,http://www.boxofficemojo.com/movies/?id=lotlikelove.htm,A Lot Like Love,30000000.0,21845719.0,,22-Apr-05,1 hrs. 37 min.,Buena Vista,Romantic Comedy,PG-13,No Academy Awards Information
387,http://www.boxofficemojo.com/movies/?id=manapart.htm,A Man Apart,36000000.0,26736098.0,,4-Apr-03,1 hrs. 45 min.,New Line,Action,R,No Academy Awards Information
403,http://www.boxofficemojo.com/movies/?id=midsummernightsdream.htm,A Midsummer Night's Dream,11000000.0,16071990.0,,14-May-99,1 hrs. 56 min.,Fox Searchlight,Period Comedy,PG-13,No Academy Awards Information
406,http://www.boxofficemojo.com/movies/?id=mightyheart.htm,A Mighty Heart,16000000.0,9176787.0,,22-Jun-07,1 hrs. 48 min.,Paramount Vantage,War Drama,R,No Academy Awards Information
408,http://www.boxofficemojo.com/movies/?id=millionwaystodie.htm,A Million Ways to Die in the West,40000000.0,43139300.0,,30-May-14,1 hrs. 56 min.,Universal,Western Comedy,R,No Academy Awards Information
415,http://www.boxofficemojo.com/movies/?id=amostviolentyear.htm,A Most Violent Year,20000000.0,5749134.0,,31-Dec-14,2 hrs. 5 min.,A24,Drama / Thriller,R,No Academy Awards Information
423,http://www.boxofficemojo.com/movies/?id=nightmareonelmstreet10.htm,A Nightmare on Elm Street (2010),35000000.0,63075011.0,,30-Apr-10,1 hrs. 30 min.,Warner Bros. (New Line),Horror,R,No Academy Awards Information
433,http://www.boxofficemojo.com/movies/?id=perfectgetaway.htm,A Perfect Getaway,14000000.0,15515460.0,,7-Aug-09,1 hrs. 37 min.,Universal,Thriller,R,No Academy Awards Information
452,http://www.boxofficemojo.com/movies/?id=aprophet.htm,A Prophet (Un prophète),13000000.0,2087720.0,,26-Feb-10,2 hrs. 30 min.,Sony Classics,Foreign,R,Nominated for One Oscar.
463,http://www.boxofficemojo.com/movies/?id=roomwithaview.htm,A Room with a View,3000000.0,20966644.0,,7-Mar-86,1 hrs. 57 min.,Cinecom,Romance,Unrated,"""Nominated for Eight Oscars, Including Three Wins."""
479,http://www.boxofficemojo.com/movies/?id=simpleplan%A0.htm,A Simple Plan ,30000000.0,16316273.0,,11-Dec-98,2 hrs. 1 min.,Paramount,Crime Drama,R,Nominated for Two Oscars.
483,http://www.boxofficemojo.com/movies/?id=singleman.htm,A Single Man,7000000.0,9176000.0,,11-Dec-09,1 hrs. 39 min.,Weinstein Company,Drama,R,Nominated for One Oscar.
494,http://www.boxofficemojo.com/movies/?id=soundofthunder.htm,A Sound of Thunder,80000000.0,1900451.0,,2-Sep-05,1 hrs. 43 min.,Warner Bros.,Sci-Fi Horror,PG-13,No Academy Awards Information
496,http://www.boxofficemojo.com/movies/?id=starisborn54.htm,A Star Is Born,5019770.0,4335968.0,,29-Sep-54,3 hrs. 1 min.,Warner Bros.,Music Drama,PG,No Academy Awards Information
516,http://www.boxofficemojo.com/movies/?id=athousandwords.htm,A Thousand Words,40000000.0,18450127.0,,9-Mar-12,1 hrs. 31 min.,Paramount (DreamWorks),Comedy / Drama,PG-13,No Academy Awards Information
529,http://www.boxofficemojo.com/movies/?id=verybradysequel.htm,A Very Brady Sequel,12000000.0,21440752.0,,23-Aug-96,1 hrs. 29 min.,Paramount,Comedy,PG-13,No Academy Awards Information
530,http://www.boxofficemojo.com/movies/?id=haroldandkumar3.htm,A Very Harold &amp; Kumar 3D Christmas,19000000.0,35061031.0,,4-Nov-11,1 hrs. 29 min.,Warner Bros.,Comedy,R,No Academy Awards Information
531,http://www.boxofficemojo.com/movies/?id=verylongengagement.htm,A Very Long Engagement,56600000.0,6524389.0,,26-Nov-04,2 hrs. 14 min.,Warner Independent,Foreign,R,Nominated for Two Oscars.
534,http://www.boxofficemojo.com/movies/?id=walktombstones.htm,A Walk Among the Tombstones,28000000.0,26307600.0,,19-Sep-14,1 hrs. 54 min.,Universal,Drama,R,No Academy Awards Information
539,http://www.boxofficemojo.com/movies/?id=walktoremember.htm,A Walk to Remember,11800000.0,41281092.0,,25-Jan-02,1 hrs. 41 min.,Warner Bros.,Romance,PG,No Academy Awards Information
554,http://www.boxofficemojo.com/movies/?id=ai.htm,A.I. Artificial Intelligence,100000000.0,78616689.0,,29-Jun-01,2 hrs. 25 min.,Warner Bros.,Sci-Fi,PG-13,Nominated for Two Oscars.
561,http://www.boxofficemojo.com/movies/?id=atl.htm,ATL,20000000.0,21170563.0,,31-Mar-06,1 hrs. 40 min.,Warner Bros.,Drama,PG-13,No Academy Awards Information
567,http://www.boxofficemojo.com/movies/?id=abandon.htm,Abandon,25000000.0,10727683.0,,18-Oct-02,1 hrs. 39 min.,Paramount,Thriller,PG-13,No Academy Awards Information
568,http://www.boxofficemojo.com/movies/?id=abduction11.htm,Abduction,35000000.0,28087155.0,,23-Sep-11,1 hrs. 46 min.,Lionsgate,Action,PG-13,No Academy Awards Information
579,http://www.boxofficemojo.com/movies/?id=aboutlastnight14.htm,About Last Night (2014),12500000.0,48637684.0,,14-Feb-14,1 hrs. 40 min.,Sony / Screen Gems,Romantic Comedy,R,No Academy Awards Information
582,http://www.boxofficemojo.com/movies/?id=aboutschmidt.htm,About Schmidt,30000000.0,65016287.0,,13-Dec-02,2 hrs. 4 min.,New Line,Comedy / Drama,R,Nominated for Two Oscars.
584,http://www.boxofficemojo.com/movies/?id=aboutaboy.htm,About a Boy,30000000.0,41385278.0,,17-May-02,1 hrs. 40 min.,Universal,Comedy / Drama,PG-13,Nominated for One Oscar.
589,http://www.boxofficemojo.com/movies/?id=abrahamlincolnvampirehunter.htm,Abraham Lincoln: Vampire Hunter,69000000.0,37519139.0,,22-Jun-12,1 hrs. 45 min.,Fox,Horror Thriller,R,No Academy Awards Information
599,http://www.boxofficemojo.com/movies/?id=accepted.htm,Accepted,23000000.0,36323505.0,,18-Aug-06,1 hrs. 30 min.,Universal,Comedy,PG-13,No Academy Awards Information
602,http://www.boxofficemojo.com/movies/?id=aceventura.htm,Ace Ventura: Pet Detective,15000000.0,72217396.0,,4-Feb-94,1 hrs. 27 min.,Warner Bros.,Comedy,PG-13,No Academy Awards Information
610,http://www.boxofficemojo.com/movies/?id=actofvalor.htm,Act of Valor,12000000.0,70012847.0,,24-Feb-12,1 hrs. 51 min.,Relativity,Thriller,R,No Academy Awards Information
619,http://www.boxofficemojo.com/movies/?id=adaptation.htm,Adaptation.,19000000.0,22498520.0,,6-Dec-02,1 hrs. 54 min.,Sony / Columbia,Comedy,R,"""Nominated for Four Oscars, Including One Win."""
626,http://www.boxofficemojo.com/movies/?id=admission.htm,Admission,13000000.0,18007317.0,,22-Mar-13,1 hrs. 57 min.,Focus Features,Comedy / Drama,PG-13,No Academy Awards Information
644,http://www.boxofficemojo.com/movies/?id=aeonflux.htm,Aeon Flux,62000000.0,25874337.0,,2-Dec-05,1 hrs. 35 min.,Paramount,Sci-Fi Action,PG-13,No Academy Awards Information
647,http://www.boxofficemojo.com/movies/?id=affliction.htm,Affliction,6000000.0,6330054.0,,30-Dec-98,1 hrs. 55 min.,Lions Gate,Drama,R,"""Nominated for Two Oscars, Including One Win."""
657,http://www.boxofficemojo.com/movies/?id=1000ae.htm,After Earth,130000000.0,60522097.0,,31-May-13,1 hrs. 40 min.,Sony / Columbia,Sci-Fi,PG-13,No Academy Awards Information
669,http://www.boxofficemojo.com/movies/?id=afterthesunset.htm,After the Sunset,60000000.0,28331233.0,,12-Nov-04,1 hrs. 38 min.,New Line,Romantic Thriller,PG-13,No Academy Awards Information
687,http://www.boxofficemojo.com/movies/?id=agentcodybanks.htm,Agent Cody Banks,28000000.0,47938330.0,,14-Mar-03,1 hrs. 50 min.,MGM,Family Adventure,PG,No Academy Awards Information
688,http://www.boxofficemojo.com/movies/?id=agentcodybanks2.htm,Agent Cody Banks 2: Destination London,26000000.0,23630159.0,,12-Mar-04,1 hrs. 41 min.,MGM,Family Adventure,PG,No Academy Awards Information
695,http://www.boxofficemojo.com/movies/?id=agora.htm,Agora,70000000.0,619423.0,,28-May-10,2 hrs. 7 min.,Newmarket,Historical Drama,R,No Academy Awards Information
709,http://www.boxofficemojo.com/movies/?id=airforceone.htm,Air Force One,85000000.0,172956409.0,,25-Jul-97,2 hrs. 4 min.,Sony / Columbia,Action Thriller,R,Nominated for Two Oscars.
715,http://www.boxofficemojo.com/movies/?id=airplane.htm,Airplane!,3500000.0,83453539.0,,27-Jun-80,1 hrs. 28 min.,Paramount,Comedy,PG,No Academy Awards Information
716,http://www.boxofficemojo.com/movies/?id=airport.htm,Airport,10000000.0,100489151.0,,5-Mar-70,2 hrs. 17 min.,Universal,Drama / Thriller,G,No Academy Awards Information
720,http://www.boxofficemojo.com/movies/?id=ajami.htm,Ajami,1000000.0,622403.0,,3-Feb-10,2 hrs. 0 min.,Kino,Drama,Unrated,Nominated for One Oscar.
721,http://www.boxofficemojo.com/movies/?id=akeelahandthebee.htm,Akeelah and the Bee,8000000.0,18848430.0,,28-Apr-06,1 hrs. 52 min.,Lionsgate,Drama,PG,No Academy Awards Information
727,http://www.boxofficemojo.com/movies/?id=aladdin.htm,Aladdin,28000000.0,217350219.0,,13-Nov-92,1 hrs. 30 min.,Buena Vista,Animation,G,"""Nominated for Five Oscars, Including Two Wins."""
733,http://www.boxofficemojo.com/movies/?id=albinoalligator.htm,Albino Alligator,6000000.0,339379.0,,17-Jan-97,1 hrs. 34 min.,Miramax,Unknown,R,No Academy Awards Information
734,http://www.boxofficemojo.com/movies/?id=alexcross.htm,Alex Cross,35000000.0,25888412.0,,19-Oct-12,1 hrs. 41 min.,Lionsgate/Summit,Crime Thriller,PG-13,No Academy Awards Information
736,http://www.boxofficemojo.com/movies/?id=alexandemma.htm,Alex and Emma,30000000.0,14218698.0,,20-Jun-03,1 hrs. 40 min.,Warner Bros.,Romantic Comedy,PG-13,No Academy Awards Information
738,http://www.boxofficemojo.com/movies/?id=alexander.htm,Alexander,155000000.0,34297191.0,,24-Nov-04,2 hrs. 56 min.,Warner Bros.,Historical Epic,R,No Academy Awards Information
739,http://www.boxofficemojo.com/movies/?id=alexanderbadday.htm,"""Alexander and the Terrible, Horrible, No Good, Very Bad Day""",28000000.0,66954149.0,,10-Oct-14,1 hrs. 21 min.,Buena Vista,Family,PG,No Academy Awards Information
743,http://www.boxofficemojo.com/movies/?id=alfie.htm,Alfie,60000000.0,13399812.0,,5-Nov-04,1 hrs. 42 min.,Paramount,Comedy / Drama,R,No Academy Awards Information
746,http://www.boxofficemojo.com/movies/?id=ali.htm,Ali,107000000.0,58203105.0,,25-Dec-01,2 hrs. 36 min.,Sony / Columbia,Sports Drama,R,Nominated for Two Oscars.
752,http://www.boxofficemojo.com/movies/?id=alice2.htm,Alice Through the Looking Glass,170000000.0,77041381.0,,27-May-16,1 hrs. 52 min.,Buena Vista,Family Adventure,PG,No Academy Awards Information
755,http://www.boxofficemojo.com/movies/?id=aliceinwonderland10.htm,Alice in Wonderland (2010),200000000.0,334191110.0,,5-Mar-10,1 hrs. 49 min.,Buena Vista,Family Adventure,PG,"""Nominated for Three Oscars, Including Two Wins."""
757,http://www.boxofficemojo.com/movies/?id=alien.htm,Alien,11000000.0,78944891.0,80931801,25-May-79,1 hrs. 57 min.,Fox,Sci-Fi Horror,R,"""Nominated for Two Oscars, Including One Win."""
758,http://www.boxofficemojo.com/movies/?id=alien3.htm,Alien 3,50000000.0,55473545.0,,22-May-92,1 hrs. 54 min.,Fox,Sci-Fi Horror,R,Nominated for One Oscar.
763,http://www.boxofficemojo.com/movies/?id=alienresurrection.htm,Alien Resurrection,75000000.0,47795658.0,,26-Nov-97,1 hrs. 49 min.,Fox,Sci-Fi Horror,R,No Academy Awards Information
765,http://www.boxofficemojo.com/movies/?id=avp.htm,Alien Vs. Predator,60000000.0,80282231.0,,13-Aug-04,1 hrs. 27 min.,Fox,Sci-Fi Horror,PG-13,No Academy Awards Information
770,http://www.boxofficemojo.com/movies/?id=aliensintheattic.htm,Aliens in the Attic,45000000.0,25200412.0,,31-Jul-09,1 hrs. 26 min.,Fox,Family Adventure,PG,No Academy Awards Information
783,http://www.boxofficemojo.com/movies/?id=allaboutthebenjamins.htm,All About the Benjamins,15000000.0,25916319.0,,8-Mar-02,1 hrs. 35 min.,New Line,Action Comedy,R,No Academy Awards Information
810,http://www.boxofficemojo.com/movies/?id=allornothing.htm,All or Nothing,9000000.0,201546.0,,25-Oct-02,2 hrs. 8 min.,United Artists,Unknown,R,No Academy Awards Information
813,http://www.boxofficemojo.com/movies/?id=allthekingsmen.htm,All the King's Men,55000000.0,7221458.0,,22-Sep-06,2 hrs. 21 min.,Sony / Columbia,Drama,PG-13,No Academy Awards Information
817,http://www.boxofficemojo.com/movies/?id=alltheprettyhorses.htm,All the Pretty Horses,57000000.0,15540353.0,,25-Dec-00,1 hrs. 57 min.,Miramax,Western,PG-13,No Academy Awards Information
818,http://www.boxofficemojo.com/movies/?id=allthequeensmen.htm,All the Queen's Men,15000000.0,23662.0,,25-Oct-02,1 hrs. 45 min.,Strand,Unknown,Unrated,No Academy Awards Information
828,http://www.boxofficemojo.com/movies/?id=pittcotillard.htm,Allied,85000000.0,40098064.0,,23-Nov-16,2 hrs. 1 min.,Paramount,Romantic Thriller,R,Nominated for One Oscar.
829,http://www.boxofficemojo.com/movies/?id=ameyerschristmas.htm,Almost Christmas,17000000.0,42065185.0,,11-Nov-16,1 hrs. 52 min.,Universal,Comedy,PG-13,No Academy Awards Information
830,http://www.boxofficemojo.com/movies/?id=almostfamous.htm,Almost Famous,60000000.0,32534850.0,,15-Sep-00,2 hrs. 2 min.,DreamWorks,Music Drama,R,"""Nominated for Four Oscars, Including One Win."""
836,http://www.boxofficemojo.com/movies/?id=almostyou.htm,Almost You,1000000.0,95000.0,,29-Mar-85,1 hrs. 36 min.,Fox,Unknown,R,No Academy Awards Information
840,http://www.boxofficemojo.com/movies/?id=crowe2014.htm,Aloha,37000000.0,21067116.0,,29-May-15,1 hrs. 45 min.,Sony / Columbia,Comedy / Drama,PG-13,No Academy Awards Information
842,http://www.boxofficemojo.com/movies/?id=aloneyetnotalone.htm,Alone Yet Not Alone,7000000.0,887851.0,,27-Sep-13,1 hrs. 43 min.,Seatzy/IMA,Adventure,PG-13,No Academy Awards Information
843,http://www.boxofficemojo.com/movies/?id=aloneinthedark.htm,Alone in the Dark,20000000.0,5178569.0,,28-Jan-05,1 hrs. 36 min.,Lions Gate,Horror,R,No Academy Awards Information
