key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date
b928,w1478,,american psycho ,2000,7000000.0,34300000.0,3.9,14-Apr-00
b937,w1514,o8822,american ultra,2015,28000000.0,27100000.0,-0.03214285714285714,21-Aug-15
b939,w1522,o9624,american wedding,2003,55000000.0,231449203.0,3.2081673272727267,1-Aug-03
b949,w1547,,amistad ,1997,36000000.0,44200000.0,0.22777777777777775,10-Dec-97
b973,w1387,o16447,an american carol,2008,20000000.0,7013191.0,-0.64934045,3-Oct-08
b975,w1430,o18170,an american haunting,2005,14000000.0,29612137.0,1.1151526428571428,5-May-06
b985,w11909,o10571,an everlasting piece,2000,14000000.0,75228.0,-0.9946265714285716,22-Dec-00
b995,w40052,o18171,an unfinished life,2005,30000000.0,18600000.0,-0.38,9-Sep-05
b999,w1580,o21950,anacondas: the hunt for the blood orchid,2004,20000000.0,71000000.0,2.55,27-Aug-04
b1000,w1583,o16187,analyze that,2002,60000000.0,55003135.0,-0.08328108333333334,6-Dec-02
b1001,w1584,o2024,analyze this,1999,80000000.0,176900000.0,1.21125,5-Mar-99
b1010,w1595,o992,anchorman 2: the legend continues,2013,50000000.0,173600000.0,2.472,18-Dec-13
b1011,w1596,o21951,anchorman: the legend of ron burgundy,2004,26000000.0,90600000.0,2.4846153846153847,9-Jul-04
b1028,w1648,,angel eyes ,2001,53000000.0,29715606.0,-0.4393281886792453,18-May-01
b1030,w1651,o1319,angel heart,1987,18000000.0,17000000.0,-0.05555555555555555,6-Mar-87
b1034,w1670,,angela's ashes ,1999,25000000.0,13042112.0,-0.47831552,25-Dec-99
b1035,w1673,,angels & demons ,2009,150000000.0,485900000.0,2.239333333333333,15-May-09
b1041,w1693,,anger management ,2003,75000000.0,195700000.0,1.6093333333333333,11-Apr-03
b1061,w1721,o2026,anna and the king,1999,92000000.0,113996937.0,0.23909714130434784,17-Dec-99
b1062,w1738,,annabelle ,2014,6500000.0,256900000.0,38.52307692307692,3-Oct-14
b1071,w1755,,annie (2014 film),2014,65000000.0,133800000.0,1.0584615384615386,19-Dec-14
b1073,w1757,o14512,annie hall,1977,4000000.0,38300000.0,8.575,20-Apr-77
b1090,w1800,o13697,another you,1991,17000000.0,2865916.0,-0.8314167058823531,26-Jul-91
b1092,w1807,,ant-man ,2015,130000000.0,519300000.0,2.9946153846153845,17-Jul-15
b1106,w1822,,antwone fisher ,2002,12500000.0,23400000.0,0.872,19-Dec-02
b1107,w1823,o13485,antz,1998,42.0,171800000.0,4090475.1904761908,2-Oct-98
b1111,w1827,o2027,any given sunday,1999,55000000.0,100200000.0,0.8218181818181818,22-Dec-99
b1114,w1842,o9627,anything else,2003,18000000.0,13585075.0,-0.2452736111111111,19-Sep-03
b1116,w1851,,anywhere but here ,1999,23000000.0,23600000.0,0.026086956521739132,12-Nov-99
b1125,w1885,o20213,apocalypto,2006,40000000.0,120700000.0,2.0175,8-Dec-06
b1129,w1894,,appaloosa ,2008,20000000.0,27665851.0,0.38329255,19-Sep-08
b1143,w1930,o3652,aqua teen hunger force colon movie film for theaters,2007,750000.0,5500000.0,6.333333333333332,13-Apr-07
b1145,w1932,,aquamarine ,2006,12000000.0,23006849.0,0.9172374166666668,3-Mar-06
b1161,w1974,,are we there yet? ,2005,32000000.0,97900000.0,2.059375,21-Jan-05
b1171,w2027,o2028,arlington road,9-Jul,31000000.0,41100000.0,0.3258064516129032,9-Jul-99
b1176,w2034,,armored ,2009,20000000.0,22942221.0,0.14711105,4-Dec-09
b1184,w2050,,around the world in 80 days (2004 film),2004,110000000.0,75000000.0,-0.3181818181818182,16-Jun-04
b1186,w2061,,arrival ,2016,47000000.0,198000000.0,3.2127659574468086,11-Nov-16
b1197,w2097,,arthur (2011 film),2011,40000000.0,45735397.0,0.143384925,8-Apr-11
b1208,w2126,o6370,as good as it gets,1997,50000000.0,314178011.0,5.28356022,23-Dec-97
b1224,w2163,,assassin's creed ,2016,125000000.0,241400000.0,0.9312,21-Dec-16
b1229,w2170,,assassins ,1995,50000000.0,30300000.0,-0.39399999999999996,6-Oct-95
b1230,w2178,,assault on precinct 13 (2005 film),2005,30000000.0,35300000.0,0.17666666666666667,19-Jan-05
b1235,w2194,,astro boy ,2009,65000000.0,41600000.0,-0.36,23-Oct-09
b1241,w2216,,at first sight (1999 film),1999,60000000.0,22365133.0,-0.6272477833333333,15-Jan-99
b1246,w2257,o19968,atlantis: the lost empire,2001,90120000000.0,186100000.0,-0.9979349755881048,8-Jun-01
b1248,w2262,o2450,atlas shrugged: part i,2011,20000000.0,4627375.0,-0.76863125,15-Apr-11
b1272,w2341,o16191,austin powers in goldmember,2002,63000000.0,296700000.0,3.7095238095238097,26-Jul-02
b1273,w2339,o6371,austin powers: international man of mystery,1997,16500000.0,67700000.0,3.103030303030303,2-May-97
b1274,w2340,o2029,austin powers: the spy who shagged me,1999,33000000.0,312000000.0,8.454545454545455,11-Jun-99
b1285,w2359,,autumn in new york ,2000,65000000.0,90700000.0,0.3953846153846154,11-Aug-00
b1289,w2375,o8827,avengers: age of ultron,2015,316000000.0,1.405,-0.9999999955537976,1-May-15
b1294,w2393,,awake ,2007,8600000.0,32700000.000000004,2.8023255813953494,30-Nov-07
b1297,w2401,o18583,away we go,2009,17000000.0,14899417.0,-0.12356370588235295,5-Jun-09
b1327,w2461,,baby boy ,2001,16000000.0,29381649.0,0.8363530625,27-Jun-01
b1331,w2476,o2030,baby geniuses,1999,12000000.0,36500000.0,2.0416666666666665,12-Mar-99
b1332,w2481,,baby mama ,2008,30000000.0,64200000.0,1.14,25-Apr-08
b1333,w2496,o2258,baby's day out,1994,48000000.0,16671505.0,-0.6526769791666667,1-Jul-94
b1336,w2501,o16455,babylon a.d.,yes,70000000.0,72100000.0,0.03,29-Aug-08
b1348,w2567,o21329,back to the future,1985,19000000.0,381100000.0,19.057894736842105,3-Jul-85
b1350,w2568,o15816,back to the future part ii,1989,40000000.0,332000000.0,7.3,22-Nov-89
b1351,w2569,o14969,back to the future part iii,1990,40000000.0,244500000.0,5.1125,25-May-90
b1368,w2613,o9636,bad boys ii,2003,130000000.0,273300000.0,1.1023076923076922,18-Jul-03
b1381,w2643,o18585,bad lieutenant: port of call new orleans,2009,25000000.0,10600000.0,-0.5760000000000001,20-Nov-09
b1387,w2658,o18179,bad news bears,2005,35000000.0,34300000.0,-0.02,22-Jul-05
b1388,w2666,o9637,bad santa,2003,23000000.0,76500000.0,2.3260869565217392,26-Nov-03
b1389,w2667,o5324,bad santa 2,2016,26000000.0,23200000.0,-0.1076923076923077,23-Nov-16
b1390,w2670,o2451,bad teacher,2011,20000000.0,216200000.0,9.81,24-Jun-11
b1413,w2727,o16195,ballistic: ecks vs. sever,20-Sep,70000000.0,19900000.0,-0.7157142857142857,20-Sep-02
b1447,w2787,,bangkok dangerous (2008 film),2008,45000000.0,42500000.0,-0.05555555555555555,5-Sep-08
b1461,w2844,o21960,barbershop 2: back in business,2004,30000000.0,66000000.0,1.2,6-Feb-04
b1479,w2947,o7453,basic instinct,1992,49000000.0,352900000.0,6.202040816326531,20-Mar-92
b1488,w2984,o18185,batman begins,2005,150000000.0,374200000.0,1.4946666666666666,15-Jun-05
b1490,w2987,o20626,batman forever,1995,100000000.0,336500000.0,2.365,16-Jun-95
b1491,w2988,o7454,batman returns,1992,80000000.0,266800000.0,2.335,19-Jun-92
b1493,w2990,o5327,batman v superman: dawn of justice,2016,250.0,873300000.0,3493199.0,25-Mar-16
b1496,w3002,,bats ,1999,5250000.0,10200000.0,0.9428571428571428,22-Oct-99
b1509,w3021,o2454,battle: los angeles,2011,70000000.0,211800000.0,2.025714285714286,11-Mar-11
b1509,w3021,o2454,battle: los angeles,2011,70000000.0,211800000.0,2.025714285714286,11-Mar-11
b1511,w3055,,battlefield earth ,2000,73000000.0,29700000.0,-0.5931506849315068,12-May-00
b1512,w3059,,battleship ,2012,209220000000.0,303000000.0,-0.9985517636937196,18-May-12
b1516,w3077,o18186,be cool,2005,53000000.0,95200000.0,0.7962264150943397,4-Mar-05
b1529,w3140,,beastly ,2011,17000000.0,43000000.0,1.5294117647058822,4-Mar-11
b1542,w3185,,beautiful creatures (2013 film),2013,60000000.0,60100000.0,0.0016666666666666668,14-Feb-13
b1557,w3204,,beauty and the beast (2017 film),2017,160000000.0,1.048,-0.99999999345,17-Mar-17
b1562,w3220,o5071,beavis and butt-head do america,1996,12000000.0,63100000.0,4.258333333333334,20-Dec-96
b1565,w3223,,because of winn-dixie ,2005,14000000.0,33589427.0,1.3992447857142858,18-Feb-05
b1573,w3236,,bedazzled (2000 film),2000,48.0,90383208.0,1882982.5,20-Oct-00
b1575,w3250,,bedtime stories ,2008,80000000.0,212900000.0,1.66125,25-Dec-08
b1576,w3255,o3663,bee movie,2007,150000000.0,287600000.0,0.9173333333333332,2-Nov-07
b1577,w3256,,bee season ,2005,14000000.0,6856989.0,-0.5102150714285715,11-Nov-05
b1595,w3296,o20627,before sunrise,1995,2500000.0,5500000.0,1.2,27-Jan-95
b1605,w3317,o7923,beginners,2010,3200000.0,14300000.0,3.46875,3-Jun-11
b1607,w3330,,behind enemy lines (2001 film),2001,40000000.0,92000000.0,1.3,30-Nov-01
b1619,w3369,o2032,being john malkovich,1999,13000000.0,32400000.0,1.4923076923076923,29-Oct-99
b1637,w3432,,beloved ,1998,80000000.0,22900000.0,-0.71375,16-Oct-98
b1644,w3464,,ben-hur (2016 film),2016,100000000.0,94100000.0,-0.059000000000000004,19-Aug-16
b1671,w3536,,best laid plans (1999 film),1999,7000000.0,27816.0,-0.9960262857142858,10-Sep-99
b1693,w3592,o16202,better luck tomorrow,2002,250000.0,3800000.0,14.2,11-Apr-03
