index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,wiki_editing,wiki_studio,actor,director,writer,distributor,composer,cinematographer,producer,bom_awards,bom_awards_scr,actor_clean,director_clean,writer_clean,distributor_clean,composer_clean,cinematographer_clean,producer_clean,actor_score,director_score,writer_score,distributor_score,composer_score,cinematographer_score,producer_score
492,b1230,w2178,,assault on precinct 13 (2005 film),2005,30000000.0,35300000.0,0.17666666666666667,2005-01-19 00:00:00,1.0,1.0,19.0,3.0,1.0,109.0,4.0,,,"""['Ethan Hawke', 'Laurence Fishburne', 'Gabriel Byrne', 'Maria Bello', 'John Leguizamo', 'Brian Dennehy']""",,['James DeMonaco'],Rogue Pictures,['Graeme Revell'],,"""['Don Carmody', 'Jeffrey Silver']""",,0.0,"['Ethan Hawke', 'Laurence Fishburne', 'Gabriel Byrne', 'Maria Bello', 'John Leguizamo', 'Brian Dennehy']",[''],['James DeMonaco'],['Rogue Pictures'],['Graeme Revell'],[''],"['Don Carmody', 'Jeffrey Silver']",291809.68750195304,0.0,3.8640000000000008,24.01488888888889,107873.47465531406,0.0,5.2254367113923506
493,b1235,w2194,,astro boy ,2009,65000000.0,41600000.0,-0.36,2009-10-23 00:00:00,10.0,4.0,296.0,42.0,0.0,95.0,2.0,[Robert Anich Cole],[Imagi Animation Studios],"""['Freddie Highmore', 'Nicolas Cage', 'Kristen Bell*']""",['David Bowers'],['David Bowers'],Summit Entertainment,['John Ottman'],[Pepe Valencia],"""[Maryann Garger, Kuzuka Yayoki]""",,0.0,"['Freddie Highmore', 'Nicolas Cage', 'Kristen Bell']",['David Bowers'],['David Bowers'],['Summit Entertainment'],['John Ottman'],['Pepe Valencia'],"['Maryann Garger', 'Kuzuka Yayoki']",96313.39309732552,1.196698843661931,-0.36,231354.95478722607,26895.430851330984,-0.36,-0.72
494,b1240,w2213,o8356,at close range,1986,6500000.0,2300000.0,-0.6461538461538462,1986-04-18 00:00:00,4.0,2.0,108.0,15.0,0.0,111.0,4.0,[Howard E. Smith],"""[Hemdale Film Corporation, Cinema '85]""","""['Sean Penn', 'Christopher Walken', 'Mary Stuart Masterson', 'Chris Penn', 'Kiefer Sutherland*']""",['James Foley'],,Orion Pictures,[Patrick Leonard],[Juan Ruiz AnchiÌa],"""[Don Guest, Elliott Lewitt]""",,0.0,"['Sean Penn', 'Christopher Walken', 'Mary Stuart Masterson', 'Chris Penn', 'Kiefer Sutherland']",['James Foley'],[''],['Orion Pictures'],['Patrick Leonard'],['Juan Ruiz AnchiÌ\x81a'],"['Don Guest', 'Elliott Lewitt']",217581.83088026402,1.7318783993783993,0.0,11.984218777466383,-0.6461538461538462,1.283574423076923,-0.6814336192307693
495,b1241,w2216,,at first sight (1999 film),1999,60000000.0,22365133.0,-0.6272477833333333,1999-01-15 00:00:00,1.0,1.0,15.0,2.0,1.0,128.0,3.0,[Julie Monroe],,['Val Kilmer'],['Irwin Winkler'],,MGM,['Mark Isham'],"""[Ivan Muniz, John Seale]""","""['Rob Cowan', 'Irwin Winkler']""",,0.0,['Val Kilmer'],['Irwin Winkler'],[''],['MGM'],['Mark Isham'],"['Ivan Muniz', 'John Seale']","['Rob Cowan', 'Irwin Winkler']",92766.61546777468,-0.3762723448148148,0.0,8137.10081522142,2.0640548337693625,17.140985876921732,30.07025343687893
496,b1242,w2221,o10457,at long last love,1975,5140000.0,2500000.0,-0.5136186770428015,1975-03-06 00:00:00,3.0,1.0,65.0,9.0,0.0,123.0,7.0,[Douglas Robertson],,Burt Reynolds|Cybill Shepherd|Madeline Kahn|Duilio Del Prete,Peter Bogdanovich,,Fox,[Cole Porter],[Laszlo Kovacs],['Frank Marshall'],,0.0,"['Burt Reynolds', 'Cybill Shepherd', 'Madeline Kahn', 'Duilio Del Prete']",['Peter Bogdanovich'],[''],['Fox'],['Cole Porter'],['Laszlo Kovacs'],['Frank Marshall'],20.012741580308187,3.697094377778254,0.0,32164.623051773695,-0.14878412317843134,5.4383903659857324,13.951497442867721
497,b1243,w2222,o997,at middleton,2013,2500000.0,82993.0,-0.9668028,2014-01-31 00:00:00,1.0,1.0,31.0,4.0,0.0,99.0,4.0,[Suzy Elmiger],,"""['Andy Garcia', 'Vera Farmiga']""",Adam Rodgers,,Anchor Bay Films,[Arturo Sandoval],[Emmanuel Kadosh],"""[Andy GarciÌa, Glenn German, Sig Libowitz]""",,0.0,"['Andy Garcia', 'Vera Farmiga']",['Adam Rodgers'],[''],['Anchor Bay Films'],['Arturo Sandoval'],['Emmanuel Kadosh'],"['Andy GarciÌ\x81a', 'Glenn German', 'Sig Libowitz']",35.26056230929392,-0.9668028,0.0,-0.9093098940996168,-0.9668028,-0.9829797333333334,-2.9004084
498,b1244,w2225,o13698,at play in the fields of the lord,1991,36000000.0,1342903.0,-0.9626971388888887,1991-12-06 00:00:00,12.0,4.0,340.0,48.0,0.0,189.0,4.0,"""[William M. Anderson, Armen Minasian]""",,['Kathy Bates'],Hector Babenco,,Universal,[Zbigniew Preisner],[Lauro Escorel],[Saul Zaentz],,0.0,['Kathy Bates'],['Hector Babenco'],[''],['Universal'],['Zbigniew Preisner'],['Lauro Escorel'],['Saul Zaentz'],341860.4239497568,-0.9626971388888887,0.0,13067.921936655492,-0.9626971388888887,1.1555652453703704,39.61315066459695
499,,w2245,,athena ,,1443000.0,1880000.0,0.30284130284130284,,,,,,,,,[],,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,,w2249,,atl ,,20000000.0,21200000.0,0.06,,,,,,,,,[David Blackburn],[Overbrook Entertainment],,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,b1246,w2257,o19968,atlantis: the lost empire,2001,90120000000.0,186100000.0,-0.9979349755881048,2001-06-08 00:00:00,6.0,2.0,159.0,22.0,0.0,96.0,2.0,[Ellen Keneshea],"""[Walt Disney Pictures, Walt Disney Feature Animation]""","""['James Garner*', 'Leonard Nimoy*']""",Gary Trousdale|Kirk Wise,['Joss Whedon'],Buena Vista,['James Newton Howard'],,['Don Hahn'],,0.0,"['James Garner', 'Leonard Nimoy']","['Gary Trousdale', 'Kirk Wise']",['Joss Whedon'],['Buena Vista'],['James Newton Howard'],[''],['Don Hahn'],252655.36737317176,-1.9958699511762097,4.841972633236812,29837.947263543883,25010.298661830344,0.0,2.8229018937712675
