key_bom,key_wiki,key_omdb,bom_title,wiki_title,omdb_title,year_bom_format,year_wiki_format,year_omdb_format,wiki_budget,wiki_gross,bom_budget,bom_domestic_gross,bom_worldwide_revenue,budget,gross
b530,w40479,o2426,a very harold &amp; kumar 3d christmas,a very harold & kumar 3d christmas,a very harold & kumar 3d christmas,2011.0,2011,2011.0,19000000.0,35400000.0,19000000.0,35061031.0,19000000.0,19000000.0,19000000.0
b534,w40803,,a walk among the tombstones,a walk among the tombstones ,,2014.0,2014,,28000000.0,62100000.0,28000000.0,26307600.0,28000000.0,28000000.0,28000000.0
b539,w40825,o16181,a walk to remember,a walk to remember,a walk to remember,2002.0,2002,2002.0,11800000.0,47494916.0,11800000.0,41281092.0,11800000.0,11800000.0,11800000.0
b554,w391,o19956,a.i. artificial intelligence,a.i. artificial intelligence,a.i. artificial intelligence,2001.0,2001,2001.0,100000000.0,235900000.0,100000000.0,78616689.0,100000000.0,100000000.0,100000000.0
b567,w403,,abandon,abandon ,,2002.0,2002,,25000000.0,12300000.0,25000000.0,10727683.0,25000000.0,25000000.0,25000000.0
b579,w446,,about last night (2014),about last night (2014 film),,2014.0,2014,,12500000.0,49000000.0,12500000.0,48637684.0,12500000.0,12500000.0,12500000.0
b599,w483,o20196,accepted,accepted,accepted,2006.0,2006,2006.0,23000000.0,38500000.0,23000000.0,36323505.0,23000000.0,23000000.0,23000000.0
b602,w518,o2248,ace ventura: pet detective,ace ventura: pet detective,ace ventura: pet detective,1994.0,1994,1994.0,15000000.0,107200000.0,15000000.0,72217396.0,15000000.0,15000000.0,15000000.0
b626,w607,,admission,admission ,,2013.0,2013,,13000000.0,18637201.0,13000000.0,18007317.0,13000000.0,13000000.0,13000000.0
b657,w776,o975,after earth,after earth,after earth,2013.0,2013,2013.0,130.0,243800000.0,130000000.0,60522097.0,130000000.0,130000000.0,130000000.0
b669,w802,o21944,after the sunset,after the sunset,after the sunset,2004.0,2004,2004.0,59000000.0,61347797.0,60000000.0,28331233.0,60000000.0,60000000.0,60000000.0
b687,w848,o9620,agent cody banks,agent cody banks,agent cody banks,2003.0,2003,2003.0,28000000.0,58700000.0,28000000.0,47938330.0,28000000.0,28000000.0,28000000.0
b709,w885,,air force one,air force one ,,1997.0,1997,,85000000.0,315200000.0,85000000.0,172956409.0,85000000.0,85000000.0,85000000.0
b733,w947,,albino alligator,albino alligator,,1997.0,1997,,6000000.0,339379.0,6000000.0,339379.0,6000000.0,6000000.0,6000000.0
b734,w956,,alex cross,alex cross ,,2012.0,2012,,35000000.0,34600000.0,35000000.0,25888412.0,35000000.0,35000000.0,35000000.0
b765,w1051,,alien vs. predator,alien vs. predator ,,2004.0,2004,,60000000.0,172500000.0,60000000.0,80282231.0,60000000.0,60000000.0,60000000.0
b770,w1055,o18556,aliens in the attic,aliens in the attic,aliens in the attic,2009.0,2009,2009.0,45000000.0,57900000.0,45000000.0,25200412.0,45000000.0,45000000.0,45000000.0
b783,w1073,o16184,all about the benjamins,all about the benjamins,all about the benjamins,2002.0,2002,2002.0,15000000.0,26306533.0,15000000.0,25916319.0,15000000.0,15000000.0,15000000.0
b800,w1127,,all quiet on the western front,all quiet on the western front (1930 film),,1930.0,1930,,1200000.0,1500000.0,1200000.0,0.0,1200000.0,1200000.0,1200000.0
b813,w1145,,all the king's men,all the king's men (2006 film),,2006.0,2006,,55000000.0,9500000.0,55000000.0,7221458.0,55000000.0,55000000.0,55000000.0
b828,w1193,,allied,allied ,,2016.0,2016,,85000000.0,119500000.0,85000000.0,40098064.0,85000000.0,85000000.0,85000000.0
b829,w1210,,almost christmas,almost christmas ,,2016.0,2016,,17000000.0,42500000.0,17000000.0,42065185.0,17000000.0,17000000.0,17000000.0
b830,w1211,o10569,almost famous,almost famous,almost famous,2000.0,13-Sep,2000.0,60000000.0,47400000.0,60000000.0,32534850.0,60000000.0,60000000.0,60000000.0
b840,w1222,,aloha,aloha ,,2015.0,2015,,52000000.0,26300000.0,37000000.0,21067116.0,37000000.0,37000000.0,37000000.0
b842,w1235,o983,alone yet not alone,alone yet not alone,alone yet not alone,2013.0,2013,2013.0,7000000.0,887851.0,7000000.0,887851.0,7000000.0,7000000.0,7000000.0
b843,w1231,,alone in the dark,alone in the dark (2005 film),,2005.0,2005,,20000000.0,10400000.0,20000000.0,5178569.0,20000000.0,20000000.0,20000000.0
b845,w1241,o21947,along came polly,along came polly,along came polly,2004.0,2004,2004.0,42000000.0,173000000.0,42000000.0,88097164.0,42000000.0,42000000.0,42000000.0
b846,w1236,,along came a spider,along came a spider ,,2001.0,2001,,60000000.0,105200000.0,60000000.0,74078174.0,60000000.0,60000000.0,60000000.0
b857,w1272,,alvin and the chipmunks,alvin and the chipmunks ,,2007.0,2007,,60000000.0,361300000.0,60000000.0,217326974.0,60000000.0,60000000.0,60000000.0
b858,w1276,o2437,alvin and the chipmunks: chipwrecked,alvin and the chipmunks: chipwrecked,alvin and the chipmunks: chipwrecked,2011.0,2011,2011.0,80000000.0,342700000.0,75000000.0,133110742.0,75000000.0,75000000.0,75000000.0
b860,w1277,o18561,alvin and the chipmunks: the squeakquel,alvin and the chipmunks: the squeakquel,alvin and the chipmunks: the squeakquel,2009.0,2009,2009.0,70000000.0,443140005.0,75000000.0,219614612.0,75000000.0,75000000.0,75000000.0
b874,w1353,,amelia,amelia ,,2009.0,2009,,40000000.0,19600000.0,40000000.0,14245415.0,40000000.0,40000000.0,40000000.0
b883,w1367,o19959,america's sweethearts,america's sweethearts,america's sweethearts,2001.0,2001,2001.0,64400000.00000001,138200000.0,46000000.0,93607673.0,46000000.0,46000000.0,46000000.0
b888,w1378,,american beauty,american beauty (1999 film),,1999.0,1999,,15000000.0,356300000.0,15000000.0,130096601.0,15000000.0,15000000.0,15000000.0
b896,w1402,o20203,american dreamz,american dreamz,american dreamz,2006.0,21-Apr,2006.0,17000000.0,16458459.0,17000000.0,7191830.0,17000000.0,17000000.0,17000000.0
b899,w1413,,american gangster,american gangster ,,2007.0,2007,,100000000.0,266500000.0,100000000.0,130164645.0,100000000.0,100000000.0,100000000.0
b909,w1440,o988,american hustle,american hustle,american hustle,2013.0,2013,2013.0,40000000.0,251200000.0,40000000.0,150117807.0,40000000.0,40000000.0,40000000.0
b923,w1468,o2022,american pie,american pie ,american pimp,1999.0,1999,1999.0,11000000.0,235483004.0,11000000.0,102561004.0,11000000.0,11000000.0,11000000.0
b924,w1469,o19964,american pie 2,american pie 2,american pie 2,2001.0,2001,2001.0,30000000.0,287500000.0,30000000.0,145103595.0,30000000.0,30000000.0,30000000.0
b928,w1478,,american psycho,american psycho ,,2000.0,2000,,7000000.0,34300000.0,7000000.0,15070285.0,7000000.0,7000000.0,7000000.0
b937,w1514,o8822,american ultra,american ultra,american ultra,2015.0,2015,2015.0,28000000.0,27100000.0,28000000.0,14440985.0,28000000.0,28000000.0,28000000.0
b939,w1522,o9624,american wedding,american wedding,american wedding,2003.0,2003,2003.0,55000000.0,231449203.0,55000000.0,104565114.0,55000000.0,55000000.0,55000000.0
b949,w1547,,amistad,amistad ,,1997.0,1997,,36000000.0,44200000.0,36000000.0,44229441.0,36000000.0,36000000.0,36000000.0
b973,w1387,o16447,an american carol,an american carol,an american carol,2008.0,2008,2008.0,20000000.0,7013191.0,20000000.0,7013191.0,20000000.0,20000000.0,20000000.0
b975,w1430,o18170,an american haunting,an american haunting,an american haunting,2006.0,2005,2005.0,14000000.0,29612137.0,14000000.0,16298046.0,14000000.0,14000000.0,14000000.0
b985,w11909,o10571,an everlasting piece,an everlasting piece,an everlasting piece,2000.0,2000,2000.0,14000000.0,75228.0,14000000.0,75228.0,14000000.0,14000000.0,14000000.0
b995,w40052,o18171,an unfinished life,an unfinished life,an unfinished life,2005.0,2005,2005.0,30000000.0,18600000.0,30000000.0,8586392.0,30000000.0,30000000.0,30000000.0
b999,w1580,o21950,anacondas: the hunt for the blood orchid,anacondas: the hunt for the blood orchid,anacondas: the hunt for the blood orchid,2004.0,2004,2004.0,20000000.0,71000000.0,20000000.0,32238923.0,20000000.0,20000000.0,20000000.0
b1000,w1583,o16187,analyze that,analyze that,analyze that,2002.0,2002,2002.0,60000000.0,55003135.0,60000000.0,32130627.0,60000000.0,60000000.0,60000000.0
b1001,w1584,o2024,analyze this,analyze this,analyze this,1999.0,1999,1999.0,80000000.0,176900000.0,80000000.0,106885658.0,80000000.0,80000000.0,80000000.0
b1010,w1595,o992,anchorman 2: the legend continues,anchorman 2: the legend continues,anchorman 2: the legend continues,2013.0,2013,2013.0,50000000.0,173600000.0,50000000.0,125168368.0,50000000.0,50000000.0,50000000.0
b1011,w1596,o21951,anchorman: the legend of ron burgundy,anchorman: the legend of ron burgundy,anchorman: the legend of ron burgundy,2004.0,2004,2004.0,26000000.0,90600000.0,26000000.0,85288303.0,26000000.0,26000000.0,26000000.0
b1028,w1648,,angel eyes,angel eyes ,,2001.0,2001,,53000000.0,29715606.0,53000000.0,24174218.0,53000000.0,53000000.0,53000000.0
b1030,w1651,o1319,angel heart,angel heart,angel heart,1987.0,1987,1987.0,18000000.0,17000000.0,17000000.0,17185632.0,17000000.0,17000000.0,17000000.0
b1034,w1670,,angela's ashes,angela's ashes ,,1999.0,1999,,25000000.0,13042112.0,50000000.0,13042112.0,50000000.0,50000000.0,50000000.0
b1035,w1673,,angels &amp; demons,angels & demons ,,2009.0,2009,,150000000.0,485900000.0,150000000.0,133375846.0,150000000.0,150000000.0,150000000.0
b1041,w1693,,anger management,anger management ,,2003.0,2003,,75000000.0,195700000.0,75000000.0,135645823.0,75000000.0,75000000.0,75000000.0
b1061,w1721,o2026,anna and the king,anna and the king,anna and the king,1999.0,1999,1999.0,92000000.0,113996937.0,92000000.0,39263420.0,92000000.0,92000000.0,92000000.0
b1062,w1738,,annabelle,annabelle ,,2014.0,2014,,6500000.0,256899999.99999997,6500000.0,84273813.0,6500000.0,6500000.0,6500000.0
b1071,w1755,,annie (2014),annie (2014 film),,2014.0,2014,,65000000.0,133800000.00000001,65000000.0,85911262.0,65000000.0,65000000.0,65000000.0
b1073,w1757,o14512,annie hall,annie hall,annie hall,1977.0,1977,1977.0,4000000.0,38300000.0,4000000.0,38251425.0,4000000.0,4000000.0,4000000.0
b1090,w1800,o13697,another you,another you,another you,1991.0,1991,1991.0,17000000.0,2865916.0,17000000.0,2865916.0,17000000.0,17000000.0,17000000.0
b1092,w1807,,ant-man,ant-man ,,2015.0,2015,,130000000.0,519299999.99999994,130000000.0,180202163.0,130000000.0,130000000.0,130000000.0
b1106,w1822,,antwone fisher,antwone fisher ,,2002.0,2002,,12500000.0,23400000.0,12500000.0,21078145.0,12500000.0,12500000.0,12500000.0
b1107,w1823,o13485,antz,antz,antz,1998.0,1998,1998.0,42.0,171800000.0,105000000.0,90757863.0,105000000.0,105000000.0,105000000.0
b1111,w1827,o2027,any given sunday,any given sunday,any given sunday,1999.0,1999,1999.0,55000000.0,100200000.0,55000000.0,75530832.0,55000000.0,55000000.0,55000000.0
b1114,w1842,o9627,anything else,anything else,anything else,2003.0,2003,2003.0,18000000.0,13585075.0,18000000.0,3212310.0,18000000.0,18000000.0,18000000.0
b1116,w1851,,anywhere but here,anywhere but here ,,1999.0,1999,,23000000.0,23600000.0,23000000.0,18670401.0,23000000.0,23000000.0,23000000.0
b1125,w1885,o20213,apocalypto,apocalypto,apocalypto,2006.0,2006,2006.0,40000000.0,120700000.0,40000000.0,50866635.0,40000000.0,40000000.0,40000000.0
b1129,w1894,,appaloosa,appaloosa ,,2008.0,2008,,20000000.0,27665851.0,20000000.0,20211394.0,20000000.0,20000000.0,20000000.0
b1143,w1930,o3652,aqua teen hunger force colon movie film for theaters,aqua teen hunger force colon movie film for theaters,aqua teen hunger force colon movie film for theaters,2007.0,2007,2007.0,750000.0,5500000.0,750000.0,5520368.0,750000.0,750000.0,750000.0
b1145,w1932,,aquamarine,aquamarine ,,2006.0,2006,,12000000.0,23006849.0,12000000.0,18597342.0,12000000.0,12000000.0,12000000.0
b1161,w1974,,are we there yet?,are we there yet? ,,2005.0,2005,,32000000.0,97900000.0,32000000.0,82674398.0,32000000.0,32000000.0,32000000.0
b1171,w2027,o2028,arlington road,arlington road,arlington road,1999.0,9-Jul,1999.0,31000000.0,41100000.0,31000000.0,24756177.0,31000000.0,31000000.0,31000000.0
b1176,w2034,,armored,armored ,,2009.0,2009,,20000000.0,22942221.0,20000000.0,15988876.0,20000000.0,20000000.0,20000000.0
b1184,w2050,,around the world in 80 days,around the world in 80 days (2004 film),,2004.0,2004,,110000000.0,75000000.0,110000000.0,24008137.0,110000000.0,110000000.0,110000000.0
b1186,w2061,,arrival,arrival ,,2016.0,2016,,47000000.0,198000000.0,47000000.0,100546139.0,47000000.0,47000000.0,47000000.0
b1197,w2097,,arthur (2011),arthur (2011 film),,2011.0,2011,,40000000.0,45735397.0,40000000.0,33035397.0,40000000.0,40000000.0,40000000.0
b1201,w2099,o20216,arthur and the invisibles,arthur and the invisibles,arthur and the invisibles,2006.0,2006,2006.0,,107944236.0,86000000.0,15132763.0,86000000.0,86000000.0,86000000.0
b1208,w2126,o6370,as good as it gets,as good as it gets,as good as it gets,1997.0,1997,1997.0,50000000.0,314178011.0,50000000.0,148478011.0,50000000.0,50000000.0,50000000.0
b1224,w2163,,assassin's creed,assassin's creed ,,2016.0,2016,,125000000.0,241400000.0,125000000.0,54647948.0,125000000.0,125000000.0,125000000.0
b1229,w2170,,assassins,assassins ,,1995.0,1995,,50000000.0,30300000.0,50000000.0,30303072.0,50000000.0,50000000.0,50000000.0
b1230,w2178,,assault on precinct 13,assault on precinct 13 (2005 film),,2005.0,2005,,30000000.0,35300000.0,30000000.0,20040895.0,30000000.0,30000000.0,30000000.0
b1235,w2194,,astro boy,astro boy ,,2009.0,2009,,65000000.0,41600000.0,65000000.0,19551067.0,65000000.0,65000000.0,65000000.0
b1241,w2216,,at first sight,at first sight (1999 film),,1999.0,1999,,60000000.0,22365133.0,60000000.0,22365133.0,60000000.0,60000000.0,60000000.0
b1248,w2262,o2450,atlas shrugged: part i,atlas shrugged: part i,atlas shrugged: part i,2011.0,2011,2011.0,20000000.0,4627375.0,20000000.0,4627375.0,20000000.0,20000000.0,20000000.0
b1272,w2341,o16191,austin powers in goldmember,austin powers in goldmember,austin powers in goldmember,2002.0,2002,2002.0,63000000.0,296700000.0,63000000.0,213307889.0,63000000.0,63000000.0,63000000.0
b1273,w2339,o6371,austin powers: international man of mystery,austin powers: international man of mystery,austin powers: international man of mystery,1997.0,1997,1997.0,16500000.0,67700000.0,16500000.0,53883989.0,16500000.0,16500000.0,16500000.0
b1274,w2340,o2029,austin powers: the spy who shagged me,austin powers: the spy who shagged me,austin powers: the spy who shagged me,1999.0,1999,1999.0,33000000.0,312000000.0,33000000.0,206040086.0,33000000.0,33000000.0,33000000.0
b1285,w2359,,autumn in new york,autumn in new york ,,2000.0,2000,,65000000.0,90700000.0,65000000.0,37761915.0,65000000.0,65000000.0,65000000.0
b1289,w2375,o8827,avengers: age of ultron,avengers: age of ultron,avengers: age of ultron,2015.0,2015,2015.0,316000000.0,1405000.0,250000000.0,459005868.0,250000000.0,250000000.0,250000000.0
b1294,w2393,,awake,awake ,,2007.0,2007,,8600000.0,32700000.000000004,8600000.0,14377198.0,8600000.0,8600000.0,8600000.0
b1297,w2401,o18583,away we go,away we go,away we go,2009.0,2009,2009.0,17000000.0,14899417.0,17000000.0,9451946.0,17000000.0,17000000.0,17000000.0
b1327,w2461,,baby boy,baby boy ,,2001.0,2001,,16000000.0,29381649.0,16000000.0,28734552.0,16000000.0,16000000.0,16000000.0
b1331,w2476,o2030,baby geniuses,baby geniuses,baby geniuses,1999.0,1999,1999.0,12000000.0,36500000.0,12000000.0,27250736.0,12000000.0,12000000.0,12000000.0
b1332,w2481,,baby mama,baby mama ,,2008.0,2008,,30000000.0,64200000.0,30000000.0,60494212.0,30000000.0,30000000.0,30000000.0
b1333,w2496,o2258,baby's day out,baby's day out,baby's day out,1994.0,1994,1994.0,48000000.0,16671505.0,48000000.0,16827402.0,48000000.0,48000000.0,48000000.0
b1336,w2501,o16455,babylon a.d.,babylon a.d.,babylon a.d.,2008.0,yes,2008.0,70000000.0,72100000.0,70000000.0,22532572.0,70000000.0,70000000.0,70000000.0
b1348,w2567,o21329,back to the future,back to the future,back to the future,1985.0,1985,1985.0,19000000.0,381100000.0,19000000.0,210609762.0,19000000.0,19000000.0,19000000.0
b1350,w2568,o15816,back to the future part ii,back to the future part ii,back to the future part ii,1989.0,1989,1989.0,40000000.0,332000000.0,40000000.0,118450002.0,40000000.0,40000000.0,40000000.0
b1351,w2569,o14969,back to the future part iii,back to the future part iii,back to the future part iii,1990.0,1990,1990.0,40000000.0,244500000.0,40000000.0,87727583.0,40000000.0,40000000.0,40000000.0
b1368,w2613,o9636,bad boys ii,bad boys ii,bad boys ii,2003.0,2003,2003.0,130000000.0,273300000.0,130000000.0,138608444.0,130000000.0,130000000.0,130000000.0
b1381,w2643,o18585,bad lieutenant: port of call new orleans,bad lieutenant: port of call new orleans,bad lieutenant: port of call new orleans,2009.0,2009,2009.0,25000000.0,10600000.0,25000000.0,1702112.0,25000000.0,25000000.0,25000000.0
b1387,w2658,o18179,bad news bears,bad news bears,bad news bears,2005.0,2005,2005.0,35000000.0,34300000.0,35000000.0,32868349.0,35000000.0,35000000.0,35000000.0
b1388,w2666,o9637,bad santa,bad santa,bad santa,2003.0,2003,2003.0,23000000.0,76500000.0,23000000.0,60060328.0,23000000.0,23000000.0,23000000.0
b1389,w2667,o5324,bad santa 2,bad santa 2,bad santa 2,2016.0,2016,2016.0,26000000.0,23200000.0,26000000.0,17782178.0,26000000.0,26000000.0,26000000.0
b1390,w2670,o2451,bad teacher,bad teacher,bad teacher,2011.0,2011,2011.0,20000000.0,216200000.0,20000000.0,100292856.0,20000000.0,20000000.0,20000000.0
b1413,w2727,o16195,ballistic: ecks vs. sever,ballistic: ecks vs. sever,ballistic: ecks vs. sever,2002.0,20-Sep,2002.0,70000000.0,19900000.0,70000000.0,14307963.0,70000000.0,70000000.0,70000000.0
b1430,w2750,,bananas,bananas ,,1971.0,1971,,2000000.0,11800000.0,2000000.0,0.0,2000000.0,2000000.0,2000000.0
b1447,w2787,,bangkok dangerous,bangkok dangerous (2008 film),,2008.0,2008,,45000000.0,42500000.0,45000000.0,15298133.0,45000000.0,45000000.0,45000000.0
b1461,w2844,o21960,barbershop 2: back in business,barbershop 2: back in business,barbershop 2: back in business,2004.0,2004,2004.0,30000000.0,66000000.0,30000000.0,65111277.0,30000000.0,30000000.0,30000000.0
b1479,w2947,o7453,basic instinct,basic instinct,basic instinct,1992.0,1992,1992.0,49000000.0,352900000.0,49000000.0,117727224.0,49000000.0,49000000.0,49000000.0
b1488,w2984,o18185,batman begins,batman begins,batman begins,2005.0,2005,2005.0,150000000.0,374200000.0,150000000.0,205343774.0,150000000.0,150000000.0,150000000.0
b1490,w2987,o20626,batman forever,batman forever,batman forever,1995.0,1995,1995.0,100000000.0,336500000.0,100000000.0,184031112.0,100000000.0,100000000.0,100000000.0
b1491,w2988,o7454,batman returns,batman returns,batman returns,1992.0,1992,1992.0,80000000.0,266800000.0,80000000.0,162831698.0,80000000.0,80000000.0,80000000.0
b1493,w2990,o5327,batman v superman: dawn of justice,batman v superman: dawn of justice,batman v superman: dawn of justice,2016.0,2016,2016.0,250.0,873300000.0,250000000.0,330360194.0,250000000.0,250000000.0,250000000.0
