index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,bom_awards,bom_awards_scr,actor_clean,director_clean,writer_clean,distributor_clean,composer_clean,cinematographer_clean,producer_clean,actor_score,director_score,writer_score,distributor_score,composer_score,cinematographer_score,producer_score
10,b3890,w11190,o10624,"""dude, where's my car?""",2000,13000000.0,73180723.0,4.6292863846153836,2000-12-15 00:00:00,12.0,4.0,350.0,50.0,0.0,,3.0,,0.0,"['Ashton Kutcher', 'Jennifer Garner']",[''],[''],['Fox'],['David Kitay'],['Robert M. Stevens'],"['Broderick Johnson', 'Andrew A. Kosove']",14.346921799411527,0.0,0.0,5.646431275360688,2.258972827070304,1.149024551695253,4.0022203857725
11,,w11373,,"""east side, west side (1949 film)""",,1754000.0,2540000.0,0.4481185860889396,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,b3982,w11466,o12452,"""edison, the man""",1940,893000.0,1787000.0,1.0011198208286674,2040-05-10 00:00:00,5.0,2.0,131.0,19.0,0.0,,6.0,,0.0,"['Spencer Tracy', 'Rita Johnson', 'Lynne Overman', 'Charles Coburn', 'Gene Lockhart', 'Henry Travers']",['Clarence Brown'],['Talbot Jennings'],['MGM'],['Herbert Stothart'],['Harold Rosson'],['John W. Considine'],10.113399187654236,1.6193706124369227,0.8504795041845363,7.299907034110385,1.3283042944447743,1.9298947942832427,2.6287982523832456
13,,w11483,o23097,"""edward, my son""",1-Mar,2421000.0,2142000.0,-0.11524163568773235,2049-06-01 00:00:00,6.0,2.0,152.0,22.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,b4062,w11586,o11722,"""elvira, mistress of the dark""",1988,7500000.0,5596267.0,-0.25383106666666666,1988-09-30 00:00:00,9.0,3.0,274.0,39.0,0.0,,3.0,,0.0,"['Phil Rubenstein', 'Larry Flash Jenkins', 'Cassandra Peterson', 'Damita Jo Freeman']",['James Signorelli'],[''],['New World'],['James B. Campbell'],['Hanania Bier'],"['Eric Gardner', 'Mark Pierson']",-1.0153242666666666,-0.25383106666666666,0.0,2.809429294260014,-0.25383106666666666,-0.25383106666666666,-0.5076621333333333
15,b4379,w12472,,"""farewell, my lovely (1975 film)""",1975,2500000.0,2000000.0,-0.2,1975-08-08 00:00:00,8.0,3.0,220.0,31.0,0.0,,4.0,,0.0,['Sylvester Stallone'],[''],[''],['Embassy'],['David Shire'],['John A. Alonzo'],['Jerry Bruckheimer'],0.9696420461669332,0.0,0.0,3.0141304039264836,8.120904927631258,9.075273384646971,1.0719647176468214
16,b4546,,,"""first love, last rites""",,300000.0,42953.0,-0.8568233333333334,,,,,,,,4.0,,0.0,['Giovanni Ribisi'],['Jesse Peretz'],['Jesse Peretz'],['Strand'],['Craig Wedren'],['Ellis W. Carter'],[''],4.254294541384141,1.553200133333334,-0.8568233333333334,0.11691881350429856,1.25728055984127,5.670261366662787,0.0
17,b4640,w13491,o16551,"""food, inc.""",2008,1000000.0,4600000.0,3.6,2009-06-12 00:00:00,6.0,2.0,163.0,23.0,0.0,,2.0,Nominated for One Oscar.,1.0,[''],[''],[''],['Magnolia'],[''],[''],['Jeff Skoll'],0.0,0.0,0.0,1.2938208791545818,0.0,0.0,4.64928522995338
18,b4672,w13534,o3376,"""for a good time, call...""",2012,1300000.0,1251749.0,-0.03711615384615385,2012-08-31 00:00:00,8.0,3.0,244.0,35.0,1.0,,4.0,,0.0,"['Ari Graynor', 'Justin Long']",[''],[''],['Focus Features'],['John Swihart'],['James Laxton'],"['Josh Kesselman', 'Lauren Miller', 'Jennifer Weinbaum']",2.0993552942033102,0.0,0.0,6.981486500945458,-0.0026371741025641438,1.804306393162393,-0.5722511346153846
19,,w13671,o15157,"""forever, darling""",1956,951000.0,2288000.0,1.405888538380652,2056-02-09 00:00:00,2.0,1.0,40.0,6.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,,w14321,o17609,"""gaily, gaily""",1969,9000000.0,1000000.0,-0.8888888888888888,1970-03-23 00:00:00,3.0,1.0,82.0,12.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,b5076,w14969,,"""girl, interrupted """,1999,40000000.0,48350205.0,0.208755125,1999-12-21 00:00:00,12.0,4.0,355.0,51.0,1.0,,4.0,"""Nominated for One Oscar, Including One Win.""",6.0,"['Winona Ryder', 'Angelina Jolie', 'Brittany Murphy', 'Elisabeth Moss']",['James Mangold'],['James Mangold'],['Sony / Columbia'],['Mychael Danna'],['Jack N. Green'],"['Cathy Konrad', 'Douglas Wick']",22.04752219078196,5.174036157656927,7.099783795833334,3.5466651852676847,8.8632763829796,6.6352297711618275,11.41032055368111
22,,w15187,o15163,"""godzilla, king of the monsters!""",1956,650000.0,2000000.0,2.0769230769230766,2056-04-27 00:00:00,4.0,2.0,118.0,17.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,b5211,w15396,o18273,"""good night, and good luck""",2005,7000000.0,54641191.0,6.805884428571429,2005-10-07 00:00:00,10.0,4.0,280.0,40.0,1.0,,2.0,Nominated for Six Oscars.,6.0,"['David Strathairn', 'Patricia Clarkson', 'George Clooney', 'Jeff Daniels', 'Frank Langella']",['George Clooney'],"['George Clooney', 'Grant Heslov']",['Warner Independent'],[''],['Robert Elswit'],"['Jennifer Fox', 'Samuel Hadida', 'Grant Heslov', 'Jeff Skoll', 'Steven Soderbergh']",29.25884747845049,6.424601200533662,18.88588442857143,3.015530387223807,0.0,8.291146336573693,31.621069533133028
24,,w15444,,"""goodbye, columbus """,,1500000.0,22939805.0,14.293203333333333,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,,w15448,o1786,"""goodbye, my fancy""",1951,1312000.0,1300000.0,-0.009146341463414634,2051-05-19 00:00:00,5.0,2.0,139.0,20.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,b5270,w15575,o3171,"""grandview, u.s.a.""",1984,5000000.0,4743119.0,-0.0513762,1984-08-03 00:00:00,8.0,3.0,216.0,31.0,0.0,,4.0,,0.0,"['Jamie Lee Curtis', 'C. Thomas Howell', 'Patrick Swayze', 'Troy Donahue', 'Jennifer Jason Leigh', 'John Cusack']",[''],[''],['Warner Bros.'],"['Thomas Newman', 'Thomas Newman']",['Reynaldo Villalobos'],"['William Blaylock', 'Peter W. Rea']",9.386600789614958,0.0,0.0,5.157735405996123,7.927845474449859,2.126507143795175,-0.1027524
27,b5393,w16111,o5374,"""hail, caesar!""",2016,22000000.0,63647656.0,1.8930752727272728,2016-02-05 00:00:00,2.0,1.0,36.0,5.0,0.0,,3.0,Nominated for One Oscar.,1.0,"['Josh Brolin', 'George Clooney', 'Ralph Fiennes', 'Tilda Swinton', 'Channing Tatum', 'Scarlett Johansson', 'Jonah Hill']","['Ethan Coen', 'Joel Coen']","['Ethan Coen', 'Joel Coen']",['Universal'],['Carter Burwell'],['Roger Deakins'],"['Tim Bevan', 'Ethan Coen', 'Joel Coen', 'Eric Fellner']",41.96978480105016,9.670850703512691,11.72712673473101,5.641032691138026,5.1670679300868,5.584931702525942,24.317531836661246
28,,w16333,,"""happy, texas """,,1750000.0,3920000.0,1.24,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,b5480,,,"""happy, texas""",,2500000.0,1955933.0,-0.2176268,,,,,,,,3.0,,0.0,['William H. Macy'],[''],[''],['Miramax'],[''],['Ellis W. Carter'],['Jason Clark'],4.496261280367416,0.0,0.0,7.1781160245824225,0.0,5.670261366662787,1.9449794557539686
30,,w16550,o4310,"""have rocket, will travel""",1959,380000.0,2500000.0,5.57894736842105,2059-08-01 00:00:00,8.0,3.0,213.0,30.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,b5565,w16607,o13755,"""he said, she said""",1991,15000000.0,9804775.0,-0.3463483333333333,1991-02-22 00:00:00,2.0,1.0,53.0,7.0,1.0,,3.0,,0.0,"['Kevin Bacon', 'Sharon Stone']",['Ken Kwapis'],[''],['Paramount'],['Miles Goodman'],['Stephen H. Burum'],"['Frank Mancuso Jr.', 'Vikki Williams']",3.145273731645942,-0.0897255298809524,0.0,8.186987636001584,3.0814423810054508,6.154700019654037,-0.2997366322510822
32,,w16794,o11913,"""heaven knows, mr. allison""",1957,2905000.0,4200000.0,0.4457831325301205,2057-03-13 00:00:00,3.0,1.0,72.0,10.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,,w16956,,"""hello, dolly! """,,25000000.0,26000000.0,0.04,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,b5660,w16960,o8879,"""hello, my name is doris""",2015,1000000.0,14700000.0,13.7,2016-03-11 00:00:00,3.0,1.0,71.0,10.0,0.0,,4.0,,0.0,"['Sally Field', 'Peter Gallagher', 'Max Greenfield', 'Natasha Lyonne']",['Michael Showalter'],[''],['Roadside Attractions'],['Brian H. Kim'],['Brian Burgoyne'],"['Daniel Crown', 'Kevin Mann', 'Riva Marker', 'Jordana Mollick', 'Daniela Taplin Lundberg']",34.7362056844519,13.7,0.0,8.244847337516607,13.7,13.7,46.472694249999996
35,,w17393,o5723,"""hips, hips, hooray!""",1934,336000.0,625000.0,0.8601190476190477,2034-02-02 00:00:00,2.0,1.0,33.0,5.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,b5785,w17494,o11034,"""history of the world, part i""",1981,10000000.0,31700000.0,2.17,1981-06-12 00:00:00,6.0,2.0,163.0,23.0,0.0,,4.0,,0.0,"['Mel Brooks', 'Dom DeLuise', 'Madeline Kahn', 'Harvey Korman']",['Mel Brooks'],[''],['Fox'],['John Morris'],['Woody Omens'],['Mel Brooks'],15.826062551619856,2.422028822846723,0.0,5.646431275360688,5.315861839055314,3.168333333333333,6.2120071010704825
37,b5862,w17811,o7500,"""honey, i blew up the kid""",1992,40000000.0,76000000.0,0.9,1992-07-17 00:00:00,7.0,3.0,199.0,28.0,0.0,,2.0,,0.0,"['Rick Moranis', 'Marcia Strassman', 'Robert Oliveri', 'Daniel Shalikar']",['Randal Kleiser'],[''],['Buena Vista'],['Bruce Broughton'],['John Hora'],"['Dawn Steel', 'Edward S. Feldman']",2.8698956908957416,0.5725782592592593,0.0,3.754049241719004,1.3087159740769496,3.4033333333333338,1.806148148148148
38,,w17889,,"""hook, line and sinker (1930 film)""",,287000.0,780000.0,1.7177700348432057,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,,w18245,o9476,"""how to be very, very popular""",1955,1565000.0,3700000.0,1.3642172523961662,2056-01-06 00:00:00,1.0,1.0,6.0,1.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,b6039,w18452,o19529,"""hush... hush, sweet charlotte""",1964,2235000.0,4000000.0,0.7897091722595079,2064-12-25 00:00:00,12.0,4.0,360.0,51.0,0.0,,6.0,,0.0,"['Bette Davis', 'Olivia de Havilland', 'Joseph Cotten', 'Agnes Moorehead', 'Cecil Kellaway', 'Victor Buono', 'Mary Astor', 'Wesley Addy', 'William Campbell', 'Bruce Dern']",['Robert Aldrich'],"['Henry Farrell', 'Lukas Heller']",['Fox'],['Frank De Vol'],['Joseph F. Biroc'],['Robert Aldrich'],21.32296352381603,1.7106064237941774,3.3693165558542573,5.646431275360688,5.4780897924840195,1.6330591355976736,0.3735549897374785
41,b6090,w18600,,"""i love you, beth cooper """,2009,18000000.0,15821907.0,-0.12100516666666665,2009-07-10 00:00:00,7.0,3.0,191.0,27.0,1.0,,3.0,,0.0,['Hayden Panettiere'],['Chris Columbus'],[''],['Fox'],['Christophe Beck'],['Phil Abraham'],['Chris Columbus'],1.131432978391813,-0.16461983333333333,0.0,5.646431275360688,1.1720251386306744,-0.22402196794871795,0.09343388888888891
42,b6094,w18603,o18727,"""i love you, man""",2009,40000000.0,91600000.0,1.29,2009-03-20 00:00:00,3.0,1.0,79.0,11.0,0.0,,4.0,,0.0,"['Paul Rudd', 'Jason Segel', 'Rashida Jones', 'Andy Samberg', 'Jon Favreau', 'Aziz Ansari']",['John Hamburg'],[''],['Paramount (DreamWorks)'],['Theodore Shapiro'],['Larry Sher'],"['Bill Johnson', 'Tom Pollock']",24.148136370764703,0.8131567543859649,0.0,1.9045202315881582,1.6865753026462833,2.58464370458026,2.5618732308002805
43,b6095,,,"""i love you, phillip morris""",,13000000.0,20722843.0,0.5940648461538461,,,,,,,,4.0,,0.0,"['Jim Carrey', 'Ewan McGregor', 'Leslie Mann']","['Glenn Ficarra', 'John Requa']","['Glenn Ficarra', 'John Requa']",['Roadside Attractions'],['Nick Urata'],['Ellis W. Carter'],['Andrew Lazar'],11.234718873786289,0.2535886747252747,1.9322143247650898,8.244847337516607,-0.07055573656539542,5.670261366662787,-0.1366341142144026
44,b6153,w18709,o9994,"""i, frankenstein""",2014,65000000.0,71154592.0,0.09468603076923077,2014-01-24 00:00:00,1.0,1.0,24.0,3.0,1.0,,3.0,,0.0,"['Aaron Eckhart', 'Bill Nighy', 'Yvonne Strahovski', 'Miranda Otto', 'Jai Courtney']",['Stuart Beattie'],['Stuart Beattie'],['Lionsgate'],"['Johnny Klimek', 'Reinhold Heil']",['Ross Emery'],"['Gary Lucchesi', 'Tom Rosenberg', 'Richard Wright']",3.5103394237601573,0.09468603076923077,1.07474569005439,5.418867988958118,2.1783502102411476,0.10228396538461537,4.03526737543485
45,b6483,w19718,o7367,"""it's a mad, mad, mad, mad world""",1963,9400000.0,46332858.0,3.929027446808511,2063-11-07 00:00:00,11.0,4.0,311.0,44.0,0.0,,7.0,,0.0,"['Spencer Tracy', 'Milton Berle', 'Sid Caesar', 'Buddy Hackett']",['Stanley Kramer'],[''],['MGM'],['Ernest Gold'],['Ernest Laszlo'],['Stanley Kramer'],18.700157897794444,3.9831028033256657,0.0,7.299907034110385,2.0874535933806144,3.516759459332725,6.464838597287413
46,b6581,w19975,o2571,"""jeff, who lives at home""",2011,7500000.0,4400000.0,-0.4133333333333333,2012-03-16 00:00:00,3.0,1.0,76.0,11.0,0.0,,4.0,,0.0,"['Jason Segel', 'Ed Helms', 'Susan Sarandon', 'Judy Greer']","['Jay Duplass', 'Mark Duplass']","['Jay Duplass', 'Mark Duplass']",['Paramount Vantage'],['Michael Andrews'],['Jas Shelton'],"['Steven M. Rales', 'Jason Reitman']",7.321869370876242,3.9930335317460313,7.981706825396825,7.347988732622279,1.3555931300859525,-0.4133333333333333,25.319313882521648
47,,w20136,o19711,"""joe smith, american""",1942,236000.0,708000.0,2.0,2042-02-01 00:00:00,2.0,1.0,32.0,4.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,b7414,,,"""life, or something like it""",,40000000.0,16872671.0,-0.578183225,,,,,,,,3.0,,0.0,['Angelina Jolie'],[''],['Dana Stevens'],['Fox'],[''],['Ellis W. Carter'],"['John Davis', 'Toby Jaffe', 'Arnon Milchan']",4.159724401664898,0.0,0.9536608874999999,5.646431275360688,0.0,5.670261366662787,8.400782903815479
49,,w22332,o9196,"""listen, darling""",1938,566000.0,583000.0,0.03003533568904593,2038-10-21 00:00:00,10.0,4.0,294.0,42.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,b7753,w23414,o3837,"""lust, caution""",2007,15000000.0,67091915.0,3.4727943333333333,2007-09-28 00:00:00,9.0,3.0,271.0,38.0,0.0,,5.0,,0.0,"['Tony Leung', 'Joan Chen']",['Ang Lee'],['James Schamus'],['Focus Features'],['Alexandre Desplat'],['Rodrigo Prieto'],"['Ang Lee', 'William Kong', 'James Schamus']",6.945588666666667,2.1624249828460043,2.4404099794152048,6.981486500945458,5.0310516927293545,10.230002677067668,6.278113233333333
51,,w24341,o11227,"""mary burns, fugitive""",1935,337152.0,513176.0,0.5220909263477601,2035-11-15 00:00:00,11.0,4.0,319.0,45.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,b8078,w24542,o8936,"""mcfarland, usa""",2015,17000000.0,45700000.0,1.688235294117647,2015-02-20 00:00:00,2.0,1.0,51.0,7.0,1.0,,2.0,,0.0,"['Maria Bello', 'Kevin Costner']",['Niki Caro'],[''],['Buena Vista'],['AntoÌ\x82nio Pinto'],['Adam Arkapaw'],"['Mark Ciardi', 'Gordon Gray']",6.412427443897244,4.463539573529412,0.0,3.754049241719004,1.688235294117647,0.9782587970588235,3.376470588235294
53,b8166,w24772,,"""men, women & children """,2014,16000000.0,2200000.0,-0.8625,2014-10-01 00:00:00,10.0,4.0,274.0,39.0,0.0,,4.0,,0.0,"['Dean Norris', 'Adam Sandler', 'Ansel Elgort', 'Judy Greer', 'Jennifer Garner', 'Rosemarie DeWitt', 'J.K. Simmons', 'Emma Thompson']",['Jason Reitman'],['Jason Reitman'],['Paramount'],['Bibio'],['Eric Steelberg'],['Jason Reitman'],44.00413391101921,1.3063040112179487,1.4378768205128205,8.186987636001584,-0.8625,1.0782249515625,22.059055112824677
54,,w25800,o17736,"""mother, jugs & speed""",1976,3220000.0,7630000.0,1.3695652173913044,1976-05-26 00:00:00,5.0,2.0,147.0,21.0,1.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,b8488,w25883,o7375,"""move over, darling""",1963,3350000.0,12705882.0,2.792800597014925,2063-12-19 00:00:00,12.0,4.0,353.0,50.0,0.0,,6.0,,0.0,"['Doris Day', 'James Garner', 'Polly Bergen', 'Chuck Connors', 'Thelma Ritter', 'Fred Clark']",['Michael Gordon'],"['Hal Kanter', 'Jack Sher', 'Bella Spewack ', 'Sam Spewack ', 'Leo McCarey ']",['Fox'],['Lionel Newman'],['Daniel L. Fapp'],"['Martin Melcher', 'Aaron Rosenberg']",13.31972524896652,2.792800597014925,11.624964956001747,5.646431275360688,1.388381780207338,4.534468798507462,3.849355866937804
56,b8730,w26566,o2115,"""mystery, alaska""",1999,28000000.0,8891623.0,-0.6824420357142857,1999-10-01 00:00:00,10.0,4.0,274.0,39.0,0.0,,4.0,,0.0,['Russell Crowe'],['Jay Roach'],[''],['Buena Vista'],['Carter Burwell'],['Peter Deming'],['Shauna Robertson'],2.0643212735207848,1.6029325157749859,0.0,3.754049241719004,5.1670679300868,5.242036603135764,1.767708538436101
57,b8850,w26955,,"""new york, new york (1977 film)""",1977,14000000.0,16399999.999999998,0.1714285714285713,1977-06-22 00:00:00,6.0,2.0,173.0,25.0,0.0,,2.0,,0.0,['Robert DeNiro'],['Martin Scorsese'],[''],['United Artists'],"['John Kander', 'Fred Ebb']",['LaÌ\x81szloÌ\x81 KovaÌ\x81cs'],['Irwin Winkler'],10.03056854103557,11.827445846153541,0.0,6.383899716130866,29.852872915601502,3.5414332847883596,19.034354704157696
58,,w27004,,"""nick carter, master detective """,,379000.0,456000.0,0.2031662269129288,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,,w27312,o21563,"""no leave, no love""",1946,1778000.0,3785000.0,1.1287964004499438,2046-10-03 00:00:00,10.0,4.0,276.0,39.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,,w27389,,"""no, no, nanette (1940 film)""",,570000.0,940000.0,0.6491228070175439,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,,w27584,o19765,"""now, voyager""",1942,761000.0,2200000.0,1.890932982917214,2042-10-31 00:00:00,10.0,4.0,304.0,43.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,b9083,w27640,o10672,"""o brother, where art thou?""",2000,26000000.0,71900000.0,1.765384615384615,2000-12-22 00:00:00,12.0,4.0,357.0,51.0,1.0,,3.0,Nominated for Two Oscars.,2.0,"['George Clooney', 'Holly Hunter']",['Joel Coen'],"['Ethan Coen', 'Joel Coen']",['Buena Vista'],['T Bone Burnett'],['Roger Deakins'],"['Tim Bevan', 'Ethan Coen', 'Eric Fellner']",8.952492123876803,5.863563367365505,11.72712673473101,3.754049241719004,11.268804164835165,5.584931702525942,20.473247860497118
63,,w28191,o19426,"""one, two, three""",1961,3000000.0,4000000.0,0.3333333333333333,2061-12-15 00:00:00,12.0,4.0,349.0,50.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,,w28789,o18097,"""paradise, hawaiian style""",1966,2000000.0,2500000.0,0.25,2066-06-15 00:00:00,6.0,2.0,166.0,24.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,,w28863,,"""paris, texas """,,1800000.0,2200000.0,0.2222222222222222,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,b9836,,,"""precious: based on the novel """"push"""" by sapphire""",,10000000.0,63647833.0,5.3647833,,,,,,,,4.0,"""Nominated for Six Oscars, Including Two Wins.""",16.0,"['Gabourey Sidibe', 'MoNique', 'Paula Patton', 'Mariah Carey', 'Lenny Kravitz']",['Lee Daniels'],['Geoffrey Fletcher'],['Lionsgate'],[''],['Ellis W. Carter'],['Lee Daniels'],96.81407067865231,21.3647833,21.3647833,5.418867988958118,0.0,5.670261366662787,19.2960774
67,,w30812,o5573,"""rachel, rachel""",1968,780000.0,3000000.0,2.8461538461538463,2068-08-26 00:00:00,8.0,3.0,239.0,35.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,,w31691,o9277,"""rich man, poor girl""",1938,240000.0,498000.0,1.075,2038-08-12 00:00:00,8.0,3.0,224.0,32.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,,w31698,o1849,"""rich, young and pretty""",1951,1528000.0,2999000.0,0.962696335078534,2051-07-09 00:00:00,7.0,3.0,190.0,28.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,,w31752,o14009,"""ride, vaquero!""",1953,1128000.0,3427000.0,2.0381205673758864,2053-07-17 00:00:00,7.0,3.0,198.0,28.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,,w32704,o10338,"""salome, where she danced""",1945,1159225.0,2598964.0,1.2419840841941814,2045-04-17 00:00:00,4.0,2.0,107.0,16.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
