index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,wiki_editing,wiki_studio,actor,director,writer,distributor,composer,cinematographer,producer
4691,b12032,w37248,o8157,takers,2010,32000000.0,69100000.0,1.159375,2010-08-27 00:00:00,8.0,3.0,239.0,34.0,0.0,107.0,3.0,[Armen Minasian],"""[Rainforest Films, Grand Hustle Films]""","""['Chris Brown', 'Hayden Christensen', 'Matt Dillon', 'Michael Ealy', 'Idris Elba', 'T.I.', 'Jay Hernandez', 'Johnathon Schaech', 'Paul Walker', 'Zoe Saldana']""",['John Luessenhop'],['John Luessenhop'],Sony / Screen Gems,['Paul Haslinger'],[Michael Barrett],"""['Chris Brown', 'Morris Chestnut', 'Will Packer', 'T.I. ']"""
4692,b12033,w37250,,taking care of business ,1990,14000000.0,20005435.0,0.4289596428571428,1990-08-17 00:00:00,8.0,3.0,229.0,32.0,0.0,108.0,4.0,[William H. Reynolds],[Hollywood Pictures],"""['James Belushi', 'Charles Grodin']""",['Arthur Hiller'],['J.J. Abrams'],Buena Vista,[Stewart Copeland],[David M. Walsh],[Geoffrey Taylor]
4693,b12034,w37254,,taking lives ,2004,45000000.0,65400000.00000001,0.4533333333333335,2004-03-19 00:00:00,3.0,1.0,79.0,11.0,0.0,103.0,4.0,,"""[Village Roadshow Pictures, Atmosphere Pictures]""","""['Angelina Jolie', 'Ethan Hawke', 'Kiefer Sutherland', 'Gena Rowlands', 'Paul Dano*']""",['D.J. Caruso'],,Warner Bros.,['Philip Glass'],[Amir Mokri],"""['Mark Canton', 'Dana Goldberg', 'Bernie Goldmann', 'David Heyman']"""
4694,b12036,w37261,o18882,taking woodstock,2009,30000000.0,10000000.0,-0.6666666666666666,2009-08-26 00:00:00,8.0,3.0,238.0,34.0,0.0,120.0,4.0,[Tim Squyres],,"""['Demetri Martin', 'Imelda Staunton', 'Paul Dano', 'Jeffrey Dean Morgan', 'Emile Hirsch', 'Eugene Levy', 'Dan Fogler']""",['Ang Lee'],['James Schamus'],Focus Features,['Danny Elfman'],[Eric Gautier],"""[James Schamus, Ang Lee, Celia Costas]"""
4695,b12045,w37286,o20750,tales from the hood,1995,6000000.0,11797927.0,0.9663211666666668,1995-05-26 00:00:00,5.0,2.0,146.0,21.0,1.0,98.0,4.0,[Charles Bornstein],[40 Acres and a Mule Filmworks],Clarence Williams III|Joe Torry|De'aundre Bonds|Samuel Monroe Jr.,Rusty Cundieff,,Savoy,['Christopher Young'],[Anthony B. Richmond],[Darin Scott]
4696,,w37295,o8625,talk about a stranger,1952,481000.0,375000.0,-0.2203742203742204,2052-04-18 00:00:00,4.0,2.0,109.0,15.0,0.0,65.0,,[Newell P. Kimlin],,,,,,,,
4697,b12049,w37300,,talk radio ,1988,4000000.0,3468572.0,-0.132857,1988-12-23 00:00:00,12.0,4.0,358.0,51.0,1.0,110.0,4.0,"""[David Brenner, Joe Hutshing]""",[Cineplex Odeon Films],['Alec Baldwin'],['Oliver Stone'],,Universal,[Stewart Copeland],[Robert Richardson],"""[Edward R. Pressman, A. Kitman Ho]"""
4698,b12055,w37307,o488,tall in the saddle,1944,565754.0,2000000.0,2.5351053638153687,2044-09-29 00:00:00,9.0,3.0,273.0,39.0,0.0,87.0,6.0,[Philip Martin Jr.],[RKO Radio Pictures],"""['John Wayne', 'Ella Raines', 'Ward Bond', """"George 'Gabby' Hayes"""", 'Paul Fix']""",['Edwin L. Marin'],"""['Michael Hogan', 'Paul Fix', 'Gordon Ray Young ']""",RKO,['Roy Webb'],['Robert de Grasse'],['Robert Fellows']
4699,,w37313,,tall tale ,,32000000.0,8247627.0,-0.74226165625,,,,,,,,,[Richard Chew],"""[Walt Disney Pictures, Caravan Pictures]""",,,,,,,
4700,b12056,w37318,o20507,talladega nights: the ballad of ricky bobby,2006,72500000.0,163000000.0,1.2482758620689656,2006-08-04 00:00:00,8.0,3.0,216.0,31.0,0.0,108.0,3.0,[Brent White],,"""['Will Ferrell', 'John C. Reilly', 'Sacha Baron Cohen', 'Amy Adams', 'Michael Clarke Duncan', 'Gary Cole', 'Jane Lynch', 'Rob Riggle*']""",['Adam McKay'],"""['Will Ferrell', 'Adam McKay']""",Sony / Columbia,['Alex Wurman'],['Oliver Wood'],"""['Judd Apatow', 'Ryan Kavanaugh', 'Adam McKay']"""
4701,,w37321,,tamara (2005 film),,3500000.0,206871.0,-0.940894,,,,,,,,,[Eric Strand],"""[Lionsgate, Armada Pictures, Integrated Films]""",,,,,,,
