link	name	domestic_revenue	foreign_revenue	worldwide_revenue	total_lifetime_gross
http://www.boxofficemojo.com/movies/?id=101dalmatians85.htm	101 Dalmatians (Re-issue) (1985)	"$144,880,014 "			
http://www.boxofficemojo.com/movies/?id=101dalmatians91.htm	101 Dalmatians (Re-issue) (1991)	"$144,880,014 "			
http://www.boxofficemojo.com/movies/?id=101reykjavik.htm	101 Reykjavik	"$126,404 "	n/a	"$126,404 "	
http://www.boxofficemojo.com/movies/?id=102dalmatians.htm	102 Dalmatians	"$66,957,026 "	"$116,654,745 "	"$183,611,771 "	
http://www.boxofficemojo.com/movies/?id=10thandwolf.htm	10th &amp; Wolf	"$54,702 "	"$88,749 "	"$143,451 "	
http://www.boxofficemojo.com/movies/?id=11flowers.htm	11 Flowers	"$9,213 "			
http://www.boxofficemojo.com/movies/?id=111111.htm	11/11/2011	"$32,771 "	"$5,706,613 "	"$5,739,384 "	
http://www.boxofficemojo.com/movies/?id=11thhour15.htm	11th Hour				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=12.htm	12	"$125,120 "	"$7,412,333 "	"$7,537,453 "	
http://www.boxofficemojo.com/movies/?id=12angrymen.htm	12 Angry Men				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=twelvemonkeys.htm	12 Monkeys	"$57,141,459 "	"$111,698,000 "	"$168,839,459 "	
http://www.boxofficemojo.com/movies/?id=12oclockboys.htm	12 O'Clock Boys	"$82,614 "			
http://www.boxofficemojo.com/movies/?id=12rounds.htm	12 Rounds	"$12,234,694 "	"$5,045,632 "	"$17,280,326 "	
http://www.boxofficemojo.com/movies/?id=twelveyearsaslave.htm	12 Years a Slave	"$56,671,993 "	"$131,061,209 "	"$187,733,202 "	
http://www.boxofficemojo.com/movies/?id=121212.htm	12/12/2012				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=127hours.htm	127 Hours	"$18,335,230 "	"$42,403,567 "	"$60,738,797 "	
http://www.boxofficemojo.com/movies/?id=1208eastofbucharest.htm	12:08 East of Bucharest	"$91,881 "	"$431,822 "	"$523,703 "	
http://www.boxofficemojo.com/movies/?id=13assassins.htm	13 Assassins	"$802,778 "	"$16,752,363 "	"$17,555,141 "	
http://www.boxofficemojo.com/movies/?id=13conversationsaboutonething.htm	13 Conversations About One Thing	"$3,288,164 "	"$418,488 "	"$3,706,652 "	
http://www.boxofficemojo.com/movies/?id=13goingon30.htm	13 Going on 30	"$57,231,747 "	"$39,223,950 "	"$96,455,697 "	
http://www.boxofficemojo.com/movies/?id=13hoursthesecretsoldiersofbenghazi.htm	13 Hours: The Secret Soldiers of Benghazi	"$52,853,219 "	"$16,558,151 "	"$69,411,370 "	
http://www.boxofficemojo.com/movies/?id=13minutes.htm	13 Minutes				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=13monthsofsunshine.htm	13 Months of Sunshine	"$2,337 "			
http://www.boxofficemojo.com/movies/?id=13sins.htm	13 Sins	"$13,809 "	n/a	"$13,809 "	
http://www.boxofficemojo.com/movies/?id=13tzameti.htm	13 Tzameti	"$121,390 "	"$673,833 "	"$795,223 "	
http://www.boxofficemojo.com/movies/?id=13b.htm	13B	"$49,043 "	"$2,445,478 "	"$2,494,521 "	
http://www.boxofficemojo.com/movies/?id=14blades.htm	14 Blades	n/a	"$3,786,517 "	"$3,786,517 "	
http://www.boxofficemojo.com/movies/?id=1408.htm	1408	"$71,985,628 "	"$60,012,614 "	"$131,998,242 "	
http://www.boxofficemojo.com/movies/?id=1492.htm	1492: Conquest of Paradise	"$7,191,399 "			
http://www.boxofficemojo.com/movies/?id=15.htm	15	"$3,013 "			
http://www.boxofficemojo.com/movies/?id=15fevrier1839.htm	15 Fevrier 1839	"$248,093 "			
http://www.boxofficemojo.com/movies/?id=15minutes.htm	15 Minutes	"$24,403,552 "	"$31,956,428 "	"$56,359,980 "	
http://www.boxofficemojo.com/movies/?id=16blocks.htm	16 Blocks	"$36,895,141 "	"$28,769,580 "	"$65,664,721 "	
http://www.boxofficemojo.com/movies/?id=16daysofglory.htm	16 Days of Glory	"$83,857 "			
http://www.boxofficemojo.com/movies/?id=16yearsofalcohol.htm	16 Years of Alcohol	"$8,046 "			
http://www.boxofficemojo.com/movies/?id=17again.htm	17 Again	"$64,167,069 "	"$72,100,407 "	"$136,267,476 "	
http://www.boxofficemojo.com/movies/?id=17girls.htm	17 Girls	"$15,123 "	"$186,484 "	"$201,607 "	
http://www.boxofficemojo.com/movies/?id=18again.htm	18 Again	"$2,567,099 "			
http://www.boxofficemojo.com/movies/?id=18ansapres.htm	18 ans apres	"$25,611 "	"$8,760,119 "	"$8,785,730 "	
http://www.boxofficemojo.com/movies/?id=180south.htm	180 South	"$31,745 "			
http://www.boxofficemojo.com/movies/?id=187.htm	187	"$5,727,130 "			
http://www.boxofficemojo.com/movies/?id=1900.htm	1900				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=1911.htm	1911	"$135,739 "	n/a	"$135,739 "	
http://www.boxofficemojo.com/movies/?id=1915.htm	1915	"$111,682 "			
http://www.boxofficemojo.com/movies/?id=1920london.htm	1920 London				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=1941.htm	1941	"$31,755,742 "	"$60,700,000 "	"$92,455,742 "	
http://www.boxofficemojo.com/movies/?id=1969.htm	1969	"$5,979,011 "			
http://www.boxofficemojo.com/movies/?id=1984.htm	1984	"$8,430,492 "			
http://www.boxofficemojo.com/movies/?id=1995bugsbunnyfilmfestival.htm	1995 Bugs Bunny Film Festival	"$19,587 "			
http://www.boxofficemojo.com/movies/?id=1998bugsbunnyfilmfestival.htm	1998 Bugs Bunny Film Festival	"$413,076 "			
http://www.boxofficemojo.com/movies/?id=2autumns.htm	"2 Autumns, 3 Winters"	"$5,819 "	n/a	"$5,819 "	
http://www.boxofficemojo.com/movies/?id=2daysinnewyork.htm	2 Days in New York	"$633,210 "	"$1,020,582 "	"$1,653,792 "	
http://www.boxofficemojo.com/movies/?id=2daysinparis.htm	2 Days in Paris	"$4,433,994 "	"$15,342,165 "	"$19,776,159 "	
http://www.boxofficemojo.com/movies/?id=2daysinthevalley.htm	2 Days in the Valley	"$11,132,210 "			
http://www.boxofficemojo.com/movies/?id=2fast2furious.htm	2 Fast 2 Furious	"$127,154,901 "	"$109,195,760 "	"$236,350,661 "	
http://www.boxofficemojo.com/movies/?id=2guns.htm	2 Guns	"$75,612,460 "	"$56,327,951 "	"$131,940,411 "	
http://www.boxofficemojo.com/movies/?id=2jacks.htm	2 Jacks				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=2states.htm	2 States	"$2,238,174 "	n/a	"$2,238,174 "	
http://www.boxofficemojo.com/movies/?id=20centimeters.htm	20 Centimeters	"$6,635 "	"$422,000 "	"$428,635 "	
http://www.boxofficemojo.com/movies/?id=20dates.htm	20 Dates	"$541,636 "			
http://www.boxofficemojo.com/movies/?id=20feetfromstardom.htm	20 Feet from Stardom	"$4,946,445 "	n/a	"$4,946,445 "	
http://www.boxofficemojo.com/movies/?id=20millionmilestoearth.htm	20 Million Miles to Earth				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=20onceagain.htm	20 Once Again	"$234,573 "	n/a	"$234,573 "	
http://www.boxofficemojo.com/movies/?id=20000daysonearth.htm	"20,000 Days on Earth"	"$279,558 "	"$1,826,000 "	"$2,105,558 "	
http://www.boxofficemojo.com/movies/?id=200cartas.htm	200 Cartas	"$9,338 "			
http://www.boxofficemojo.com/movies/?id=200cigarettes.htm	200 Cigarettes	"$6,852,450 "			
http://www.boxofficemojo.com/movies/?id=2001.htm	2001: A Space Odyssey	"$56,954,992 "			
http://www.boxofficemojo.com/movies/?id=20012013.htm	2001: A Space Odyssey (2013 re-release)	"$57,169,610 "			
http://www.boxofficemojo.com/movies/?id=200101.htm	2001: A Space Odyssey (Re-issue)	"$56,954,992 "	"$3,194,649 "	"$60,149,641 "	
http://www.boxofficemojo.com/movies/?id=shorts06.htm	2005 Academy Award Nominated Short Films	"$157,415 "			
http://www.boxofficemojo.com/movies/?id=2007shortfilms.htm	2007 Academy Award Nominated Short Films	"$508,695 "			
http://www.boxofficemojo.com/movies/?id=2008oscarshorts.htm	2009 Oscar Shorts	"$644,635 "			
http://www.boxofficemojo.com/movies/?id=2010.htm	2010	"$40,400,657 "			
http://www.boxofficemojo.com/movies/?id=2010oscarshorts.htm	2010 Oscar Shorts	"$1,018,169 "			
http://www.boxofficemojo.com/movies/?id=2011oscarshorts.htm	2011 Oscar Shorts	"$1,352,152 "			
http://www.boxofficemojo.com/movies/?id=2012.htm	2012	"$166,112,167 "	"$603,567,306 "	"$769,679,473 "	
http://www.boxofficemojo.com/movies/?id=2012oscarshorts.htm	2012 Oscar Nominated Short Films	"$1,702,415 "			
http://www.boxofficemojo.com/movies/?id=2012timeforchange.htm	2012: Time for Change	"$68,339 "			
http://www.boxofficemojo.com/movies/?id=2013oscar.htm	2013 Oscar Nominated Short Films	"$2,142,342 "			
http://www.boxofficemojo.com/movies/?id=2014oscar.htm	2014 Oscar Nominated Short Films	"$2,171,849 "			
http://www.boxofficemojo.com/movies/?id=2015oscarshorts.htm	2015 Oscar Nominated Short Films	"$2,412,593 "			
http://www.boxofficemojo.com/movies/?id=2016obamasamerica.htm	2016 Obama's America	"$33,449,086 "			
http://www.boxofficemojo.com/movies/?id=2016oscarnominatedshortfilms.htm	2016 Oscar Nominated Short Films	"$2,816,816 "			
http://www.boxofficemojo.com/movies/?id=godparticle.htm	2017 Cloverfield Movie				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=2046.htm	2046	"$1,444,588 "	"$18,025,651 "	"$19,470,239 "	
http://www.boxofficemojo.com/movies/?id=20thcenturywomen.htm	20th Century Women	"$5,653,357 "			
http://www.boxofficemojo.com/movies/?id=21.htm	21	"$81,159,365 "	"$76,767,975 "	"$157,927,340 "	
http://www.boxofficemojo.com/movies/?id=21grams.htm	21 Grams	"$16,290,476 "	"$44,137,363 "	"$60,427,839 "	
http://www.boxofficemojo.com/movies/?id=21jumpstreet.htm	21 Jump Street	"$138,447,667 "	"$63,137,661 "	"$201,585,328 "	
http://www.boxofficemojo.com/movies/?id=21andover.htm	21 and Over	"$25,682,380 "	"$22,383,292 "	"$48,065,672 "	
http://www.boxofficemojo.com/movies/?id=22bullets.htm	22 Bullets	n/a	"$21,263,717 "	"$21,263,717 "	
http://www.boxofficemojo.com/movies/?id=21jumpstreet2.htm	22 Jump Street	"$191,719,337 "	"$139,614,539 "	"$331,333,876 "	
http://www.boxofficemojo.com/movies/?id=23blast.htm	23 Blast	"$549,185 "			
http://www.boxofficemojo.com/movies/?id=242016.htm	24 (2016)				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=24city.htm	24 City	"$30,800 "	"$365,244 "	"$396,044 "	
http://www.boxofficemojo.com/movies/?id=24hourparty.htm	24 Hour Party People	"$1,184,096 "	"$1,597,115 "	"$2,781,211 "	
http://www.boxofficemojo.com/movies/?id=25thhour.htm	25th Hour	"$13,084,595 "	"$10,843,908 "	"$23,928,503 "	
http://www.boxofficemojo.com/movies/?id=27dresses.htm	27 Dresses	"$76,808,654 "	"$83,450,665 "	"$160,259,319 "	
http://www.boxofficemojo.com/movies/?id=28days.htm	28 Days	"$37,170,488 "	"$25,028,457 "	"$62,198,945 "	
http://www.boxofficemojo.com/movies/?id=28dayslater.htm	28 Days Later	"$45,064,915 "	"$37,654,970 "	"$82,719,885 "	
http://www.boxofficemojo.com/movies/?id=28dayslatersecretcinema.htm	28 Days Later (Secret Cinema)	"$45,064,915 "	n/a	"$45,064,915 "	
http://www.boxofficemojo.com/movies/?id=28hotelrooms.htm	28 Hotel Rooms	"$18,869 "	n/a	"$18,869 "	
http://www.boxofficemojo.com/movies/?id=28weekslater.htm	28 Weeks Later	"$28,638,916 "	"$35,599,524 "	"$64,238,440 "	
http://www.boxofficemojo.com/movies/?id=29thstreet.htm	29th Street	"$2,120,564 "			
http://www.boxofficemojo.com/movies/?id=2by4.htm	2by4	"$17,162 "			
http://www.boxofficemojo.com/movies/?id=3.htm	3 (2011)	"$59,954 "	"$2,551,601 "	"$2,611,555 "	
http://www.boxofficemojo.com/movies/?id=3minutes10bullets.htm	"3 1/2 Minutes, 10 Bullets"	"$30,407 "	n/a	"$30,407 "	
http://www.boxofficemojo.com/movies/?id=3backyards.htm	3 Backyards	"$43,073 "			
http://www.boxofficemojo.com/movies/?id=threedaystokill.htm	3 Days to Kill	"$30,697,999 "	"$21,900,000 "	"$52,597,999 "	
http://www.boxofficemojo.com/movies/?id=3geezers.htm	3 Geezers!	"$4,175 "			
http://www.boxofficemojo.com/movies/?id=3godfathers.htm	3 Godfathers				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=3hearts.htm	3 Hearts	"$164,992 "			
http://www.boxofficemojo.com/movies/?id=3idiots.htm	3 Idiots	"$6,532,874 "	"$4,208,189 "	"$10,741,063 "	
http://www.boxofficemojo.com/movies/?id=3needles.htm	3 Needles	n/a	"$12,327 "	"$12,327 "	
http://www.boxofficemojo.com/movies/?id=3nightsinthedesert.htm	3 Nights in the Desert	"$1,297 "			
http://www.boxofficemojo.com/movies/?id=3ninjas.htm	3 Ninjas	"$29,000,301 "			
http://www.boxofficemojo.com/movies/?id=3ninjaskickback.htm	3 Ninjas Kick Back	"$11,798,854 "			
http://www.boxofficemojo.com/movies/?id=3ninjasknuckleup.htm	3 Ninjas Knuckle Up	"$413,479 "			
http://www.boxofficemojo.com/movies/?id=3ninjas4.htm	3 Ninjas: High Noon at Mega Mountain	"$375,805 "			
http://www.boxofficemojo.com/movies/?id=3strikes.htm	3 Strikes	"$9,832,166 "			
http://www.boxofficemojo.com/movies/?id=3weeksinyerevan.htm	3 Weeks in Yerevan	"$45,536 "			
http://www.boxofficemojo.com/movies/?id=321frankie.htm	"3,2,1... Frankie Go Boom"				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=3iron.htm	3-Iron	"$241,914 "	"$2,723,401 "	"$2,965,315 "	
http://www.boxofficemojo.com/movies/?id=30beats.htm	30 Beats	"$14,693 "			
http://www.boxofficemojo.com/movies/?id=30daysofnight.htm	30 Days of Night	"$39,568,996 "	"$35,936,977 "	"$75,505,973 "	
http://www.boxofficemojo.com/movies/?id=30minutesorless.htm	30 Minutes or Less	"$37,053,924 "	"$3,493,516 "	"$40,547,440 "	
http://www.boxofficemojo.com/movies/?id=30yearstolife.htm	30 Years to Life	"$103,540 "			
http://www.boxofficemojo.com/movies/?id=300.htm	300	"$210,614,939 "	"$245,453,242 "	"$456,068,181 "	
http://www.boxofficemojo.com/movies/?id=3000milestograceland.htm	3000 Miles to Graceland	"$15,749,959 "	"$2,970,216 "	"$18,720,175 "	
http://www.boxofficemojo.com/movies/?id=300sequel.htm	300: Rise of An Empire	"$106,580,051 "	"$231,000,000 "	"$337,580,051 "	
http://www.boxofficemojo.com/movies/?id=31.htm	31	"$779,820 "			
http://www.boxofficemojo.com/movies/?id=35shotsofrum.htm	35 Shots of Rum	"$177,511 "			
http://www.boxofficemojo.com/movies/?id=35up.htm	35 Up	"$922,872 "			
http://www.boxofficemojo.com/movies/?id=35andticking.htm	35 and Ticking	"$113,794 "			
http://www.boxofficemojo.com/movies/?id=36hours.htm	36 Hours				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=36saints.htm	36 Saints	"$11,640 "			
http://www.boxofficemojo.com/movies/?id=360.htm	360	"$100,343 "	"$1,563,588 "	"$1,663,931 "	
http://www.boxofficemojo.com/movies/?id=39poundsoflove.htm	39 Pounds of Love	"$28,195 "	"$2,135 "	"$30,330 "	
http://www.boxofficemojo.com/movies/?id=3:10toyuma57.htm	3:10 to Yuma (1957)				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=310toyuma.htm	3:10 to Yuma (2007)	"$53,606,916 "	"$16,409,304 "	"$70,016,220 "	
http://www.boxofficemojo.com/movies/?id=4.htm	4	"$20,523 "			
http://www.boxofficemojo.com/movies/?id=4littlegirls.htm	4 Little Girls	"$130,146 "			
http://www.boxofficemojo.com/movies/?id=4months3weeks2days.htm	"4 Months, 3 Weeks, 2 Days"	"$1,198,208 "	"$8,642,130 "	"$9,840,338 "	
http://www.boxofficemojo.com/movies/?id=40daysand40nights.htm	40 Days and 40 Nights	"$37,950,822 "	"$57,195,461 "	"$95,146,283 "	
http://www.boxofficemojo.com/movies/?id=42.htm	42	"$95,020,213 "			
http://www.boxofficemojo.com/movies/?id=42up.htm	42 Up	"$300,880 "			
http://www.boxofficemojo.com/movies/?id=42ndstreet.htm	42nd Street				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=44inchchest.htm	44 Inch Chest	"$39,033 "	"$255,212 "	"$294,245 "	
http://www.boxofficemojo.com/movies/?id=45years.htm	45 Years	"$4,247,285 "	n/a	"$4,247,285 "	
http://www.boxofficemojo.com/movies/?id=45365.htm	45365	$853 			
http://www.boxofficemojo.com/movies/?id=47ronin.htm	47 Ronin	"$38,362,475 "	"$113,421,364 "	"$151,783,839 "	
http://www.boxofficemojo.com/movies/?id=48hrs.htm	48 HRS.	"$78,868,508 "			
http://www.boxofficemojo.com/movies/?id=49up.htm	49 Up	"$241,772 "	"$455,203 "	"$696,975 "	
http://www.boxofficemojo.com/movies/?id=49thparallel.htm	49th Parallel				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=444lastdayonearth.htm	4:44: Last Day on Earth	"$17,801 "	n/a	"$17,801 "	
http://www.boxofficemojo.com/movies/?id=fivebrokencameras.htm	5 Broken Cameras	"$109,983 "	n/a	"$109,983 "	
http://www.boxofficemojo.com/movies/?id=5daysofwar.htm	5 Days of War	"$17,479 "	n/a	"$17,479 "	
http://www.boxofficemojo.com/movies/?id=5flightsup.htm	5 Flights Up	"$1,020,921 "	n/a	"$1,020,921 "	
http://www.boxofficemojo.com/movies/?id=5to7.htm	5 to 7	"$162,685 "	n/a	"$162,685 "	
http://www.boxofficemojo.com/movies/?id=50firstdates.htm	50 First Dates	"$120,908,074 "	"$75,574,808 "	"$196,482,882 "	
http://www.boxofficemojo.com/movies/?id=50waysofsayingfabulous.htm	50 Ways of Saying Fabulous	"$4,800 "			
http://www.boxofficemojo.com/movies/?id=50to1.htm	50 to 1	"$1,064,454 "			
http://www.boxofficemojo.com/movies/?id=50fifty.htm	50/50	"$35,014,192 "	"$4,173,591 "	"$39,187,783 "	
http://www.boxofficemojo.com/movies/?id=51birchstreet.htm	51 Birch Street	"$84,689 "			
http://www.boxofficemojo.com/movies/?id=52pickup.htm	52 Pick-Up	"$5,186,646 "			
http://www.boxofficemojo.com/movies/?id=52tuesdays.htm	52 Tuesdays				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=54.htm	54	"$16,757,163 "			
http://www.boxofficemojo.com/movies/?id=56up.htm	56 Up	"$701,278 "			
http://www.boxofficemojo.com/movies/?id=5x2.htm	5x2	"$128,752 "	"$7,316,154 "	"$7,444,906 "	
http://www.boxofficemojo.com/movies/?id=6monthrule.htm	6 Month Rule	"$14,057 "			
http://www.boxofficemojo.com/movies/?id=shelter2011.htm	6 Souls	n/a	"$851,517 "	"$851,517 "	
http://www.boxofficemojo.com/movies/?id=6years.htm	6 Years				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=600millas.htm	600 Millas				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=7boxes.htm	7 Boxes	"$38,106 "	"$266,900 "	"$305,006 "	
http://www.boxofficemojo.com/movies/?id=7chinesebrothers.htm	7 Chinese Brothers	"$28,180 "			
http://www.boxofficemojo.com/movies/?id=7dias.htm	7 Dias	"$16,791 "			
http://www.boxofficemojo.com/movies/?id=7khoonmaaf.htm	7 Khoon Maaf	"$270,207 "	"$94,724 "	"$364,931 "	
http://www.boxofficemojo.com/movies/?id=7minutes.htm	7 Minutes				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=71intothefire.htm	71 Into the Fire	"$176,638 "	"$20,791,022 "	"$20,967,660 "	
http://www.boxofficemojo.com/movies/?id=7500.htm	7500	n/a	"$2,871,035 "	"$2,871,035 "	
http://www.boxofficemojo.com/movies/?id=7thstreet.htm	7th Street	"$15,629 "			
http://www.boxofficemojo.com/movies/?id=81299.htm	8 1/2 (re-issue)	"$98,760 "	n/a	"$98,760 "	
http://www.boxofficemojo.com/movies/?id=812women.htm	8 1/2 Women	"$424,123 "	n/a	"$424,123 "	
http://www.boxofficemojo.com/movies/?id=8filmstodiefor2015.htm	8 Films to Die For (2015)				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=8headsinaduffelbag.htm	8 Heads in a Duffel Bag	"$3,602,884 "			
http://www.boxofficemojo.com/movies/?id=8mile.htm	8 Mile	"$116,750,901 "	"$126,124,177 "	"$242,875,078 "	
http://www.boxofficemojo.com/movies/?id=8millionwaystodie.htm	8 Million Ways to Die	"$1,305,114 "			
http://www.boxofficemojo.com/movies/?id=8seconds.htm	8 Seconds	"$19,623,396 "			
http://www.boxofficemojo.com/movies/?id=8women.htm	8 Women	"$3,098,776 "	"$39,327,807 "	"$42,426,583 "	
http://www.boxofficemojo.com/movies/?id=800bullets.htm	800 Bullets	$866 			
http://www.boxofficemojo.com/movies/?id=84charingcrossroad.htm	84 Charing Cross Road	"$1,083,486 "			
http://www.boxofficemojo.com/movies/?id=88minutes.htm	88 Minutes	"$17,213,467 "	"$15,379,918 "	"$32,593,385 "	
http://www.boxofficemojo.com/movies/?id=8mormonproposition.htm	8: The Mormon Proposition	"$100,280 "			
http://www.boxofficemojo.com/movies/?id=8mm.htm	8MM	"$36,663,315 "	"$59,955,384 "	"$96,618,699 "	
http://www.boxofficemojo.com/movies/?id=9.htm	9	"$31,749,894 "	"$16,678,169 "	"$48,428,063 "	
http://www.boxofficemojo.com/movies/?id=9andonehalfweeks.htm	9 1/2 Weeks	"$6,735,922 "			
http://www.boxofficemojo.com/movies/?id=9songs.htm	9 Songs	"$66,853 "	"$1,507,770 "	"$1,574,623 "	
http://www.boxofficemojo.com/movies/?id=9to5.htm	9 to 5	"$103,290,500 "			
http://www.boxofficemojo.com/movies/?id=90minutesinheaven.htm	90 Minutes in Heaven	"$4,842,699 "			
http://www.boxofficemojo.com/movies/?id=95milestogo.htm	95 Miles to Go	"$3,195 "			
http://www.boxofficemojo.com/movies/?id=976-evil.htm	976-Evil	"$2,955,917 "			
http://www.boxofficemojo.com/movies/?id=99homes.htm	99 Homes	"$1,411,927 "	n/a	"$1,411,927 "	
http://www.boxofficemojo.com/movies/?id=99percent.htm	99% - The Occupy Wall Street Collaborative Film				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=aaa.htm	A Aa	"$2,313,043 "			
http://www.boxofficemojo.com/movies/?id=badmomschristmas.htm	A Bad Moms Christmas				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=aballerinastale.htm	A Ballerina's Tale	"$125,144 "			
http://www.boxofficemojo.com/movies/?id=abandcalleddeath.htm	A Band Called Death	"$127,257 "			
http://www.boxofficemojo.com/movies/?id=abeautifullife.htm	A Beautiful Life	"$66,171 "	n/a	"$66,171 "	
http://www.boxofficemojo.com/movies/?id=beautifulmind.htm	A Beautiful Mind	"$170,742,341 "	"$142,800,000 "	"$313,542,341 "	
http://www.boxofficemojo.com/movies/?id=abeautifulnow.htm	A Beautiful Now	"$1,714 "			
http://www.boxofficemojo.com/movies/?id=abeautifulplanet.htm	A Beautiful Planet	"$9,969,694 "	"$3,426,181 "	"$13,395,875 "	
