key_bom,key_wiki,key_omdb,wiki_budget,wiki_gross,bom_budget,bom_domestic_gross,title,year,budget,gross
b233,w280,,5000000.0,4800000.0,5000000.0,4842699.0,90 minutes in heaven ,2015,5000000.0,4800000.0
b236,w284,o9874,8000000.0,1900000.0,8000000.0,1411927.0,99 homes,2014,8000000.0,1900000.0
b243,w3195,,58000000.0,313000000.0,58000000.0,170742341.0,a beautiful mind ,2001,58000000.0,313000000.0
b246,w3588,o2420,10000000.0,1759252.0,10000000.0,1759252.0,a better life,2011,10000000.0,1759252.0
b262,w5704,o13472,120000000.0,363300000.0,120000000.0,162798565.0,a bug's life,1998,120000000.0,363300000.0
b273,w7218,,175000000.0,325300000.0,200000000.0,137855863.0,a christmas carol (2009 film),2009,175000000.0,325300000.0
b277,w7329,o21934,19000000.0,70100000.0,19000000.0,51438175.0,a cinderella story,2004,19000000.0,70100000.0
b278,w7449,,75000000.0,56709981.0,75000000.0,56709981.0,a civil action ,1998,75000000.0,56709981.0
b285,w8796,o5308,40000000.0,26300000.0,40000000.0,8106986.0,a cure for wellness,2016,40000000.0,26300000.0
b297,w10592,,22000000.0,181200000.0,22000000.0,64049720.0,a dog's purpose ,2017,22000000.0,181200000.0
b306,w12766,o7432,3340000000.0,243200000.0,40000000.0,141340178.0,a few good men,1992,3340000000.0,243200000.0
b330,w15353,o963,92000000.0,304700000.0,92000000.0,67349198.0,a good day to die hard,2013,92000000.0,304700000.0
b339,w16065,o9614,20000000.0,17432163.0,20000000.0,15545431.0,a guy thing,2003,20000000.0,17432163.0
b344,w16515,o964,2500000.0,60100000.0,2500000.0,40041683.0,a haunted house,2013,2500000.0,60100000.0
b347,w17495,o18155,32000000.0,60700000.0,32000000.0,31504633.0,a history of violence,2005,32000000.0,60700000.0
b361,w21073,o19954,65000000.0,117500000.0,65000000.0,56569702.0,a knight's tale,2001,65000000.0,117500000.0
b368,w21761,o7434,40000000.0,132440069.0,40000000.0,107533928.0,a league of their own,1992,40000000.0,132440069.0
b384,w22967,o18157,30000000.0,42800000.0,30000000.0,21845719.0,a lot like love,2005,30000000.0,42800000.0
b387,w23822,o9616,36000000.0,44350926.0,36000000.0,26736098.0,a man apart,2003,36000000.0,44350926.0
b403,w25059,,11000000.0,16071990.0,11000000.0,16071990.0,a midsummer night's dream (1999 film),1999,11000000.0,16071990.0
b406,w25069,,16000000.0,18935657.0,16000000.0,9176787.0,a mighty heart ,2007,16000000.0,18935657.0
b408,w25157,o9882,40000000.0,87200000.0,40000000.0,43139300.0,a million ways to die in the west,2014,40000000.0,87200000.0
b415,w25760,o9883,20000000.0,12000000.0,20000000.0,5749134.0,a most violent year,2014,20000000.0,12000000.0
b423,w27221,,35000000.0,115600000.0,35000000.0,63075011.0,a nightmare on elm street (2010 film),2010,35000000.0,115600000.0
b433,w29204,o18543,14000000.0,22852638.0,14000000.0,15515460.0,a perfect getaway,2009,14000000.0,22852638.0
b479,w34385,,17000000.0,16300000.0,30000000.0,16316273.0,a simple plan ,1998,17000000.0,16300000.0
b483,w34462,o18545,7000000.0,25000000.0,7000000.0,9176000.0,a single man,2009,7000000.0,25000000.0
b494,w35414,,80000000.0,11700000.0,80000000.0,1900451.0,a sound of thunder ,2005,80000000.0,11700000.0
b496,w35957,,5019770.0,6100000.0,5019770.0,4335968.0,a star is born (1954 film),1954,5019770.0,6100000.0
b516,w38209,,40000000.0,22000000.0,40000000.0,18450127.0,a thousand words ,2012,40000000.0,22000000.0
b529,w40475,o5061,15000000.0,21440752.0,12000000.0,21440752.0,a very brady sequel,1996,15000000.0,21440752.0
b530,w40479,o2426,19000000.0,35400000.0,19000000.0,35061031.0,a very harold & kumar 3d christmas,2011,19000000.0,35400000.0
b534,w40803,,28000000.0,62100000.0,28000000.0,26307600.0,a walk among the tombstones ,2014,28000000.0,62100000.0
b539,w40825,o16181,11800000.0,47494916.0,11800000.0,41281092.0,a walk to remember,2002,11800000.0,47494916.0
b554,w391,o19956,100000000.0,235900000.0,100000000.0,78616689.0,a.i. artificial intelligence,2001,100000000.0,235900000.0
b567,w403,,25000000.0,12300000.0,25000000.0,10727683.0,abandon ,2002,25000000.0,12300000.0
b579,w446,,12500000.0,49000000.0,12500000.0,48637684.0,about last night (2014 film),2014,12500000.0,49000000.0
b599,w483,o20196,23000000.0,38500000.0,23000000.0,36323505.0,accepted,2006,23000000.0,38500000.0
b602,w518,o2248,15000000.0,107200000.0,15000000.0,72217396.0,ace ventura: pet detective,1994,15000000.0,107200000.0
b626,w607,,13000000.0,18637201.0,13000000.0,18007317.0,admission ,2013,13000000.0,18637201.0
b657,w776,o975,130.0,243800000.0,130000000.0,60522097.0,after earth,2013,130.0,243800000.0
b669,w802,o21944,59000000.0,61347797.0,60000000.0,28331233.0,after the sunset,2004,59000000.0,61347797.0
b687,w848,o9620,28000000.0,58700000.0,28000000.0,47938330.0,agent cody banks,2003,28000000.0,58700000.0
b709,w885,,85000000.0,315200000.0,85000000.0,172956409.0,air force one ,1997,85000000.0,315200000.0
b721,w910,o20198,68000000.0,18900000.0,8000000.0,18848430.0,akeelah and the bee,2006,68000000.0,18900000.0
b733,w947,,6000000.0,339379.0,6000000.0,339379.0,albino alligator,1997,6000000.0,339379.0
b734,w956,,35000000.0,34600000.0,35000000.0,25888412.0,alex cross ,2012,35000000.0,34600000.0
b765,w1051,,60000000.0,172500000.0,60000000.0,80282231.0,alien vs. predator ,2004,60000000.0,172500000.0
b770,w1055,o18556,45000000.0,57900000.0,45000000.0,25200412.0,aliens in the attic,2009,45000000.0,57900000.0
b783,w1073,o16184,15000000.0,26306533.0,15000000.0,25916319.0,all about the benjamins,2002,15000000.0,26306533.0
b813,w1145,,55000000.0,9500000.0,55000000.0,7221458.0,all the king's men (2006 film),2006,55000000.0,9500000.0
b828,w1193,,85000000.0,119500000.0,85000000.0,40098064.0,allied ,2016,85000000.0,119500000.0
b829,w1210,,17000000.0,42500000.0,17000000.0,42065185.0,almost christmas ,2016,17000000.0,42500000.0
b830,w1211,o10569,60000000.0,47400000.0,60000000.0,32534850.0,almost famous,13-Sep,60000000.0,47400000.0
b840,w1222,,52000000.0,26300000.0,37000000.0,21067116.0,aloha ,2015,52000000.0,26300000.0
b842,w1235,o983,7000000.0,887851.0,7000000.0,887851.0,alone yet not alone,2013,7000000.0,887851.0
b843,w1231,,20000000.0,10400000.0,20000000.0,5178569.0,alone in the dark (2005 film),2005,20000000.0,10400000.0
b845,w1241,o21947,42000000.0,173000000.0,42000000.0,88097164.0,along came polly,2004,42000000.0,173000000.0
b846,w1236,,60000000.0,105200000.0,60000000.0,74078174.0,along came a spider ,2001,60000000.0,105200000.0
b857,w1272,,60000000.0,361300000.0,60000000.0,217326974.0,alvin and the chipmunks ,2007,60000000.0,361300000.0
b858,w1276,o2437,80000000.0,342700000.0,75000000.0,133110742.0,alvin and the chipmunks: chipwrecked,2011,80000000.0,342700000.0
b860,w1277,o18561,70000000.0,443140005.0,75000000.0,219614612.0,alvin and the chipmunks: the squeakquel,2009,70000000.0,443140005.0
b874,w1353,,40000000.0,19600000.0,40000000.0,14245415.0,amelia ,2009,40000000.0,19600000.0
b883,w1367,o19959,64400000.00000001,138200000.0,46000000.0,93607673.0,america's sweethearts,2001,64400000.00000001,138200000.0
b888,w1378,,15000000.0,356300000.0,15000000.0,130096601.0,american beauty (1999 film),1999,15000000.0,356300000.0
b896,w1402,o20203,17000000.0,16458459.0,17000000.0,7191830.0,american dreamz,21-Apr,17000000.0,16458459.0
b899,w1413,,100000000.0,266500000.0,100000000.0,130164645.0,american gangster ,2007,100000000.0,266500000.0
b909,w1440,o988,40000000.0,251200000.0,40000000.0,150117807.0,american hustle,2013,40000000.0,251200000.0
b923,w1468,o2022,11000000.0,235483004.0,11000000.0,102561004.0,american pie ,1999,11000000.0,235483004.0
b924,w1469,o19964,30000000.0,287500000.0,30000000.0,145103595.0,american pie 2,2001,30000000.0,287500000.0
b928,w1478,,7000000.0,34300000.0,7000000.0,15070285.0,american psycho ,2000,7000000.0,34300000.0
b937,w1514,o8822,28000000.0,27100000.0,28000000.0,14440985.0,american ultra,2015,28000000.0,27100000.0
b939,w1522,o9624,55000000.0,231449203.0,55000000.0,104565114.0,american wedding,2003,55000000.0,231449203.0
b949,w1547,,36000000.0,44200000.0,36000000.0,44229441.0,amistad ,1997,36000000.0,44200000.0
b973,w1387,o16447,20000000.0,7013191.0,20000000.0,7013191.0,an american carol,2008,20000000.0,7013191.0
b975,w1430,o18170,14000000.0,29612137.0,14000000.0,16298046.0,an american haunting,2005,14000000.0,29612137.0
b985,w11909,o10571,14000000.0,75228.0,14000000.0,75228.0,an everlasting piece,2000,14000000.0,75228.0
b995,w40052,o18171,30000000.0,18600000.0,30000000.0,8586392.0,an unfinished life,2005,30000000.0,18600000.0
b999,w1580,o21950,20000000.0,71000000.0,20000000.0,32238923.0,anacondas: the hunt for the blood orchid,2004,20000000.0,71000000.0
b1000,w1583,o16187,60000000.0,55003135.0,60000000.0,32130627.0,analyze that,2002,60000000.0,55003135.0
b1001,w1584,o2024,80000000.0,176900000.0,80000000.0,106885658.0,analyze this,1999,80000000.0,176900000.0
b1010,w1595,o992,50000000.0,173600000.0,50000000.0,125168368.0,anchorman 2: the legend continues,2013,50000000.0,173600000.0
b1011,w1596,o21951,26000000.0,90600000.0,26000000.0,85288303.0,anchorman: the legend of ron burgundy,2004,26000000.0,90600000.0
b1028,w1648,,53000000.0,29715606.0,53000000.0,24174218.0,angel eyes ,2001,53000000.0,29715606.0
b1030,w1651,o1319,18000000.0,17000000.0,17000000.0,17185632.0,angel heart,1987,18000000.0,17000000.0
b1034,w1670,,25000000.0,13042112.0,50000000.0,13042112.0,angela's ashes ,1999,25000000.0,13042112.0
b1035,w1673,,150000000.0,485900000.0,150000000.0,133375846.0,angels & demons ,2009,150000000.0,485900000.0
b1041,w1693,,75000000.0,195700000.0,75000000.0,135645823.0,anger management ,2003,75000000.0,195700000.0
b1061,w1721,o2026,92000000.0,113996937.0,92000000.0,39263420.0,anna and the king,1999,92000000.0,113996937.0
b1062,w1738,,6500000.0,256900000.0,6500000.0,84273813.0,annabelle ,2014,6500000.0,256900000.0
b1071,w1755,,65000000.0,133800000.0,65000000.0,85911262.0,annie (2014 film),2014,65000000.0,133800000.0
b1073,w1757,o14512,4000000.0,38300000.0,4000000.0,38251425.0,annie hall,1977,4000000.0,38300000.0
b1090,w1800,o13697,17000000.0,2865916.0,17000000.0,2865916.0,another you,1991,17000000.0,2865916.0
b1092,w1807,,130000000.0,519300000.0,130000000.0,180202163.0,ant-man ,2015,130000000.0,519300000.0
b1106,w1822,,12500000.0,23400000.0,12500000.0,21078145.0,antwone fisher ,2002,12500000.0,23400000.0
b1107,w1823,o13485,42.0,171800000.0,105000000.0,90757863.0,antz,1998,42.0,171800000.0
b1111,w1827,o2027,55000000.0,100200000.0,55000000.0,75530832.0,any given sunday,1999,55000000.0,100200000.0
b1114,w1842,o9627,18000000.0,13585075.0,18000000.0,3212310.0,anything else,2003,18000000.0,13585075.0
b1116,w1851,,23000000.0,23600000.0,23000000.0,18670401.0,anywhere but here ,1999,23000000.0,23600000.0
b1125,w1885,o20213,40000000.0,120700000.0,40000000.0,50866635.0,apocalypto,2006,40000000.0,120700000.0
b1129,w1894,,20000000.0,27665851.0,20000000.0,20211394.0,appaloosa ,2008,20000000.0,27665851.0
b1143,w1930,o3652,750000.0,5500000.0,750000.0,5520368.0,aqua teen hunger force colon movie film for theaters,2007,750000.0,5500000.0
b1145,w1932,,12000000.0,23006849.0,12000000.0,18597342.0,aquamarine ,2006,12000000.0,23006849.0
b1161,w1974,,32000000.0,97900000.0,32000000.0,82674398.0,are we there yet? ,2005,32000000.0,97900000.0
b1171,w2027,o2028,31000000.0,41100000.0,31000000.0,24756177.0,arlington road,9-Jul,31000000.0,41100000.0
b1176,w2034,,20000000.0,22942221.0,20000000.0,15988876.0,armored ,2009,20000000.0,22942221.0
b1184,w2050,,110000000.0,75000000.0,110000000.0,24008137.0,around the world in 80 days (2004 film),2004,110000000.0,75000000.0
b1186,w2061,,47000000.0,198000000.0,47000000.0,100546139.0,arrival ,2016,47000000.0,198000000.0
b1197,w2097,,40000000.0,45735397.0,40000000.0,33035397.0,arthur (2011 film),2011,40000000.0,45735397.0
b1201,w2099,o20216,,107944236.0,86000000.0,15132763.0,arthur and the invisibles,2006,,107944236.0
b1208,w2126,o6370,50000000.0,314178011.0,50000000.0,148478011.0,as good as it gets,1997,50000000.0,314178011.0
b1224,w2163,,125000000.0,241400000.0,125000000.0,54647948.0,assassin's creed ,2016,125000000.0,241400000.0
b1229,w2170,,50000000.0,30300000.0,50000000.0,30303072.0,assassins ,1995,50000000.0,30300000.0
b1230,w2178,,30000000.0,35300000.0,30000000.0,20040895.0,assault on precinct 13 (2005 film),2005,30000000.0,35300000.0
b1235,w2194,,65000000.0,41600000.0,65000000.0,19551067.0,astro boy ,2009,65000000.0,41600000.0
b1241,w2216,,60000000.0,22365133.0,60000000.0,22365133.0,at first sight (1999 film),1999,60000000.0,22365133.0
b1246,w2257,o19968,90120000000.0,186100000.0,120000000.0,84056472.0,atlantis: the lost empire,2001,90120000000.0,186100000.0
b1248,w2262,o2450,20000000.0,4627375.0,20000000.0,4627375.0,atlas shrugged: part i,2011,20000000.0,4627375.0
b1272,w2341,o16191,63000000.0,296700000.0,63000000.0,213307889.0,austin powers in goldmember,2002,63000000.0,296700000.0
b1273,w2339,o6371,16500000.0,67700000.0,16500000.0,53883989.0,austin powers: international man of mystery,1997,16500000.0,67700000.0
b1274,w2340,o2029,33000000.0,312000000.0,33000000.0,206040086.0,austin powers: the spy who shagged me,1999,33000000.0,312000000.0
b1285,w2359,,65000000.0,90700000.0,65000000.0,37761915.0,autumn in new york ,2000,65000000.0,90700000.0
b1289,w2375,o8827,316000000.0,1.405,250000000.0,459005868.0,avengers: age of ultron,2015,316000000.0,1.405
b1294,w2393,,8600000.0,32700000.000000004,8600000.0,14377198.0,awake ,2007,8600000.0,32700000.000000004
b1297,w2401,o18583,17000000.0,14899417.0,17000000.0,9451946.0,away we go,2009,17000000.0,14899417.0
b1327,w2461,,16000000.0,29381649.0,16000000.0,28734552.0,baby boy ,2001,16000000.0,29381649.0
b1331,w2476,o2030,12000000.0,36500000.0,12000000.0,27250736.0,baby geniuses,1999,12000000.0,36500000.0
b1332,w2481,,30000000.0,64200000.0,30000000.0,60494212.0,baby mama ,2008,30000000.0,64200000.0
b1333,w2496,o2258,48000000.0,16671505.0,48000000.0,16827402.0,baby's day out,1994,48000000.0,16671505.0
b1336,w2501,o16455,70000000.0,72100000.0,70000000.0,22532572.0,babylon a.d.,yes,70000000.0,72100000.0
b1348,w2567,o21329,19000000.0,381100000.0,19000000.0,210609762.0,back to the future,1985,19000000.0,381100000.0
b1350,w2568,o15816,40000000.0,332000000.0,40000000.0,118450002.0,back to the future part ii,1989,40000000.0,332000000.0
b1351,w2569,o14969,40000000.0,244500000.0,40000000.0,87727583.0,back to the future part iii,1990,40000000.0,244500000.0
b1368,w2613,o9636,130000000.0,273300000.0,130000000.0,138608444.0,bad boys ii,2003,130000000.0,273300000.0
b1381,w2643,o18585,25000000.0,10600000.0,25000000.0,1702112.0,bad lieutenant: port of call new orleans,2009,25000000.0,10600000.0
b1387,w2658,o18179,35000000.0,34300000.0,35000000.0,32868349.0,bad news bears,2005,35000000.0,34300000.0
b1388,w2666,o9637,23000000.0,76500000.0,23000000.0,60060328.0,bad santa,2003,23000000.0,76500000.0
b1389,w2667,o5324,26000000.0,23200000.0,26000000.0,17782178.0,bad santa 2,2016,26000000.0,23200000.0
b1390,w2670,o2451,20000000.0,216200000.0,20000000.0,100292856.0,bad teacher,2011,20000000.0,216200000.0
b1413,w2727,o16195,70000000.0,19900000.0,70000000.0,14307963.0,ballistic: ecks vs. sever,20-Sep,70000000.0,19900000.0
b1447,w2787,,45000000.0,42500000.0,45000000.0,15298133.0,bangkok dangerous (2008 film),2008,45000000.0,42500000.0
b1461,w2844,o21960,30000000.0,66000000.0,30000000.0,65111277.0,barbershop 2: back in business,2004,30000000.0,66000000.0
b1479,w2947,o7453,49000000.0,352900000.0,49000000.0,117727224.0,basic instinct,1992,49000000.0,352900000.0
b1488,w2984,o18185,150000000.0,374200000.0,150000000.0,205343774.0,batman begins,2005,150000000.0,374200000.0
b1490,w2987,o20626,100000000.0,336500000.0,100000000.0,184031112.0,batman forever,1995,100000000.0,336500000.0
b1491,w2988,o7454,80000000.0,266800000.0,80000000.0,162831698.0,batman returns,1992,80000000.0,266800000.0
b1493,w2990,o5327,250.0,873300000.0,250000000.0,330360194.0,batman v superman: dawn of justice,2016,250.0,873300000.0
b1496,w3002,,5250000.0,10200000.0,5250000.0,10155690.0,bats ,1999,5250000.0,10200000.0
b1509,w3021,o2454,70000000.0,211800000.0,70000000.0,83552429.0,battle: los angeles,2011,70000000.0,211800000.0
b1511,w3055,,73000000.0,29700000.0,73000000.0,21471685.0,battlefield earth ,2000,73000000.0,29700000.0
b1512,w3059,,209220000000.0,303000000.0,209000000.0,65422625.0,battleship ,2012,209220000000.0,303000000.0
b1516,w3077,o18186,53000000.0,95200000.0,53000000.0,56046979.0,be cool,2005,53000000.0,95200000.0
b1529,w3140,,17000000.0,43000000.0,17000000.0,27865571.0,beastly ,2011,17000000.0,43000000.0
b1542,w3185,,60000000.0,60100000.0,60000000.0,19452138.0,beautiful creatures (2013 film),2013,60000000.0,60100000.0
b1557,w3204,,160000000.0,1.048,160000000.0,459833200.0,beauty and the beast (2017 film),2017,160000000.0,1.048
b1562,w3220,o5071,12000000.0,63100000.0,12000000.0,63118386.0,beavis and butt-head do america,1996,12000000.0,63100000.0
b1565,w3223,,14000000.0,33589427.0,14000000.0,32647042.0,because of winn-dixie ,2005,14000000.0,33589427.0
b1573,w3236,,48.0,90383208.0,48000000.0,37886980.0,bedazzled (2000 film),2000,48.0,90383208.0
b1575,w3250,,80000000.0,212900000.0,80000000.0,110101975.0,bedtime stories ,2008,80000000.0,212900000.0
b1576,w3255,o3663,150000000.0,287600000.0,150000000.0,126631277.0,bee movie,2007,150000000.0,287600000.0
b1577,w3256,,14000000.0,6856989.0,14000000.0,1180560.0,bee season ,2005,14000000.0,6856989.0
b1595,w3296,o20627,2500000.0,5500000.0,2500000.0,5535405.0,before sunrise,1995,2500000.0,5500000.0
b1605,w3317,o7923,3200000.0,14300000.0,3200000.0,5790894.0,beginners,2010,3200000.0,14300000.0
b1607,w3330,,40000000.0,92000000.0,40000000.0,58856790.0,behind enemy lines (2001 film),2001,40000000.0,92000000.0
b1619,w3369,o2032,13000000.0,32400000.0,13000000.0,22863596.0,being john malkovich,1999,13000000.0,32400000.0
b1637,w3432,,80000000.0,22900000.0,80000000.0,22852487.0,beloved ,1998,80000000.0,22900000.0
b1644,w3464,,100000000.0,94100000.0,100000000.0,26410477.0,ben-hur (2016 film),2016,100000000.0,94100000.0
b1671,w3536,,7000000.0,27816.0,7000000.0,27816.0,best laid plans (1999 film),1999,7000000.0,27816.0
b1693,w3592,o16202,250000.0,3800000.0,250000.0,3802390.0,better luck tomorrow,2002,250000.0,3800000.0
b1711,w3658,o2261,50000000.0,119200000.0,50000000.0,42614912.0,beverly hills cop iii,1994,50000000.0,119200000.0
b1718,w3691,,35000000.0,11705002.0,35000000.0,4430101.0,beyond borders ,2003,35000000.0,11705002.0
b1735,w3721,o9918,7000000.0,14600000.0,7000000.0,14618727.0,beyond the lights,2014,7000000.0,14600000.0
b1750,w3745,,100000000.0,87400000.0,100000000.0,58223861.0,bicentennial man ,1999,100000000.0,87400000.0
b1765,w3819,o16205,15000000.0,53000000.0,15000000.0,48360547.0,big fat liar,2002,15000000.0,53000000.0
b1766,w3822,o9644,70000000.0,122900000.0,70000000.0,66809693.0,big fish,2003,70000000.0,122900000.0
b1775,w3862,o3312,40000000.0,24700000.0,40000000.0,20157300.0,big miracle,2012,40000000.0,24700000.0
b1776,w3863,o10582,30000000.0,173959438.0,30000000.0,117559438.0,big momma's house,2000,30000000.0,173959438.0
b1777,w3864,o20236,40000000.0,138300000.0,40000000.0,70165972.0,big momma's house 2,2006,40000000.0,138300000.0
b1778,w3865,o2465,32000000.0,83900000.0,32000000.0,37915414.0,"""""""big mommas: like father, like son""""""",2011,32000000.0,83900000.0
b1795,w3959,o9645,24000000.0,23510601.0,24000000.0,22076772.0,biker boyz,31-Jan,24000000.0,23510601.0
b1809,w4012,o20630,10000000.0,26400000.0,10000000.0,25588734.0,billy madison,1995,10000000.0,26400000.0
b1822,w4060,,16518000.0,103200000.0,18000000.0,42340598.0,birdman ,2014,16518000.0,103200000.0
b1849,w4176,,92000000.0,271000000.0,92000000.0,108638745.0,black hawk down ,2001,92000000.0,271000000.0
b1852,w4190,,50000000.0,40000000.0,50000000.0,33426971.0,black knight ,2001,50000000.0,40000000.0
b1854,w4203,,53000000.0,100000000.0,53000000.0,62575678.0,black mass ,2015,53000000.0,100000000.0
b1856,w4206,,17500000.0,7454185.0,17500000.0,7018189.0,black nativity ,2013,17500000.0,7454185.0
b1871,w4249,,13000000.0,329400000.0,13000000.0,106954678.0,black swan ,2010,13000000.0,329400000.0
b1881,w4282,,70000000.0,19700000.0,70000000.0,8005980.0,blackhat ,2015,70000000.0,19700000.0
b1887,w4303,o16206,54000000.0,155000000.0,54000000.0,82348319.0,blade ii,2002,54000000.0,155000000.0
b1893,w4307,o21974,65000000.0,128900000.0,65000000.0,52411906.0,blade: trinity,2004,65000000.0,128900000.0
b1894,w4309,o3670,61000000.0,145700000.0,61000000.0,118594548.0,blades of glory,2007,61000000.0,145700000.0
b1903,w4323,,35000000.0,40263020.0,35000000.0,26511114.0,blast from the past ,1999,35000000.0,40263020.0
b1911,w4350,,40000000.0,128000000.0,40000000.0,46294610.0,blended ,2014,40000000.0,128000000.0
b1913,w4353,o10583,65000000.0,40443010.0,65000000.0,29381494.0,bless the child,2000,65000000.0,40443010.0
b1934,w4470,o20240,101000000.0,171400000.0,100000000.0,57377916.0,blood diamond,2006,101000000.0,171400000.0
b1968,w4572,,53000000.0,83300000.0,53000000.0,52990775.0,blow ,2001,53000000.0,83300000.0
b1979,w4596,o16209,25000000.0,51843679.0,25000000.0,40390647.0,blue crush,16-Aug,25000000.0,51843679.0
b1991,w4644,,36000000.0,117700000.0,65000000.0,68518533.0,blue streak ,1999,36000000.0,117700000.0
b1993,w4649,,1000000.0,16600000.000000002,1000000.0,9706328.0,blue valentine ,2010,1000000.0,16600000.000000002
b1994,w4652,,6000000.0,8600000.0,6000000.0,8551228.0,blue velvet ,1986,6000000.0,8600000.0
b2009,w4699,o21976,20000000.0,2707913.0,20000000.0,2694071.0,bobby jones: stroke of genius,2004,20000000.0,2707913.0
b2019,w4716,,30000000.0,13200000.0,30000000.0,13273595.0,body of evidence (1993 film),1993,30000000.0,13200000.0
b2020,w4717,,70000000.0,115100000.0,70000000.0,39394666.0,body of lies ,2008,70000000.0,115100000.0
b2025,w4738,,7000000.0,28780255.0,7000000.0,16970581.0,boiler room ,2000,7000000.0,28780255.0
b2050,w4815,o5334,20000000.0,74800000.0,20000000.0,73206343.0,boo! a madea halloween,2016,20000000.0,74800000.0
b2053,w4829,o6377,15000000.0,43100000.0,15000000.0,26400640.0,boogie nights,1997,15000000.0,43100000.0
b2057,w4843,o10586,15000000.0,47700000.0,15000000.0,26437094.0,book of shadows: blair witch 2,2000,15000000.0,47700000.0
b2087,w4992,o5078,7000000.0,560069.0,7000000.0,560069.0,bottle rocket,1996,7000000.0,560069.0
b2090,w5006,,35000000.0,53425292.0,35000000.0,36805288.0,bounce ,2000,35000000.0,53425292.0
b2095,w5040,o2039,55000000.0,98600000.0,55000000.0,66384775.0,bowfinger,1999,55000000.0,98600000.0
b2096,w5044,o16211,4000000.0,58000000.0,4000000.0,21576018.0,bowling for columbine,2002,4000000.0,58000000.0
b2112,w5100,,4000000.0,44500000.0,4000000.0,25352281.0,boyhood ,2014,4000000.0,44500000.0
b2115,w5107,,2000000.0,11500000.0,2000000.0,11540607.0,boys don't cry ,1999,2000000.0,11500000.0
b2122,w5133,o13704,6500000.0,57500000.0,6500000.0,57504069.0,boyz n the hood,1991,6500000.0,57500000.0
b2131,w5154,o7459,40000000.0,215900000.0,40000000.0,82522790.0,bram stoker's dracula,1992,40000000.0,215900000.0
b2139,w5202,o20636,6570000000.0,210400000.0,72000000.0,75609945.0,braveheart,1995,6570000000.0,210400000.0
b2148,w5234,,12000000.0,178278.0,12000000.0,178278.0,breakfast of champions ,1999,12000000.0,178278.0
b2181,w5322,o18614,30000000.0,114700000.0,30000000.0,58715510.0,bride wars,2009,30000000.0,114700000.0
b2182,w5302,,7000000.0,24700000.0,7000000.0,6605592.0,bride and prejudice,2004,7000000.0,24700000.0
b2183,w5312,o13502,25000000.0,50700000.0,25000000.0,32383850.0,bride of chucky,1998,25000000.0,50700000.0
b2189,w5344,,40000000.0,165500000.0,40000000.0,72313754.0,bridge of spies ,2015,40000000.0,165500000.0
b2193,w5356,,40000000.0,262500000.0,40000000.0,40226215.0,bridget jones: the edge of reason ,2004,40000000.0,262500000.0
b2208,w5390,,11000000.0,90400000.0,11000000.0,68379000.0,bring it on ,2000,11000000.0,90400000.0
b2210,w5400,,33000000.0,164700000.0,33000000.0,132716677.0,bringing down the house ,2003,33000000.0,164700000.0
b2211,w5402,o2041,32000000.0,16800000.0,55000000.0,16797191.0,bringing out the dead,1999,32000000.0,16800000.0
