key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue
b1171,w2027,o2028,arlington road,9-Jul,31000000.0,41067311.0,0.3247519677419355
b1176,w2034,,armored ,2009,20000000.0,22942221.0,0.14711105
b1184,w2050,,around the world in 80 days (2004 film),2004,110000000.0,72178895.0,-0.34382822727272727
b1186,w2061,,arrival ,2016,47000000.0,198024964.0,3.2132971063829787
b1197,w2097,,arthur (2011 film),2011,40000000.0,45735397.0,0.143384925
b1201,w2099,o20216,arthur and the invisibles,2006,86000000.0,107944236.0,0.25516553488372096
b1208,w2126,o6370,as good as it gets,1997,50000000.0,314178011.0,5.28356022
b1224,w2163,,assassin's creed ,2016,125000000.0,240742399.0,0.925939192
b1229,w2170,,assassins ,1995,50000000.0,30303072.0,-0.39393856
b1230,w2178,,assault on precinct 13 (2005 film),2005,30000000.0,35294470.0,0.17648233333333332
b1235,w2194,,astro boy ,2009,65000000.0,39886986.0,-0.3863540615384615
b1241,w2216,,at first sight (1999 film),1999,60000000.0,22365133.0,-0.6272477833333333
b1248,w2262,o2450,atlas shrugged: part i,2011,20000000.0,4627375.0,-0.76863125
b1272,w2341,o16191,austin powers in goldmember,2002,63000000.0,296655431.0,3.708816365079365
b1273,w2339,o6371,austin powers: international man of mystery,1997,16500000.0,67683989.0,3.102059939393939
b1274,w2340,o2029,austin powers: the spy who shagged me,1999,33000000.0,312016858.0,8.455056303030304
b1285,w2359,,autumn in new york ,2000,65000000.0,90726668.0,0.3957948923076923
b1289,w2375,o8827,avengers: age of ultron,2015,250000000.0,1405403694.0,4.621614776
b1294,w2393,,awake ,2007,8600000.0,32685679.0,2.8006603488372095
b1297,w2401,o18583,away we go,2009,17000000.0,14899417.0,-0.12356370588235294
b1327,w2461,,baby boy ,2001,16000000.0,29381649.0,0.8363530625
b1331,w2476,o2030,baby geniuses,1999,12000000.0,36450736.0,2.037561333333333
b1332,w2481,,baby mama ,2008,30000000.0,64163648.0,1.1387882666666667
b1333,w2496,o2258,baby's day out,1994,48000000.0,16827402.0,-0.649429125
b1336,w2501,o16455,babylon a.d.,yes,70000000.0,72108608.0,0.03012297142857143
b1348,w2567,o21329,back to the future,1985,19000000.0,381109762.0,19.05840852631579
b1350,w2568,o15816,back to the future part ii,1989,40000000.0,331950002.0,7.29875005
b1351,w2569,o14969,back to the future part iii,1990,40000000.0,244527583.0,5.113189575
b1368,w2613,o9636,bad boys ii,2003,130000000.0,273339556.0,1.1026119692307692
b1381,w2643,o18585,bad lieutenant: port of call new orleans,2009,25000000.0,10589102.0,-0.57643592
b1387,w2658,o18179,bad news bears,2005,35000000.0,34252847.0,-0.02134722857142857
b1388,w2666,o9637,bad santa,2003,23000000.0,76488889.0,2.3256038695652173
b1389,w2667,o5324,bad santa 2,2016,26000000.0,17782178.0,-0.3160700769230769
b1390,w2670,o2451,bad teacher,2011,20000000.0,216197492.0,9.8098746
b1413,w2727,o16195,ballistic: ecks vs. sever,20-Sep,70000000.0,19924033.0,-0.7153709571428571
b1430,w2750,,bananas ,1971,2000000.0,11800000.0,4.9
b1447,w2787,,bangkok dangerous (2008 film),2008,45000000.0,42487390.0,-0.055835777777777776
b1461,w2844,o21960,barbershop 2: back in business,2004,30000000.0,65971313.0,1.1990437666666667
b1479,w2947,o7453,basic instinct,1992,49000000.0,352927224.0,6.202596408163266
b1488,w2984,o18185,batman begins,2005,150000000.0,374218673.0,1.4947911533333333
b1490,w2987,o20626,batman forever,1995,100000000.0,336529144.0,2.36529144
b1491,w2988,o7454,batman returns,1992,80000000.0,266822354.0,2.335279425
b1493,w2990,o5327,batman v superman: dawn of justice,2016,250000000.0,873260194.0,2.493040776
b1496,w3002,,bats ,1999,5250000.0,10155690.0,0.9344171428571428
b1497,w3011,o3046,battle beyond the stars,1980,2000000.0,7500000.0,2.75
b1509,w3021,o2454,battle: los angeles,2011,70000000.0,211819354.0,2.0259907714285714
b1511,w3055,,battlefield earth ,2000,73000000.0,29725663.0,-0.5927991369863014
b1516,w3077,o18186,be cool,2005,53000000.0,95226116.0,0.7967191698113207
b1529,w3140,,beastly ,2011,17000000.0,43165571.0,1.5391512352941177
b1542,w3185,,beautiful creatures (2013 film),2013,60000000.0,60052138.0,0.0008689666666666666
b1557,w3204,,beauty and the beast (2017 film),2017,160000000.0,1048233200.0,5.5514575
b1562,w3220,o5071,beavis and butt-head do america,1996,12000000.0,63118386.0,4.2598655
b1565,w3223,,because of winn-dixie ,2005,14000000.0,33589427.0,1.3992447857142858
b1573,w3236,,bedazzled (2000 film),2000,48000000.0,90383208.0,0.8829835
b1575,w3250,,bedtime stories ,2008,80000000.0,212874442.0,1.660930525
b1576,w3255,o3663,bee movie,2007,150000000.0,287594577.0,0.91729718
b1577,w3256,,bee season ,2005,14000000.0,6856989.0,-0.5102150714285715
b1595,w3296,o20627,before sunrise,1995,2500000.0,5535405.0,1.214162
b1605,w3317,o7923,beginners,2010,3200000.0,14311701.0,3.4724065625
b1607,w3330,,behind enemy lines (2001 film),2001,40000000.0,91753202.0,1.29383005
b1619,w3369,o2032,being john malkovich,1999,13000000.0,22863596.0,0.7587381538461538
b1637,w3432,,beloved ,1998,80000000.0,22852487.0,-0.7143439125
b1644,w3464,,ben-hur (2016 film),2016,100000000.0,94061311.0,-0.05938689
b1671,w3536,,best laid plans (1999 film),1999,7000000.0,27816.0,-0.9960262857142858
b1693,w3592,o16202,better luck tomorrow,2002,250000.0,3809226.0,14.236904
b1711,w3658,o2261,beverly hills cop iii,1994,50000000.0,119208989.0,1.38417978
b1718,w3691,,beyond borders ,2003,35000000.0,11705002.0,-0.6655713714285715
b1735,w3721,o9918,beyond the lights,2014,7000000.0,14618727.0,1.0883895714285714
b1750,w3745,,bicentennial man ,1999,100000000.0,87423861.0,-0.12576139
b1765,w3819,o16205,big fat liar,2002,15000000.0,52970014.0,2.5313342666666667
b1766,w3822,o9644,big fish,2003,70000000.0,122919055.0,0.7559865
b1775,w3862,o3312,big miracle,2012,40000000.0,24719215.0,-0.382019625
b1776,w3863,o10582,big momma's house,2000,30000000.0,173959438.0,4.798647933333333
b1777,w3864,o20236,big momma's house 2,2006,40000000.0,138259062.0,2.45647655
b1778,w3865,o2465,"""big mommas: like father, like son""",2011,32000000.0,82686066.0,1.5839395625
b1795,w3959,o9645,biker boyz,31-Jan,24000000.0,23510601.0,-0.020391625
b1809,w4012,o20630,billy madison,1995,10000000.0,26488734.0,1.6488734
b1849,w4176,,black hawk down ,2001,92000000.0,172989651.0,0.8803222934782609
b1852,w4190,,black knight ,2001,50000000.0,39976235.0,-0.2004753
b1854,w4203,,black mass ,2015,53000000.0,99775678.0,0.8825599622641509
b1856,w4206,,black nativity ,2013,17500000.0,7454185.0,-0.5740465714285714
b1871,w4249,,black swan ,2010,13000000.0,329398046.0,24.338311230769232
b1881,w4282,,blackhat ,2015,70000000.0,19652057.0,-0.7192563285714285
b1887,w4303,o16206,blade ii,2002,54000000.0,155010032.0,1.870556148148148
b1893,w4307,o21974,blade: trinity,2004,65000000.0,128905366.0,0.9831594769230769
b1894,w4309,o3670,blades of glory,2007,61000000.0,145708642.0,1.388666262295082
b1903,w4323,,blast from the past ,1999,35000000.0,40263020.0,0.150372
b1911,w4350,,blended ,2014,40000000.0,128034610.0,2.20086525
b1913,w4353,o10583,bless the child,2000,65000000.0,40443010.0,-0.37779984615384615
b1934,w4470,o20240,blood diamond,2006,100000000.0,171407179.0,0.71407179
b1968,w4572,,blow ,2001,53000000.0,83282296.0,0.5713640754716981
b1979,w4596,o16209,blue crush,16-Aug,25000000.0,51843679.0,1.07374716
b1991,w4644,,blue streak ,1999,65000000.0,117758500.0,0.8116692307692308
b1993,w4649,,blue valentine ,2010,1000000.0,12355734.0,11.355734
b1994,w4652,,blue velvet ,1986,6000000.0,8551228.0,0.4252046666666667
b2009,w4699,o21976,bobby jones: stroke of genius,2004,20000000.0,2707913.0,-0.86460435
b2019,w4716,,body of evidence (1993 film),1993,30000000.0,13273595.0,-0.5575468333333333
b2020,w4717,,body of lies ,2008,70000000.0,115097286.0,0.6442469428571429
