key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,year_wiki,year_bom
b843,w1231,,alone in the dark (2005 film),2005,20000000.0,10442808.0,-0.47785959999999994,"""[2005, 01, 28, United States, 2005, 02, 24, Germany]""",28-Jan-05
b845,w1241,o21947,along came polly,2004,42000000.0,171963386.0,3.0943663333333333,2004,16-Jan-04
b846,w1236,,along came a spider ,2001,60000000.0,105178561.0,0.7529760166666667,"""[2001, 04, 06]""",6-Apr-01
b857,w1272,,alvin and the chipmunks ,2007,60000000.0,361336633.0,5.022277216666667,"""[2007, 12, 14]""",14-Dec-07
b858,w1276,o2437,alvin and the chipmunks: chipwrecked,2011,75000000.0,342695435.0,3.569272466666667,2011,16-Dec-11
b860,w1277,o18561,alvin and the chipmunks: the squeakquel,2009,75000000.0,443140005.0,4.9085334000000005,2009,23-Dec-09
b874,w1353,,amelia ,2009,40000000.0,19642013.0,-0.508949675,"""[2009, 10, 23]""",23-Oct-09
b883,w1367,o19959,america's sweethearts,2001,46000000.0,138191428.0,2.004161478260869,2001,20-Jul-01
b888,w1378,,american beauty (1999 film),1999,15000000.0,356296601.0,22.75310673333333,"""[1999, Grauman's Egyptian Theatre, 1999, 17, United States]""",15-Sep-99
b896,w1402,o20203,american dreamz,21-Apr,17000000.0,16458459.0,-0.031855352941176474,21-Apr,21-Apr-06
b899,w1413,,american gangster ,2007,100000000.0,266465037.0,1.66465037,"""[2007, 10, 19, Apollo Theater, 2007, 11, 02, United States]""",2-Nov-07
b909,w1440,o988,american hustle,2013,40000000.0,251171807.0,5.279295175,2013,13-Dec-13
b923,w1468,o2022,american pie ,1999,11000000.0,235483004.0,20.40754581818182,1999,9-Jul-99
b924,w1469,o19964,american pie 2,2001,30000000.0,287553595.0,8.585119833333334,2001,10-Aug-01
b928,w1478,,american psycho ,2000,7000000.0,34266564.0,3.8952234285714287,"""[2000, 01, 21, Sundance, 2000, 04, 14, United States]""",14-Apr-00
b937,w1514,o8822,american ultra,2015,28000000.0,27139524.0,-0.030731285714285718,2015,21-Aug-15
b939,w1522,o9624,american wedding,2003,55000000.0,231449203.0,3.2081673272727267,2003,1-Aug-03
b949,w1547,,amistad ,1997,36000000.0,44229441.0,0.2285955833333333,"""[1997, 12, 10]""",10-Dec-97
b973,w1387,o16447,an american carol,2008,20000000.0,7013191.0,-0.64934045,2008,3-Oct-08
b975,w1430,o18170,an american haunting,2005,14000000.0,29612137.0,1.1151526428571428,2005,5-May-06
b985,w11909,o10571,an everlasting piece,2000,14000000.0,75228.0,-0.9946265714285716,2000,22-Dec-00
b995,w40052,o18171,an unfinished life,2005,30000000.0,18618284.0,-0.3793905333333333,2005,9-Sep-05
b999,w1580,o21950,anacondas: the hunt for the blood orchid,2004,20000000.0,70992898.0,2.5496449,2004,27-Aug-04
b1000,w1583,o16187,analyze that,2002,60000000.0,55003135.0,-0.08328108333333334,2002,6-Dec-02
b1001,w1584,o2024,analyze this,1999,80000000.0,176885658.0,1.211070725,1999,5-Mar-99
b1010,w1595,o992,anchorman 2: the legend continues,2013,50000000.0,173649015.0,2.4729803,2013,18-Dec-13
b1011,w1596,o21951,anchorman: the legend of ron burgundy,2004,26000000.0,90574188.0,2.4836226153846157,2004,9-Jul-04
b1028,w1648,,angel eyes ,2001,53000000.0,29715606.0,-0.4393281886792453,"""[2001, 05, 18, USA]""",18-May-01
b1030,w1651,o1319,angel heart,1987,17000000.0,17185632.0,0.010919529411764706,1987,6-Mar-87
b1034,w1670,,angela's ashes ,1999,50000000.0,13042112.0,-0.73915776,"""[1999, 12, 25]""",25-Dec-99
b1035,w1673,,angels & demons ,2009,150000000.0,485930816.0,2.2395387733333334,"""[2009, 05, Rome, 2009, 05, 15, United States]""",15-May-09
b1041,w1693,,anger management ,2003,75000000.0,195745823.0,1.6099443066666668,"""[2003, 11]""",11-Apr-03
b1061,w1721,o2026,anna and the king,1999,92000000.0,113996937.0,0.23909714130434784,1999,17-Dec-99
b1062,w1738,,annabelle ,2014,6500000.0,256873813.0,38.51904815384616,"""[2014, 09, 26, Russia, 2014, 10, 03, United States]""",3-Oct-14
b1071,w1755,,annie (2014 film),2014,65000000.0,133821816.0,1.0587971692307692,"""[2014, 12, 07, Ziegfeld Theatre, 2014, 12, 19, United States]""",19-Dec-14
b1073,w1757,o14512,annie hall,1977,4000000.0,38251425.0,8.56285625,1977,20-Apr-77
b1090,w1800,o13697,another you,1991,17000000.0,2865916.0,-0.8314167058823531,1991,26-Jul-91
b1092,w1807,,ant-man ,2015,130000000.0,519311965.0,2.9947074230769237,"""[2015, 06, 29, Dolby Theatre, 2015, 07, 17, United States]""",17-Jul-15
b1106,w1822,,antwone fisher ,2002,12500000.0,23367586.0,0.86940688,"""[2002, 12, 19]""",19-Dec-02
