key_bom,genre_cluster,bom_genre
b3901,5.0,Comedy
b3906,,Fantasy
b3909,,Comedy
b3910,,Thriller
b3924,2.0,Comedy
b3926,0.0,Thriller
b3933,0.0,Adventure
b3942,2.0,Romantic Comedy
b3949,2.0,Drama
b3968,,Drama
b3976,,Drama / Thriller
b3978,0.0,Sci-Fi Action
b3981,,Action / Crime
b3991,2.0,Adventure
b3994,,Horror Comedy
b4033,,Action / Adventure
b4045,,Comedy
b4051,,Comedy / Drama
b4052,,Period Drama
b4053,,Family Adventure
b4068,,Sci-Fi
b4078,,Crime Drama
b4083,,Comedy
b4086,,Family Adventure
b4091,,Action Horror
b4092,2.0,Crime Drama
b4095,2.0,Period Adventure
b4097,,Sci-Fi
b4100,,Romance
b4109,2.0,War
b4110,,Action Thriller
b4115,,Thriller
b4121,,Drama
b4123,,Comedy
b4124,,Romantic Thriller
b4126,,Comedy
b4127,,Animation
b4133,,Fantasy
b4135,,Action
b4137,,Drama
b4150,5.0,Animation
b4162,2.0,Sci-Fi Comedy
b4173,5.0,Comedy
b4176,5.0,Fantasy Comedy
b4188,,Romance
b4190,,Thriller
b4207,5.0,Romantic Comedy
b4211,,Comedy
b4217,,Comedy / Drama
b4226,,Horror
b4231,,Musical
b4233,,Sci-Fi Comedy
b4235,,Sci-Fi Thriller
b4247,5.0,Action
b4249,0.0,Drama
b4252,6.0,Period Horror
b4266,,Comedy
b4268,2.0,Drama
b4278,,Unknown
b4281,,Thriller
b4285,2.0,Drama / Thriller
b4298,0.0,Action
b4309,5.0,Romantic Comedy
b4311,,Action Thriller
b4335,,Music Drama
b4343,,Comedy / Drama
b4354,,IMAX
b4357,,Fantasy
b4358,,Action / Adventure
b4359,,Action / Adventure
b4360,,Action / Adventure
b4361,,Animation
b4363,2.0,Period Drama
b4369,2.0,Period Drama
b4380,,Crime Comedy
b4386,0.0,Action
b4389,0.0,Action
b4395,,Action
b4397,,Action
b4447,,Drama
b4455,,Romantic Comedy
b4469,,Romance
b4474,2.0,Crime
b4491,,Horror
b4493,,Horror
b4494,6.0,Horror
b4495,0.0,Animation
b4498,5.0,Crime Drama
b4511,5.0,Animation
b4513,,Period Drama
b4526,5.0,Comedy
b4529,2.0,Drama
b4540,0.0,Action
b4553,,Drama
b4570,,War
b4598,,Family
b4599,,Drama
b4603,,Adventure
b4618,5.0,Animation
b4620,,Animation
b4621,,War
b4630,,Comedy
b4643,,Romantic Adventure
b4651,,Musical
b4655,2.0,Drama
b4660,,Sports Drama
b4665,,Comedy
b4675,2.0,Music Drama
b4686,,Romantic Comedy
b4696,2.0,Comedy
b4705,,Action Comedy
b4715,,Drama
b4720,,Action / Crime
b4721,2.0,Comedy
b4734,,Horror Thriller
b4746,,Animation
b4761,,Documentary
b4763,,Fantasy Comedy
b4767,5.0,Comedy
b4768,,Horror Comedy
b4771,5.0,Animation
b4777,,Action Drama
b4785,2.0,Drama
b4798,,Sci-Fi Thriller
b4804,2.0,Period Drama
b4805,,Comedy
b4808,,Sports Drama
b4810,,Horror
b4827,,Comedy
b4829,2.0,Comedy / Drama
b4831,,Horror
b4841,,Period Horror
b4847,,Action
b4858,,Historical Drama
b4859,,Animation
b4867,,Comedy
b4876,5.0,Comedy
b4877,,Crime Comedy
b4887,2.0,Comedy
b4889,0.0,Action
b4890,5.0,Family Comedy
b4892,,War
b4897,,Family Adventure
b4901,0.0,Action
b4902,0.0,Action
b4915,5.0,Comedy
b4932,2.0,Crime Drama
b4934,,Crime Drama
b4946,,Family Comedy
b4976,5.0,Comedy
b4979,,Horror
b4980,,Horror
b4983,,Family Comedy
b4994,,Action
b4996,5.0,Comedy
b4997,5.0,Comedy
b4998,,Comedy
b5001,,Romantic Comedy
b5003,,Music Drama
b5006,,Action Comedy
b5023,,Action Horror
b5024,,Action Horror
b5025,,Horror
b5029,,Fantasy Comedy
b5031,,Comedy
b5034,,Sci-Fi Action
b5037,0.0,Horror Comedy
b5038,,Horror Comedy
b5054,5.0,Crime Comedy
b5063,,Unknown
b5076,,Drama
b5092,,Historical Epic
b5099,4.0,Concert
b5104,,Music Drama
b5113,,Comedy
b5144,,War
b5145,,Period Drama
b5146,,Action / Adventure
b5147,,Horror
b5149,,Sci-Fi Action
b5150,,Sci-Fi Action
b5154,,Sci-Fi Horror
b5168,,Comedy
b5169,,Romantic Comedy
b5185,2.0,Drama / Thriller
b5188,,Thriller
b5189,,Action
b5196,2.0,Family Comedy
b5211,,Period Drama
b5228,,Horror Comedy
b5236,,Period Drama
b5238,,Thriller
b5241,6.0,Horror
b5254,,Sports Drama
b5256,2.0,Action Drama
b5277,,Sci-Fi Thriller
b5300,,Action / Adventure
b5303,,Thriller
b5320,2.0,Sports Drama
b5324,,Sports Comedy
b5325,,Horror
b5335,,Comedy
b5336,5.0,Comedy
b5337,,Sports Comedy
b5343,,Action / Adventure
b5358,,Adventure Comedy
b5364,,Crime Comedy
b5393,,Comedy
b5406,5.0,Comedy
b5413,,Horror
b5416,6.0,Horror
b5423,,Period Drama
b5425,5.0,Comedy
b5429,,Fantasy Drama
b5436,,Comedy / Drama
b5440,,Adventure
b5450,,Thriller
b5454,6.0,Action Comedy
b5466,3.0,Animation
b5468,5.0,Sports Comedy
b5495,,Sports Drama
b5507,,Comedy
b5508,5.0,Comedy
b5514,,Crime Thriller
b5517,,Fantasy
b5520,,Fantasy
b5521,,Fantasy
b5522,,Fantasy
b5523,,Fantasy
b5524,,Fantasy
b5529,2.0,War Drama
b5557,,Unknown
b5560,,Action
b5574,,Romantic Comedy
b5576,,Comedy
b5597,,Crime Comedy
b5602,,Drama
b5616,,Drama
b5617,,Western
b5632,,Crime
b5633,,Action Thriller
b5644,,Action Drama
b5651,,Action Horror
b5652,0.0,Action Horror
b5676,,Comedy / Drama
b5689,4.0,Family Comedy
b5690,,Animation
b5692,,Action / Adventure
b5700,,Romance
b5701,,Drama
b5714,,Comedy / Drama
b5716,,Animation
b5722,,Period Adventure
b5724,2.0,Drama
b5740,2.0,Thriller
b5741,,Romantic Comedy
b5744,2.0,Unknown
b5762,,Drama
b5767,0.0,Action Fantasy
b5789,,Action Comedy
b5790,,Romantic Comedy
b5795,,Action / Adventure
b5805,,Family Adventure
b5813,6.0,Sci-Fi Horror
b5819,5.0,Action Comedy
b5832,,Animation
b5835,5.0,Family Comedy
b5850,,Animation
b5851,,Action Thriller
b5861,,Music Drama
b5873,5.0,Animation
b5874,,Fantasy
b5879,,Family Comedy
b5880,,Comedy
b5886,5.0,Comedy
b5887,5.0,Comedy
b5896,6.0,Horror
b5901,,Comedy
