bom_budget,bom_domestic_gross,bom_title,bom_worldwide_revenue,key_bom,key_omdb,key_wiki,omdb_title,wiki_budget,wiki_gross,wiki_title,year_bom_format,year_omdb_format,year_wiki_format,budget,gross
0.0,0.0,,0.0,,,w11912,,3000000.0,46029.0,every day ,,,,3000000.0,46029.0
0.0,0.0,,0.0,,,w39556,,8000000.0,35402.0,tunnel rats ,,,,8000000.0,35402.0
0.0,0.0,,0.0,,,w13046,,500.0,501.0,firelight (1964 film),,,,500.0,501.0
0.0,0.0,,0.0,,,w9539,,10000000.0,18369.0,deadfall (1993 film),,,,10000000.0,18369.0
0.0,0.0,,0.0,,,w6799,,1000000.0,10289.0,chaos (2005 dominion film),,,,1000000.0,10289.0
0.0,0.0,,0.0,,,w3503,,2000000.0,43712.0,bereavement ,,,,2000000.0,43712.0
0.0,0.0,,0.0,,,w29739,,2000000.0,3080.0,plush ,,,,2000000.0,3080.0
0.0,0.0,,0.0,,,w12427,,4000000.0,91666.0,fandango (1985 film),,,,4000000.0,91666.0
0.0,0.0,,0.0,,,w41993,,,60630.68,the wild goose chase ,,,,,60630.68
0.0,0.0,,0.0,,,w12333,,40.0,25.0,fallen (2016 film),,,,40.0,25.0
0.0,0.0,,0.0,,,w12721,,2900000.0,36756.0,felon ,,,,2900000.0,36756.0
0.0,0.0,,0.0,,,w6989,,10000000.0,14000.0,cherry 2000,,,,10000000.0,14000.0
0.0,0.0,,0.0,,,w10694,,19212.0,26274.0,don't lie ,,,,19212.0,26274.0
0.0,0.0,,0.0,,,w34805,,2000000.0,13567.0,slightly single in l.a.,,,,2000000.0,13567.0
0.0,0.0,,0.0,,,w31444,,17000000.0,71263.0,replicant ,,,,17000000.0,71263.0
0.0,0.0,,0.0,,,w12448,,10000000.0,49666.0,the fantasticks ,,,,10000000.0,49666.0
0.0,0.0,,0.0,,,w22100,,930000.0,30905.0,life happens,,,,930000.0,30905.0
0.0,0.0,,0.0,,,w20942,,130.0,211.7,kingdom of heaven ,,,,130.0,211.7
0.0,0.0,,0.0,,,w26468,,15000000.0,70936.0,my summer story,,,,15000000.0,70936.0
0.0,0.0,,0.0,,,w819,,2000000.0,58510.0,aftershock (2012 film),,,,2000000.0,58510.0
0.0,0.0,,0.0,,o22403,w26303,my brother's wedding,50000.0,8217.0,my brother's wedding,,1983.0,1983,50000.0,8217.0
0.0,0.0,,0.0,,o16665,w27689,ocean of pearls,1500000.0,75231.0,ocean of pearls,,2008.0,2008,1500000.0,75231.0
