key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,bom_runtime,wiki_runtime,omdb_runtime,runtime,runtime_flag
b496,w35957,,a star is born (1954 film),1954,5019770.0,6100000.0,0.2151951185014453,2054-09-29 00:00:00,9.0,3.0,272.0,39.0,0.0,3 hrs. 1 min.,"""[182 minutes, 154 minutes, 176 minutes]""",,"""[182 minutes, 154 minutes, 176 minutes]""",w
b516,w38209,,a thousand words ,2012,40000000.0,22000000.0,-0.45,2012-03-09 00:00:00,3.0,1.0,69.0,10.0,0.0,1 hrs. 31 min.,[91 minutes],,[91 minutes],w
b529,w40475,o5061,a very brady sequel,1996,15000000.0,21440752.0,0.42938346666666666,1996-08-23 00:00:00,8.0,3.0,236.0,33.0,0.0,1 hrs. 29 min.,[89 minutes],90 min,[89 minutes],w
b530,w40479,o2426,a very harold & kumar 3d christmas,2011,19000000.0,35400000.0,0.8631578947368421,2011-11-04 00:00:00,11.0,4.0,308.0,44.0,1.0,1 hrs. 29 min.,[89 minutes],90 min,[89 minutes],w
b534,w40803,,a walk among the tombstones ,2014,28000000.0,62100000.0,1.2178571428571427,2014-09-19 00:00:00,9.0,3.0,262.0,37.0,0.0,1 hrs. 54 min.,[114 minutes],,[114 minutes],w
b539,w40825,o16181,a walk to remember,2002,11800000.0,47494916.0,3.0249928813559324,2002-01-25 00:00:00,1.0,1.0,25.0,3.0,1.0,1 hrs. 41 min.,[102 minutes],101 min,[102 minutes],w
b554,w391,o19956,a.i. artificial intelligence,2001,100000000.0,235900000.0,1.359,2001-06-29 00:00:00,6.0,2.0,180.0,25.0,1.0,2 hrs. 25 min.,[146 minutes],146 min,[146 minutes],w
b567,w403,,abandon ,2002,25000000.0,12300000.0,-0.508,2002-10-18 00:00:00,10.0,4.0,291.0,41.0,1.0,1 hrs. 39 min.,[99 minutes],,[99 minutes],w
b579,w446,,about last night (2014 film),2014,12500000.0,49000000.0,2.92,2014-02-14 00:00:00,2.0,1.0,45.0,6.0,1.0,1 hrs. 40 min.,[100 minutes],,[100 minutes],w
b599,w483,o20196,accepted,2006,23000000.0,38500000.0,0.6739130434782609,2006-08-18 00:00:00,8.0,3.0,230.0,33.0,0.0,1 hrs. 30 min.,[92 minutes],93 min,[92 minutes],w
b602,w518,o2248,ace ventura: pet detective,1994,15000000.0,107200000.0,6.1466666666666665,1994-02-04 00:00:00,2.0,1.0,35.0,5.0,0.0,1 hrs. 27 min.,[86 minutes],86 min,[86 minutes],w
b626,w607,,admission ,2013,13000000.0,18637201.0,0.4336308461538462,2013-03-22 00:00:00,3.0,1.0,81.0,11.0,0.0,1 hrs. 57 min.,[108 minutes],,[108 minutes],w
b657,w776,o975,after earth,2013,130.0,243800000.0,1875383.615384616,2013-05-31 00:00:00,5.0,2.0,151.0,21.0,1.0,1 hrs. 40 min.,[100 minutes],100 min,[100 minutes],w
b669,w802,o21944,after the sunset,2004,59000000.0,61347797.0,0.03979316949152542,2004-11-12 00:00:00,11.0,4.0,317.0,45.0,1.0,1 hrs. 38 min.,[97 minutes],97 min,[97 minutes],w
b687,w848,o9620,agent cody banks,2003,28000000.0,58700000.0,1.0964285714285715,2003-03-14 00:00:00,3.0,1.0,73.0,10.0,0.0,1 hrs. 50 min.,[102 minutes],102 min,[102 minutes],w
b709,w885,,air force one ,1997,85000000.0,315200000.0,2.708235294117647,1997-07-25 00:00:00,7.0,3.0,206.0,29.0,0.0,2 hrs. 4 min.,[124 minutes],,[124 minutes],w
b721,w910,o20198,akeelah and the bee,2006,68000000.0,18900000.0,-0.7220588235294118,2006-04-28 00:00:00,4.0,2.0,118.0,17.0,0.0,1 hrs. 52 min.,[112 minutes],112 min,[112 minutes],w
b733,w947,,albino alligator,1997,6000000.0,339379.0,-0.9434368333333332,1997-01-17 00:00:00,1.0,1.0,17.0,2.0,1.0,1 hrs. 34 min.,[97 minutes],,[97 minutes],w
b734,w956,,alex cross ,2012,35000000.0,34600000.0,-0.011428571428571429,2012-10-19 00:00:00,10.0,4.0,293.0,42.0,0.0,1 hrs. 41 min.,[101 minutes],,[101 minutes],w
b765,w1051,,alien vs. predator ,2004,60000000.0,172500000.0,1.875,2004-08-13 00:00:00,8.0,3.0,226.0,32.0,0.0,1 hrs. 27 min.,[101 minutes],,[101 minutes],w
b770,w1055,o18556,aliens in the attic,2009,45000000.0,57900000.0,0.2866666666666667,2009-07-31 00:00:00,7.0,3.0,212.0,30.0,0.0,1 hrs. 26 min.,[86 minutes],86 min,[86 minutes],w
b783,w1073,o16184,all about the benjamins,2002,15000000.0,26306533.0,0.7537688666666666,2002-03-08 00:00:00,3.0,1.0,67.0,9.0,0.0,1 hrs. 35 min.,[98 minutes],95 min,[98 minutes],w
b813,w1145,,all the king's men (2006 film),2006,55000000.0,9500000.0,-0.8272727272727273,2006-09-22 00:00:00,9.0,3.0,265.0,38.0,0.0,2 hrs. 21 min.,[125 minutes],,[125 minutes],w
b828,w1193,,allied ,2016,85000000.0,119500000.0,0.4058823529411765,2016-11-23 00:00:00,11.0,4.0,328.0,47.0,1.0,2 hrs. 1 min.,[124 minutes],,[124 minutes],w
b829,w1210,,almost christmas ,2016,17000000.0,42500000.0,1.5,2016-11-11 00:00:00,11.0,4.0,316.0,45.0,1.0,1 hrs. 52 min.,[111 minutes],,[111 minutes],w
b830,w1211,o10569,almost famous,13-Sep,60000000.0,47400000.0,-0.21,2000-09-15 00:00:00,9.0,3.0,259.0,37.0,0.0,2 hrs. 2 min.,[122 minutes],122 min,[122 minutes],w
b840,w1222,,aloha ,2015,52000000.0,26300000.0,-0.4942307692307693,2015-05-29 00:00:00,5.0,2.0,149.0,21.0,1.0,1 hrs. 45 min.,[105 minutes],,[105 minutes],w
b842,w1235,o983,alone yet not alone,2013,7000000.0,887851.0,-0.8731641428571428,2013-09-27 00:00:00,9.0,3.0,270.0,38.0,0.0,1 hrs. 43 min.,[103 minutes],103 min,[103 minutes],w
b843,w1231,,alone in the dark (2005 film),2005,20000000.0,10400000.0,-0.48,2005-01-28 00:00:00,1.0,1.0,28.0,4.0,0.0,1 hrs. 36 min.,[96 minutes],,[96 minutes],w
b845,w1241,o21947,along came polly,2004,42000000.0,173000000.0,3.1190476190476177,2004-01-16 00:00:00,1.0,1.0,16.0,2.0,1.0,1 hrs. 30 min.,[90 minutes],90 min,[90 minutes],w
b846,w1236,,along came a spider ,2001,60000000.0,105200000.0,0.7533333333333333,2001-04-06 00:00:00,4.0,2.0,96.0,13.0,0.0,1 hrs. 43 min.,[103 minutes],,[103 minutes],w
b857,w1272,,alvin and the chipmunks ,2007,60000000.0,361300000.0,5.0216666666666665,2007-12-14 00:00:00,12.0,4.0,348.0,49.0,0.0,1 hrs. 32 min.,[92 minutes],,[92 minutes],w
b858,w1276,o2437,alvin and the chipmunks: chipwrecked,2011,80000000.0,342700000.0,3.28375,2011-12-16 00:00:00,12.0,4.0,350.0,50.0,0.0,1 hrs. 27 min.,[87 minutes],87 min,[87 minutes],w
b860,w1277,o18561,alvin and the chipmunks: the squeakquel,2009,70000000.0,443140005.0,5.3305715,2009-12-23 00:00:00,12.0,4.0,357.0,51.0,1.0,1 hrs. 28 min.,[88 minutes],88 min,[88 minutes],w
b874,w1353,,amelia ,2009,40000000.0,19600000.0,-0.51,2009-10-23 00:00:00,10.0,4.0,296.0,42.0,0.0,2 hrs. 0 min.,[111 minutes],,[111 minutes],w
b883,w1367,o19959,america's sweethearts,2001,64400000.00000001,138200000.0,1.1459627329192543,2001-07-20 00:00:00,7.0,3.0,201.0,28.0,0.0,1 hrs. 42 min.,[103 minutes],102 min,[103 minutes],w
b888,w1378,,american beauty (1999 film),1999,15000000.0,356300000.0,22.75333333333333,1999-09-15 00:00:00,9.0,3.0,258.0,37.0,0.0,2 hrs. 2 min.,[122 minutes],,[122 minutes],w
b896,w1402,o20203,american dreamz,21-Apr,17000000.0,16458459.0,-0.031855352941176474,2006-04-21 00:00:00,4.0,2.0,111.0,16.0,0.0,1 hrs. 47 min.,[107 minutes],107 min,[107 minutes],w
b899,w1413,,american gangster ,2007,100000000.0,266500000.0,1.665,2007-11-02 00:00:00,11.0,4.0,306.0,43.0,0.0,2 hrs. 40 min.,[158 minutes],,[158 minutes],w
b909,w1440,o988,american hustle,2013,40000000.0,251200000.0,5.28,2013-12-13 00:00:00,12.0,4.0,347.0,49.0,0.0,2 hrs. 18 min.,[138 minutes],138 min,[138 minutes],w
b923,w1468,o2022,american pie ,1999,11000000.0,235483004.0,20.40754581818182,1999-07-09 00:00:00,7.0,3.0,190.0,27.0,1.0,1 hrs. 35 min.,[95 minutes],87 min,[95 minutes],w
b924,w1469,o19964,american pie 2,2001,30000000.0,287500000.0,8.583333333333334,2001-08-10 00:00:00,8.0,3.0,222.0,31.0,0.0,1 hrs. 44 min.,[110 minutes],108 min,[110 minutes],w
b928,w1478,,american psycho ,2000,7000000.0,34300000.0,3.9,2000-04-14 00:00:00,4.0,2.0,105.0,15.0,0.0,1 hrs. 44 min.,[101 minutes],,[101 minutes],w
b937,w1514,o8822,american ultra,2015,28000000.0,27100000.0,-0.03214285714285714,2015-08-21 00:00:00,8.0,3.0,233.0,33.0,0.0,1 hrs. 36 min.,[96 minutes],96 min,[96 minutes],w
b939,w1522,o9624,american wedding,2003,55000000.0,231449203.0,3.2081673272727267,2003-08-01 00:00:00,8.0,3.0,213.0,30.0,0.0,1 hrs. 42 min.,[96 minutes],96 min,[96 minutes],w
b949,w1547,,amistad ,1997,36000000.0,44200000.0,0.2277777777777777,1997-12-10 00:00:00,12.0,4.0,344.0,49.0,0.0,2 hrs. 32 min.,[154 minutes],,[154 minutes],w
b973,w1387,o16447,an american carol,2008,20000000.0,7013191.0,-0.64934045,2008-10-03 00:00:00,10.0,4.0,277.0,39.0,0.0,1 hrs. 23 min.,[83 minutes],83 min,[83 minutes],w
b975,w1430,o18170,an american haunting,2005,14000000.0,29612137.0,1.1151526428571428,2006-05-05 00:00:00,5.0,2.0,125.0,18.0,0.0,1 hrs. 30 min.,"""[83 Minutes (Theatrical), 90 Minutes (Unrated)]""",83 min,"""[83 Minutes (Theatrical), 90 Minutes (Unrated)]""",w
b985,w11909,o10571,an everlasting piece,2000,14000000.0,75228.0,-0.9946265714285716,2000-12-22 00:00:00,12.0,4.0,357.0,51.0,1.0,1 hrs. 43 min.,[108 minutes],103 min,[108 minutes],w
b995,w40052,o18171,an unfinished life,2005,30000000.0,18600000.0,-0.38,2005-09-09 00:00:00,9.0,3.0,252.0,36.0,1.0,1 hrs. 40 min.,[107 minutes],108 min,[107 minutes],w
b999,w1580,o21950,anacondas: the hunt for the blood orchid,2004,20000000.0,71000000.0,2.55,2004-08-27 00:00:00,8.0,3.0,240.0,34.0,0.0,1 hrs. 33 min.,[97 minutes],97 min,[97 minutes],w
b1000,w1583,o16187,analyze that,2002,60000000.0,55003135.0,-0.08328108333333334,2002-12-06 00:00:00,12.0,4.0,340.0,48.0,0.0,1 hrs. 40 min.,[96 minutes],96 min,[96 minutes],w
b1001,w1584,o2024,analyze this,1999,80000000.0,176900000.0,1.21125,1999-03-05 00:00:00,3.0,1.0,64.0,9.0,0.0,1 hrs. 43 min.,[103 minutes],103 min,[103 minutes],w
b1010,w1595,o992,anchorman 2: the legend continues,2013,50000000.0,173600000.0,2.472,2013-12-18 00:00:00,12.0,4.0,352.0,50.0,1.0,1 hrs. 59 min.,[119 minutes],119 min,[119 minutes],w
b1011,w1596,o21951,anchorman: the legend of ron burgundy,2004,26000000.0,90600000.0,2.4846153846153847,2004-07-09 00:00:00,7.0,3.0,191.0,27.0,1.0,1 hrs. 31 min.,[94 minutes],94 min,[94 minutes],w
b1028,w1648,,angel eyes ,2001,53000000.0,29715606.0,-0.4393281886792453,2001-05-18 00:00:00,5.0,2.0,138.0,19.0,0.0,1 hrs. 42 min.,[102 minutes],,[102 minutes],w
b1030,w1651,o1319,angel heart,1987,18000000.0,17000000.0,-0.05555555555555555,1987-03-06 00:00:00,3.0,1.0,65.0,9.0,0.0,1 hrs. 53 min.,[113 minutes],113 min,[113 minutes],w
b1034,w1670,,angela's ashes ,1999,25000000.0,13042112.0,-0.47831552,1999-12-25 00:00:00,12.0,4.0,359.0,51.0,1.0,2 hrs. 25 min.,[145 minutes],,[145 minutes],w
b1035,w1673,,angels & demons ,2009,150000000.0,485900000.0,2.239333333333333,2009-05-15 00:00:00,5.0,2.0,135.0,19.0,0.0,2 hrs. 20 min.,[138 minutes],,[138 minutes],w
b1041,w1693,,anger management ,2003,75000000.0,195700000.0,1.6093333333333333,2003-04-11 00:00:00,4.0,2.0,101.0,14.0,0.0,1 hrs. 41 min.,"""[106, minutes]""",,"""[106, minutes]""",w
b1061,w1721,o2026,anna and the king,1999,92000000.0,113996937.0,0.23909714130434784,1999-12-17 00:00:00,12.0,4.0,351.0,50.0,1.0,2 hrs. 28 min.,[148 minutes],148 min,[148 minutes],w
b1062,w1738,,annabelle ,2014,6500000.0,256900000.0,38.52307692307692,2014-10-03 00:00:00,10.0,4.0,276.0,39.0,0.0,1 hrs. 35 min.,[100 minutes],,[100 minutes],w
b1071,w1755,,annie (2014 film),2014,65000000.0,133800000.0,1.0584615384615386,2014-12-19 00:00:00,12.0,4.0,353.0,50.0,1.0,1 hrs. 58 min.,[118 minutes],,[118 minutes],w
b1073,w1757,o14512,annie hall,1977,4000000.0,38300000.0,8.575,1977-04-20 00:00:00,4.0,2.0,110.0,16.0,0.0,1 hrs. 33 min.,[93 minutes],93 min,[93 minutes],w
b1090,w1800,o13697,another you,1991,17000000.0,2865916.0,-0.8314167058823531,1991-07-26 00:00:00,7.0,3.0,207.0,29.0,0.0,1 hrs. 34 min.,[94 minutes],98 min,[94 minutes],w
b1092,w1807,,ant-man ,2015,130000000.0,519300000.0,2.9946153846153845,2015-07-17 00:00:00,7.0,3.0,198.0,28.0,0.0,1 hrs. 57 min.,[117 minutes],,[117 minutes],w
b1106,w1822,,antwone fisher ,2002,12500000.0,23400000.0,0.872,2002-12-19 00:00:00,12.0,4.0,353.0,50.0,1.0,2 hrs. 0 min.,[120 minutes],,[120 minutes],w
b1107,w1823,o13485,antz,1998,42.0,171800000.0,4090475.190476191,1998-10-02 00:00:00,10.0,4.0,275.0,39.0,0.0,1 hrs. 24 min.,[83 minutes],83 min,[83 minutes],w
b1111,w1827,o2027,any given sunday,1999,55000000.0,100200000.0,0.8218181818181818,1999-12-22 00:00:00,12.0,4.0,356.0,51.0,1.0,2 hrs. 37 min.,[157 minutes],162 min,[157 minutes],w
b1114,w1842,o9627,anything else,2003,18000000.0,13585075.0,-0.2452736111111111,2003-09-19 00:00:00,9.0,3.0,262.0,37.0,0.0,1 hrs. 48 min.,[108 minutes],108 min,[108 minutes],w
b1116,w1851,,anywhere but here ,1999,23000000.0,23600000.0,0.026086956521739132,1999-11-12 00:00:00,11.0,4.0,316.0,45.0,1.0,1 hrs. 54 min.,[114 minutes],,[114 minutes],w
b1125,w1885,o20213,apocalypto,2006,40000000.0,120700000.0,2.0175,2006-12-08 00:00:00,12.0,4.0,342.0,49.0,0.0,2 hrs. 18 min.,[138 minutes],139 min,[138 minutes],w
b1129,w1894,,appaloosa ,2008,20000000.0,27665851.0,0.38329255,2008-09-19 00:00:00,9.0,3.0,263.0,37.0,0.0,1 hrs. 48 min.,[115 minutes],,[115 minutes],w
b1143,w1930,o3652,aqua teen hunger force colon movie film for theaters,2007,750000.0,5500000.0,6.333333333333332,2007-04-13 00:00:00,4.0,2.0,103.0,14.0,0.0,1 hrs. 27 min.,[86 minutes],86 min,[86 minutes],w
b1145,w1932,,aquamarine ,2006,12000000.0,23006849.0,0.9172374166666668,2006-03-03 00:00:00,3.0,1.0,62.0,9.0,0.0,1 hrs. 49 min.,[110 minutes],,[110 minutes],w
b1161,w1974,,are we there yet? ,2005,32000000.0,97900000.0,2.059375,2005-01-21 00:00:00,1.0,1.0,21.0,3.0,1.0,1 hrs. 34 min.,[94 minutes],,[94 minutes],w
b1171,w2027,o2028,arlington road,9-Jul,31000000.0,41100000.0,0.3258064516129032,1999-07-09 00:00:00,7.0,3.0,190.0,27.0,1.0,1 hrs. 59 min.,[117 minutes],117 min,[117 minutes],w
b1176,w2034,,armored ,2009,20000000.0,22942221.0,0.14711105,2009-12-04 00:00:00,12.0,4.0,338.0,48.0,0.0,1 hrs. 28 min.,[88 minutes],,[88 minutes],w
b1184,w2050,,around the world in 80 days (2004 film),2004,110000000.0,75000000.0,-0.3181818181818182,2004-06-16 00:00:00,6.0,2.0,168.0,24.0,0.0,2 hrs. 0 min.,[120 minutes],,[120 minutes],w
b1186,w2061,,arrival ,2016,47000000.0,198000000.0,3.2127659574468086,2016-11-11 00:00:00,11.0,4.0,316.0,45.0,1.0,1 hrs. 56 min.,[116 minutes],,[116 minutes],w
b1197,w2097,,arthur (2011 film),2011,40000000.0,45735397.0,0.143384925,2011-04-08 00:00:00,4.0,2.0,98.0,14.0,0.0,1 hrs. 50 min.,[107 minutes],,[107 minutes],w
b1208,w2126,o6370,as good as it gets,1997,50000000.0,314178011.0,5.28356022,1997-12-23 00:00:00,12.0,4.0,357.0,51.0,1.0,2 hrs. 19 min.,[139 minutes],139 min,[139 minutes],w
b1224,w2163,,assassin's creed ,2016,125000000.0,241400000.0,0.9312,2016-12-21 00:00:00,12.0,4.0,356.0,51.0,1.0,2 hrs. 20 min.,[115 minutes],,[115 minutes],w
