key_bom	key_wiki	key_omdb	bom_title	wiki_title	omdb_title	year_bom_format	year_wiki_format	year_omdb_format	wiki_budget	wiki_gross	bom_budget	bom_domestic_gross	bom_worldwide_revenue
b1272	w2341	o16191	austin powers in goldmember	austin powers in goldmember	austin powers in goldmember	2002	2002	2002	[$63 million]	[$296.7 million]	$63 million	213307889	"""$296,655,431 """
b1273	w2339	o6371	austin powers: international man of mystery	austin powers: international man of mystery	austin powers: international man of mystery	1997	1997	1997	[$16.5 million]	[$67.7 million]	$16.5 million	53883989	"""$67,683,989 """
b1274	w2340	o2029	austin powers: the spy who shagged me	austin powers: the spy who shagged me	austin powers: the spy who shagged me	1999	1999	1999	[$33 million]	[$312 million]	$33 million	206040086	"""$312,016,858 """
b1285	w2359		autumn in new york	autumn in new york 		2000	2000		[$65 million]	[$90.7 million]	$65 million	37761915	"""$90,726,668 """
b1289	w2375	o8827	avengers: age of ultron	avengers: age of ultron	avengers: age of ultron	2015	2015	2015	[$316 million (gross)]	[$1.405 billion]	$250 million	459005868	"""$1,405,403,694 """
b1294	w2393		awake	awake 		2007	2007		[$8.6 million]	[$32.7 million]	$8.6 million	14377198	"""$32,685,679 """
b1297	w2401	o18583	away we go	away we go	away we go	2009	2009	2009	[$17 million]	"""[$14,899,417]"""	$17 million	9451946	"""$14,899,417 """
b1327	w2461		baby boy	baby boy 		2001	2001		[$16 million]	"""[$29,381,649]"""	$16 million	28734552	"""$29,381,649 """
b1331	w2476	o2030	baby geniuses	baby geniuses	baby geniuses	1999	1999	1999	[$12 million]	[$36.5 million]	$12 million	27250736	"""$36,450,736 """
b1332	w2481		baby mama	baby mama 		2008	2008		[$30 million]	[$64.2 million]	$30 million	60494212	"""$64,163,648 """
b1333	w2496	o2258	baby's day out	baby's day out	baby's day out	1994	1994	1994	[$48 million]	"""[$16,671,505]"""	$48 million	16827402	
b1336	w2501	o16455	babylon a.d.	babylon a.d.	babylon a.d.	2008	yes	2008	[$70 million]	[$72.1 million]	$70 million	22532572	"""$72,108,608 """
b1348	w2567	o21329	back to the future	back to the future	back to the future	1985	1985	1985	[$19 million]	[$381.1 million]	$19 million	210609762	"""$381,109,762 """
b1350	w2568	o15816	back to the future part ii	back to the future part ii	back to the future part ii	1989	1989	1989	[$40 million]	[$332 million]	$40 million	118450002	"""$331,950,002 """
b1351	w2569	o14969	back to the future part iii	back to the future part iii	back to the future part iii	1990	1990	1990	[$40 million]	[$244.5 million]	$40 million	87727583	"""$244,527,583 """
b1368	w2613	o9636	bad boys ii	bad boys ii	bad boys ii	2003	2003	2003	[$130 million]	[$273.3 million]	$130 million	138608444	"""$273,339,556 """
b1381	w2643	o18585	bad lieutenant: port of call new orleans	bad lieutenant: port of call new orleans	bad lieutenant: port of call new orleans	2009	2009	2009	[$25 million]	[$10.6 million]	$25 million	1702112	"""$10,589,102 """
b1387	w2658	o18179	bad news bears	bad news bears	bad news bears	2005	2005	2005	[$35 million]	[$34.3 million]	$35 million	32868349	"""$34,252,847 """
b1388	w2666	o9637	bad santa	bad santa	bad santa	2003	2003	2003	[$23 million]	[$76.5 million]	$23 million	60060328	"""$76,488,889 """
b1389	w2667	o5324	bad santa 2	bad santa 2	bad santa 2	2016	2016	2016	[$26 million]	[$23.2 million]	$26 million	17782178	"""$17,782,178 """
b1390	w2670	o2451	bad teacher	bad teacher	bad teacher	2011	2011	2011	[$20 million]	[$216.2 million]	$20 million	100292856	"""$216,197,492 """
b1413	w2727	o16195	ballistic: ecks vs. sever	ballistic: ecks vs. sever	ballistic: ecks vs. sever	2002	20-Sep	2002	[$70 million]	[$19.9 million]	$70 million	14307963	"""$19,924,033 """
b1430	w2750		bananas	bananas 		1971	1971		[$2 million]	[$11.8 million]	$2 million		
b1447	w2787		bangkok dangerous	bangkok dangerous (2008 film)		2008	2008		[$45 million]	[$42.5 million]	$45 million	15298133	"""$42,487,390 """
b1461	w2844	o21960	barbershop 2: back in business	barbershop 2: back in business	barbershop 2: back in business	2004	2004	2004	[$30 million]	[$66 million]	$30 million	65111277	"""$65,971,313 """
b1479	w2947	o7453	basic instinct	basic instinct	basic instinct	1992	1992	1992	[$49 million]	[$352.9 million]	$49 million	117727224	"""$352,927,224 """
b1488	w2984	o18185	batman begins	batman begins	batman begins	2005	2005	2005	[$150 million]	[$374.2 million]	$150 million	205343774	"""$374,218,673 """
b1490	w2987	o20626	batman forever	batman forever	batman forever	1995	1995	1995	[$100 million]	[$336.5 million]	$100 million	184031112	"""$336,529,144 """
b1491	w2988	o7454	batman returns	batman returns	batman returns	1992	1992	1992	[$80 million]	[$266.8 million]	$80 million	162831698	"""$266,822,354 """
b1493	w2990	o5327	batman v superman: dawn of justice	batman v superman: dawn of justice	batman v superman: dawn of justice	2016	2016	2016	[$250]	[$873.3 million]	$250 million	330360194	"""$873,260,194 """
b1496	w3002		bats	bats 		1999	1999		[$5.25 million]	[$10.2 million]	$5.25 million	10155690	
b1497	w3011	o3046	battle beyond the stars	battle beyond the stars	battle beyond the stars	0	1980	1980	"""[$2,000,000 (estimated)]"""	[$7.5 million]	$2 million		
b1509	w3021	o2454	battle: los angeles	battle: los angeles	battle los angeles	2011	2011	2011	[$70 million]	[$211.8 million]	$70 million	83552429	"""$211,819,354 """
b1511	w3055		battlefield earth	battlefield earth 		2000	2000		[$73 million]	[$29.7 million]	$73 million	21471685	"""$29,725,663 """
b1512	w3059		battleship	battleship 		2012	2012		[$209â220 million]	[$303 million]	$209 million	65422625	"""$303,025,485 """
b1516	w3077	o18186	be cool	be cool	be cool	2005	2005	2005	[$53 million]	[$95.2 million]	$53 million	56046979	"""$95,226,116 """
b1529	w3140		beastly	beastly 		2011	2011		[$17 million]	[$43 million]	$17 million	27865571	"""$43,165,571 """
b1542	w3185		beautiful creatures (2013)	beautiful creatures (2013 film)		2013	2013		[$60 million]	[$60.1 million]	$60 million	19452138	"""$60,052,138 """
b1557	w3204		beauty and the beast (2017)	beauty and the beast (2017 film)		2017	2017		[$160 million]	[$1.048 billion]	$160 million	459833200	"""$1,048,233,200 """
b1562	w3220	o5071	beavis and butt-head do america	beavis and butt-head do america	beavis and butt-head do america	1996	1996	1996	[$12 million]	[$63.1 million (US)]	$12 million	63118386	
b1565	w3223		because of winn-dixie	because of winn-dixie 		2005	2005		[$14 million]	"""[$33,589,427]"""	$14 million	32647042	"""$33,589,427 """
b1573	w3236		bedazzled (2000)	bedazzled (2000 film)		2000	2000		[$48]	"""[$90,383,208]"""	$48 million	37886980	"""$90,383,208 """
b1575	w3250		bedtime stories	bedtime stories 		2008	2008		[$80 million]	[$212.9 million]	$80 million	110101975	"""$212,874,442 """
b1576	w3255	o3663	bee movie	bee movie	bee movie	2007	2007	2007	[$150 million]	[$287.6 million]	$150 million	126631277	"""$287,594,577 """
b1577	w3256		bee season	bee season 		2005	2005		[$14 million]	"""[$6,856,989]"""	$14 million	1180560	"""$6,856,989 """
b1595	w3296	o20627	before sunrise	before sunrise	before sunrise	1995	1995	1995	[$2.5 million]	[$5.5 million]	$2.5 million	5535405	n/a
b1605	w3317	o7923	beginners	beginners	beginners	2011	2010	2010	[$3.2 million]	[$14.3 million]	$3.2 million	5790894	"""$14,311,701 """
b1607	w3330		behind enemy lines	behind enemy lines (2001 film)		2001	2001		[$40 million]	[$92 million]	$40 million	58856790	"""$91,753,202 """
b1619	w3369	o2032	being john malkovich	being john malkovich	being john malkovich	1999	1999	1999	[$13 million]	[$32.4 million]	$13 million	22863596	"""$22,863,596 """
b1637	w3432		beloved	beloved 		1998	1998		[$80 million]	[$22.9 million]	$80 million	22852487	
