omdb_movie_id,genres,cluster
444,Mystery|Crime|Drama,2
445,Adventure|Romance|Action,0
446,Romance|Musical,0
447,Adventure|War|Drama,2
448,Comedy|War,5
449,Short|Drama,2
450,Short|Comedy,3
451,Comedy,5
452,Western,1
453,Family|Short|Comedy,3
454,Adventure|History|Action,0
455,Drama|War,2
456,Sci-Fi|Horror|Romance,6
457,Drama|Biography|Crime,2
458,Comedy,5
459,War|Action|Drama,2
460,Mystery,0
461,Musical,0
462,Romance|Comedy|Musical,5
463,Romance|Mystery,0
464,Crime|Mystery|Comedy,5
465,Drama|Mystery|Comedy,2
466,Musical,0
467,Western,1
468,Action|Adventure|Western,0
469,Crime|Western,1
470,War|Drama|Romance,2
471,Romance|Musical,0
472,Short|Animation|Family,3
473,Short|Comedy|Animation,3
474,Western,1
475,Comedy|Musical,5
476,Action|Western,1
477,Comedy|Action|Adventure,0
478,Comedy|Family|Animation,3
479,Family|Short|Animation,3
480,Western|Action|Adventure,0
481,Thriller|Action|Mystery,0
482,War|Drama,2
483,Romance|Musical,0
484,Drama|Music|Comedy,2
485,Adventure|Musical|Action,0
486,Short|Animation|Family,3
487,Romance|Comedy|Musical,5
488,Family|Short|Comedy,3
489,Romance|Mystery|Western,1
490,Drama|Action|Adventure,0
491,Short,3
492,War|Documentary|History,4
493,Short|Animation|Family,3
494,Western|Drama,1
495,Comedy|Short|Animation,3
496,Horror|Music|Thriller,6
497,Thriller|Drama|Romance,2
498,Horror|Drama,2
499,Comedy,5
500,Drama|War,2
501,Drama|Mystery|Crime,2
502,Drama|Crime|Mystery,2
503,Crime|Mystery,0
504,Short|Drama,2
505,War|Drama|Romance,2
506,Mystery|Romance,0
507,Adventure,0
508,Drama|Comedy,2
509,Romance|Comedy,5
510,Drama|History|Biography,2
511,War|Drama,2
512,Romance|Drama|Comedy,2
513,Western,1
514,Drama|Film-Noir,2
515,Film-Noir|Crime|Drama,2
516,History|War|Documentary,4
517,Comedy|Drama|Music,2
518,Comedy|Family|Animation,3
519,Romance|Comedy|War,5
520,Horror|Sci-Fi,6
521,Fantasy|Horror|Thriller,6
522,Fantasy|Horror,6
523,Drama|War,2
524,Animation|Short|Comedy,3
525,Mystery|Crime|Drama,2
526,Comedy|Family|Animation,3
527,Documentary|War|Short,4
528,Romance|Adventure|Comedy,5
529,History|War|Drama,2
530,Drama|Crime,2
531,Drama|Short,2
532,Western,1
533,Thriller|Crime|Mystery,6
534,Mystery|Thriller,6
535,Adventure|Drama|Action,0
536,Romance|Comedy,5
537,Short|Animation|Family,3
538,Drama|Film-Noir|Crime,2
539,Comedy|Short,3
540,Animation|Family|Comedy,3
541,War|Drama|History,2
542,Comedy,5
543,Comedy|Romance,5
544,Drama|Short,2
545,Family|Short|Animation,3
546,Drama,2
547,Western|Romance,1
548,Comedy|Animation|Short,3
549,Western|Action,1
550,War|Documentary,4
551,Romance|Musical|Comedy,5
552,Drama|Romance|Crime,2
553,Western,1
554,Drama|Film-Noir|Crime,2
555,Drama|Horror|Crime,2
556,Mystery,0
557,Film-Noir|Mystery|Drama,2
558,Comedy|Family|Short,3
559,Comedy|Action|Adventure,0
560,Drama|War|Action,2
561,Short|War|Documentary,4
562,Comedy|Musical,5
563,Comedy|Short,3
564,Drama,2
565,Western,1
566,Family|Short|Animation,3
567,Short,3
568,Crime|Comedy,5
569,Short|Animation|Family,3
570,Romance|War|Drama,2
571,Documentary|Short,4
572,Western,1
573,Comedy,5
574,Western|Action,1
575,Drama,2
576,Horror|Sci-Fi,6
577,Sci-Fi|Horror,6
578,Western,1
579,Fantasy|Comedy|Romance,5
580,Western,1
581,Drama|Western,1
582,Animation|Short|Family,3
583,Western,1
584,Short|Animation,3
585,Romance|Music,0
586,Thriller|Crime|Film-Noir,6
587,Horror|Sci-Fi|Adventure,6
588,Crime|Drama|Music,2
589,Drama|Action|War,2
590,War|Adventure,0
591,Drama|Crime,2
592,Documentary|Short,4
593,Western,1
594,Animation|Short|Family,3
595,Comedy|Short,3
596,Western,1
597,Sci-Fi|Short|Comedy,3
598,Western,1
599,Horror|Sci-Fi,6
600,Horror|Romance|Sci-Fi,6
601,Western,1
602,Drama|War,2
603,Horror|Drama,2
604,Short|Family|Animation,3
605,Western,1
606,Comedy|Animation|Short,3
607,Animation|Short|Family,3
608,Animation|Short|Family,3
609,Crime|Drama,2
610,Family|Animation|Short,3
611,Drama|Music,2
612,Horror,6
613,Sci-Fi|Horror,6
614,Comedy,5
615,Biography|Crime|Drama,2
616,Comedy|War,5
617,Comedy,5
618,Drama,2
619,Horror|Sci-Fi,6
620,Drama|War,2
621,Drama|Crime,2
622,Drama|Musical|Crime,2
623,Music,0
624,Drama,2
625,Drama,2
626,Drama,2
627,Romance|Western|Drama,1
628,Western,1
629,Adventure,0
630,War|Comedy,5
631,Animation|Short|Family,3
632,Drama|Sci-Fi,2
633,Crime|Drama|Film-Noir,2
634,Romance|Crime|Drama,2
635,Horror|Sci-Fi,6
636,Short|Family|Animation,3
637,Short|Comedy,3
638,Short|Documentary,4
639,Romance|Drama,2
640,Romance|Action|Comedy,5
641,Short|Comedy,3
642,Family|Short|Animation,3
643,Documentary,4
644,Sci-Fi|Adventure|Fantasy,0
645,Short|Comedy,3
646,Comedy,5
647,Drama,2
648,Romance|Western,1
649,Short|Animation|Family,3
650,Western,1
651,Action|Romance|Thriller,0
652,Horror|Sci-Fi,6
653,Adventure,0
654,Western,1
655,Western,1
656,Sci-Fi|Thriller|Horror,6
657,Drama|Crime,2
658,Thriller|Drama,2
659,Crime,0
660,War,0
661,War|Drama,2
662,Comedy|Short,3
663,Action|Adventure,0
664,Action|Adventure,0
665,Horror|Sci-Fi|Western,6
666,Action|Adventure|Western,0
667,Western,1
668,Family|Fantasy|Action,0
669,Romance|Western,1
670,History|Adventure|Drama,2
671,Western|Romance,1
672,Horror|Sci-Fi,6
673,Film-Noir|Biography|Crime,0
674,Horror|Sci-Fi,6
675,Drama|Western,1
676,Film-Noir|Crime|Drama,2
677,Sci-Fi|Horror,6
678,Drama,2
679,Crime|Drama|Thriller,2
680,Adventure|Drama,2
681,War|Drama,2
682,Crime|Drama,2
683,Thriller,6
684,Drama,2
685,Western,1
686,Sci-Fi,0
687,Comedy,5
688,Drama|Romance,2
689,Comedy|Musical,5
690,Drama|Film-Noir|Crime,2
691,Documentary,4
692,Comedy,5
693,Drama,2
694,War|Biography|Drama,2
695,Drama|Action,2
696,Drama,2
697,Western,1
698,Western,1
699,Adventure,0
700,Western|Action|Adventure,0
701,Drama,2
702,Sci-Fi,0
703,Drama|Crime,2
704,Western|Drama|Family,1
705,Drama|Crime,2
706,Biography|Drama|Adventure,2
707,Drama,2
708,Drama,2
709,Comedy,5
710,Western,1
711,Horror|Mystery|Drama,6
712,Adventure|Drama,2
713,Thriller|Horror,6
714,Western,1
715,Sci-Fi,0
716,Western,1
717,Crime|Drama,2
718,Comedy|Romance,5
719,Comedy|Adventure,5
720,Drama,2
721,Comedy,5
722,Drama,2
723,Biography|Drama|Romance,2
724,War|Drama,2
725,Short|Animation|Family,3
726,Drama|Film-Noir|Crime,2
727,Drama,2
728,Drama|Adventure|Biography,2
729,Western|Adventure,1
730,Adventure|Drama,2
731,Drama,2
732,Sci-Fi|Horror,6
733,Sci-Fi|Horror,6
734,Family|Short|Animation,3
735,Drama|War,2
736,Western,1
737,Romance|Adventure|Drama,2
738,Comedy,5
739,N/A,0
740,Adventure,0
741,N/A,0
742,Comedy,5
743,Romance|Comedy,5
744,Western,1
745,Drama,2
746,Comedy|Drama,2
747,Drama,2
748,Short|Comedy|Animation,3
749,Drama,2
750,Comedy,5
751,Adventure|Drama|Action,0
752,Short|Family|Comedy,3
753,Family|Comedy|Short,3
754,Comedy|Short|Animation,3
755,Drama,2
756,Comedy|Short|Family,3
757,N/A,0
758,Short|Comedy,3
759,Drama|Comedy,2
760,Drama,2
761,Comedy|Short|Family,3
762,Short|Comedy|Animation,3
763,Adventure,0
764,Drama,2
765,Drama,2
766,Comedy|Short,3
767,Short|Comedy,3
768,Drama,2
769,Comedy,5
770,N/A,0
771,N/A,0
772,Adventure|Romance,0
773,Comedy|Horror|Short,3
774,Action,0
775,N/A,0
776,Comedy|Drama|Romance,2
777,Comedy,5
778,Comedy,5
779,Drama,2
780,Western,1
781,Drama,2
782,Drama,2
783,Action|Adventure|Romance,0
784,Western,1
785,Western,1
786,N/A,0
787,Drama,2
